BIPA	GRAPHEME	FEATURES	LATEX
	ɖʰː	retroflex:plosive:+voice +spread glottis	\textrtaild extsuperscript{h}\textlengthmark
	ɳʰː	retroflex:nasal:+voice +nasal +spread glottis	\:n extsuperscript{h}\textlengthmark
	cʰː	palatal:plosive:−voice +spread glottis	c extsuperscript{h}\textlengthmark
	ɟʰː	palatal:plosive:+voice +spread glottis	\textbardotlessj extsuperscript{h}\textlengthmark
	ɲʰː	palatal:nasal:+voice +nasal +spread glottis	\textltailn extsuperscript{h}\textlengthmark
	kʰː	velar:plosive:−voice +spread glottis	k extsuperscript{h}\textlengthmark
	ɡʰː	velar:plosive:+voice +spread glottis	ɡ extsuperscript{h}\textlengthmark
	ɠʰː	velar:plosive:+voice +spread glottis	\texthtg extsuperscript{h}\textlengthmark
	ŋʰː	velar:nasal:+voice +nasal +spread glottis	\textipa{N} extsuperscript{h}\textlengthmark
	qʰː	uvular:plosive:−voice +spread glottis	q extsuperscript{h}\textlengthmark
	ɢʰː	uvular:plosive:+voice +spread glottis	\textscg extsuperscript{h}\textlengthmark
	ʛʰː	uvular:plosive:+voice +spread glottis	\texthtscg extsuperscript{h}\textlengthmark
	ɴʰː	uvular:nasal:+voice +nasal +spread glottis	\textscn extsuperscript{h}\textlengthmark
	ʔʰː	glottal:plosive:−voice +spread glottis	\textglotstop extsuperscript{h}\textlengthmark
	m̥ʰː	labial:nasal:−voice +nasal +spread glottis	*m extsuperscript{h}\textlengthmark
	ɱ̥ʰː	labiodental:nasal:−voice +nasal +spread glottis	*\textltailm extsuperscript{h}\textlengthmark
	n̥ʰː	alveolar:nasal:−voice +nasal +spread glottis	*n extsuperscript{h}\textlengthmark
	ɳ̥ʰː	retroflex:nasal:−voice +nasal +spread glottis	*\:n extsuperscript{h}\textlengthmark
	ɲ̥ʰː	palatal:nasal:−voice +nasal +spread glottis	*\textltailn extsuperscript{h}\textlengthmark
	ŋ̥ʰː	velar:nasal:−voice +nasal +spread glottis	*\textipa{N} extsuperscript{h}\textlengthmark
	ɴ̥ʰː	uvular:nasal:−voice +nasal +spread glottis	*\textscn extsuperscript{h}\textlengthmark
	p̩ː	labial:plosive:−voice +syllabic	\textipa{\s{p}}\textlengthmark
	b̩ː	labial:plosive:+voice +syllabic	\textipa{\s{b}}\textlengthmark
	ɓ̩ː	labial:plosive:+voice +syllabic	\textipa{\s{\texthtb}}\textlengthmark
	ɸ̩ː	labial:fricative:−voice +syllabic	\textipa{\sF}\textlengthmark
	β̩ː	labial:fricative:+voice +syllabic	\textipa{\sB}\textlengthmark
	m̩ː	labial:nasal:+voice +nasal +syllabic	\textsyllabic{m}\textlengthmark
	f̩ː	labiodental:fricative:−voice +syllabic	\textipa{\s{f}}\textlengthmark
	v̩ː	labiodental:fricative:+voice +syllabic	\textipa{\s{v}}\textlengthmark
	ɱ̩ː	labiodental:nasal:+voice +nasal +syllabic	\textipa{\s{\textltailm}}\textlengthmark
	ɗ̩ː	dental:plosive:+voice +syllabic	\textipa{\s{\texthtd}}\textlengthmark
	θ̩ː	dental:fricative:−voice +syllabic	\textipa{\sT}\textlengthmark
	ð̩ː	dental:fricative:+voice +syllabic	\textipa{\sD}\textlengthmark
	t̩ː	alveolar:plosive:−voice +syllabic	\textipa{\s{t}}\textlengthmark
	d̩ː	alveolar:plosive:+voice +syllabic	\textipa{\s{d}}\textlengthmark
	s̩ː	alveolar:fricative:−voice +syllabic	\textipa{\s{s}}\textlengthmark
	z̩ː	alveolar:fricative:+voice +syllabic	\textipa{\s{z}}\textlengthmark
	ɬ̩ː	alveolar:fricative:+voice +lateral +syllabic	\textipa{\s{\textbeltl}}\textlengthmark
	ɮ̩ː	alveolar:fricative:+voice +lateral +syllabic	\textipa{\s{\textlyoghlig}}\textlengthmark
	n̩ː	alveolar:nasal:+voice +nasal +syllabic	\textsyllabic{n}\textlengthmark
	ʃ̩ː	palatoalveolar:fricative:−voice +syllabic	\textipa{\sS}\textlengthmark
	ʒ̩ː	palatoalveolar:fricative:+voice +syllabic	\textipa{\s{\textyogh}}\textlengthmark
	ʈ̩ː	retroflex:plosive:−voice +syllabic	\textipa{\s{\textrtailt}}\textlengthmark
	ɖ̩ː	retroflex:plosive:+voice +syllabic	\textipa{\s{\textrtaild}}\textlengthmark
	ʂ̩ː	retroflex:fricative:−voice +syllabic	\textipa{\s{\textrtails}}\textlengthmark
	ʐ̩ː	retroflex:fricative:+voice +syllabic	\textipa{\s{\textrtailz}}\textlengthmark
	ɳ̩ː	retroflex:nasal:+voice +nasal +syllabic	\textipa{\s{\:n}}\textlengthmark
	c̩ː	palatal:plosive:−voice +syllabic	\textipa{\s{c}}\textlengthmark
	ɟ̩ː	palatal:plosive:+voice +syllabic	\textipa{\s{\textbardotlessj}}\textlengthmark
	ç̩ː	palatal:fricative:−voice +syllabic	\textipa{\s{\c{c}}}\textlengthmark
	ʝ̩ː	palatal:fricative:+voice +syllabic	\textipa{\s{\textctj}}\textlengthmark
	ɲ̩ː	palatal:nasal:+voice +nasal +syllabic	\textipa{\s{\textltailn}}\textlengthmark
	k̩ː	velar:plosive:−voice +syllabic	\textipa{\s{k}}\textlengthmark
	ɡ̩ː	velar:plosive:+voice +syllabic	\textipa{\s{ɡ}}\textlengthmark
	ɠ̩ː	velar:plosive:+voice +syllabic	\textipa{\s{\texthtg}}\textlengthmark
	x̩ː	velar:fricative:−voice +syllabic	\textipa{\s{x}}\textlengthmark
	ɣ̩ː	velar:fricative:+voice +syllabic	\textipa{\sG}\textlengthmark
	ŋ̩ː	velar:nasal:+voice +nasal +syllabic	\textipa{\sN}\textlengthmark
	q̩ː	uvular:plosive:−voice +syllabic	\textipa{\s{q}}\textlengthmark
	ɢ̩ː	uvular:plosive:+voice +syllabic	\textipa{\s{\textscg}}\textlengthmark
	ʛ̩ː	uvular:plosive:+voice +syllabic	\textipa{\s{\texthtscg}}\textlengthmark
	χ̩ː	uvular:fricative:−voice +syllabic	\textipa{\s{\textchi}}\textlengthmark
	ʁ̩ː	uvular:fricative:+voice +syllabic	\textipa{\sK}\textlengthmark
	ɴ̩ː	uvular:nasal:+voice +nasal +syllabic	\textipa{\s{\textscn}}\textlengthmark
	ʕ̩ː	pharyngeal:fricative:+voice +syllabic	\textipa{\s{\textrevglotstop}}\textlengthmark
	ħ̩ː	pharyngeal:fricative:−voice +syllabic	\textipa{\s{\textcrh}}\textlengthmark
	ʔ̩ː	glottal:plosive:−voice +syllabic	\textipa{\s{\textglotstop}}\textlengthmark
	h̩ː	glottal:fricative:−voice +syllabic	\textipa{\s{h}}\textlengthmark
	ɦ̩ː	glottal:fricative:+voice +syllabic	\textipa{\s{\texthth}}\textlengthmark
	m̥̩ː	labial:nasal:−voice +nasal +syllabic	\textipa{\s{ *m}}\textlengthmark
	ɱ̥̩ː	labiodental:nasal:−voice +nasal +syllabic	\textipa{\s{ *\textltailm}}\textlengthmark
	n̥̩ː	alveolar:nasal:−voice +nasal +syllabic	\textipa{\s{ *n}}\textlengthmark
	ɳ̥̩ː	retroflex:nasal:−voice +nasal +syllabic	\textipa{\s{ *\:n}}\textlengthmark
	ɲ̥̩ː	palatal:nasal:−voice +nasal +syllabic	\textipa{\s{ *\textltailn}}\textlengthmark
	ŋ̥̩ː	velar:nasal:−voice +nasal +syllabic	*\textipa{\sN}\textlengthmark
	ɴ̥̩ː	uvular:nasal:−voice +nasal +syllabic	\textipa{\s{ *\textscn}}\textlengthmark
	pʲː	labial, palatal:plosive:−voice	p\super j\textlengthmark
	bʲː	labial, palatal:plosive:+voice	b\super j\textlengthmark
	ɓʲː	labial, palatal:plosive:+voice	\texthtb\super j\textlengthmark
	ɸʲː	labial, palatal:fricative:−voice	\textipa{F}\super j\textlengthmark
	βʲː	labial, palatal:fricative:+voice	\textipa{B}\super j\textlengthmark
	mʲː	labial, palatal:nasal:+voice +nasal	m\super j\textlengthmark
	fʲː	labiodental, palatal:fricative:−voice	f\super j\textlengthmark
	vʲː	labiodental, palatal:fricative:+voice	v\super j\textlengthmark
	ɱʲː	labiodental, palatal:nasal:+voice +nasal	\textltailm\super j\textlengthmark
	ɗʲː	dental, palatal:plosive:+voice	\texthtd\super j\textlengthmark
	θʲː	dental, palatal:fricative:−voice	\textipa{T}\super j\textlengthmark
	ðʲː	dental, palatal:fricative:+voice	\textipa{D}\super j\textlengthmark
	tʲː	alveolar, palatal:plosive:−voice	t\super j\textlengthmark
	dʲː	alveolar, palatal:plosive:+voice	d\super j\textlengthmark
	sʲː	alveolar, palatal:fricative:−voice	s\super j\textlengthmark
	zʲː	alveolar, palatal:fricative:+voice	z\super j\textlengthmark
	ɬʲː	alveolar, palatal:fricative:+voice +lateral	\textbeltl\super j\textlengthmark
	ɮʲː	alveolar, palatal:fricative:+voice +lateral	\textlyoghlig\super j\textlengthmark
	nʲː	alveolar, palatal:nasal:+voice +nasal	n\super j\textlengthmark
	ʃʲː	palatoalveolar, palatal:fricative:−voice	\textipa{S}\super j\textlengthmark
	ʒʲː	palatoalveolar, palatal:fricative:+voice	\textyogh\super j\textlengthmark
	ʈʲː	retroflex, palatal:plosive:−voice	\textrtailt\super j\textlengthmark
	ɖʲː	retroflex, palatal:plosive:+voice	\textrtaild\super j\textlengthmark
	ʂʲː	retroflex, palatal:fricative:−voice	\textrtails\super j\textlengthmark
	ʐʲː	retroflex, palatal:fricative:+voice	\textrtailz\super j\textlengthmark
	ɳʲː	retroflex, palatal:nasal:+voice +nasal	\:n\super j\textlengthmark
	cʲː	palatal:plosive:−voice	c\super j\textlengthmark
	ɟʲː	palatal:plosive:+voice	\textbardotlessj\super j\textlengthmark
	çʲː	palatal:fricative:−voice	\c{c}\super j\textlengthmark
	ʝʲː	palatal:fricative:+voice	\textctj\super j\textlengthmark
	ɲʲː	palatal:nasal:+voice +nasal	\textltailn\super j\textlengthmark
	kʲː	velar, palatal:plosive:−voice	k\super j\textlengthmark
	ɡʲː	velar, palatal:plosive:+voice	ɡ\super j\textlengthmark
	ɠʲː	velar, palatal:plosive:+voice	\texthtg\super j\textlengthmark
	xʲː	velar, palatal:fricative:−voice	x\super j\textlengthmark
	ɣʲː	velar, palatal:fricative:+voice	\textipa{G}\super j\textlengthmark
	ŋʲː	velar, palatal:nasal:+voice +nasal	\textipa{N}\super j\textlengthmark
	qʲː	uvular, palatal:plosive:−voice	q\super j\textlengthmark
	ɢʲː	uvular, palatal:plosive:+voice	\textscg\super j\textlengthmark
	ʛʲː	uvular, palatal:plosive:+voice	\texthtscg\super j\textlengthmark
	χʲː	uvular, palatal:fricative:−voice	\textchi\super j\textlengthmark
	ʁʲː	uvular, palatal:fricative:+voice	\textipa{K}\super j\textlengthmark
	ɴʲː	uvular, palatal:nasal:+voice +nasal	\textscn\super j\textlengthmark
	ʕʲː	pharyngeal, palatal:fricative:+voice	\textrevglotstop\super j\textlengthmark
	ħʲː	pharyngeal, palatal:fricative:−voice	\textcrh\super j\textlengthmark
	ʔʲː	glottal, palatal:plosive:−voice	\textglotstop\super j\textlengthmark
	hʲː	glottal, palatal:fricative:−voice	h\super j\textlengthmark
	ɦʲː	glottal, palatal:fricative:+voice	\texthth\super j\textlengthmark
	m̥ʲː	labial, palatal:nasal:−voice +nasal	*m\super j\textlengthmark
	ɱ̥ʲː	labiodental, palatal:nasal:−voice +nasal	*\textltailm\super j\textlengthmark
	n̥ʲː	alveolar, palatal:nasal:−voice +nasal	*n\super j\textlengthmark
	ɳ̥ʲː	retroflex, palatal:nasal:−voice +nasal	*\:n\super j\textlengthmark
	ɲ̥ʲː	palatal:nasal:−voice +nasal	*\textltailn\super j\textlengthmark
	ŋ̥ʲː	velar, palatal:nasal:−voice +nasal	*\textipa{N}\super j\textlengthmark
	ɴ̥ʲː	uvular, palatal:nasal:−voice +nasal	*\textscn\super j\textlengthmark
	pʰʲː	labial, palatal:plosive:−voice +spread glottis	p extsuperscript{h}\super j\textlengthmark
	bʰʲː	labial, palatal:plosive:+voice +spread glottis	b extsuperscript{h}\super j\textlengthmark
	ɓʰʲː	labial, palatal:plosive:+voice +spread glottis	\texthtb extsuperscript{h}\super j\textlengthmark
	mʰʲː	labial, palatal:nasal:+voice +nasal +spread glottis	m extsuperscript{h}\super j\textlengthmark
	ɱʰʲː	labiodental, palatal:nasal:+voice +nasal +spread glottis	\textltailm extsuperscript{h}\super j\textlengthmark
	ɗʰʲː	dental, palatal:plosive:+voice +spread glottis	\texthtd extsuperscript{h}\super j\textlengthmark
	tʰʲː	alveolar, palatal:plosive:−voice +spread glottis	t extsuperscript{h}\super j\textlengthmark
	dʰʲː	alveolar, palatal:plosive:+voice +spread glottis	d extsuperscript{h}\super j\textlengthmark
	nʰʲː	alveolar, palatal:nasal:+voice +nasal +spread glottis	n extsuperscript{h}\super j\textlengthmark
	ʈʰʲː	retroflex, palatal:plosive:−voice +spread glottis	\textrtailt extsuperscript{h}\super j\textlengthmark
	ɖʰʲː	retroflex, palatal:plosive:+voice +spread glottis	\textrtaild extsuperscript{h}\super j\textlengthmark
	ɳʰʲː	retroflex, palatal:nasal:+voice +nasal +spread glottis	\:n extsuperscript{h}\super j\textlengthmark
	cʰʲː	palatal:plosive:−voice +spread glottis	c extsuperscript{h}\super j\textlengthmark
	ɟʰʲː	palatal:plosive:+voice +spread glottis	\textbardotlessj extsuperscript{h}\super j\textlengthmark
	ɲʰʲː	palatal:nasal:+voice +nasal +spread glottis	\textltailn extsuperscript{h}\super j\textlengthmark
	kʰʲː	velar, palatal:plosive:−voice +spread glottis	k extsuperscript{h}\super j\textlengthmark
	ɡʰʲː	velar, palatal:plosive:+voice +spread glottis	ɡ extsuperscript{h}\super j\textlengthmark
	ɠʰʲː	velar, palatal:plosive:+voice +spread glottis	\texthtg extsuperscript{h}\super j\textlengthmark
	ŋʰʲː	velar, palatal:nasal:+voice +nasal +spread glottis	\textipa{N} extsuperscript{h}\super j\textlengthmark
	qʰʲː	uvular, palatal:plosive:−voice +spread glottis	q extsuperscript{h}\super j\textlengthmark
	ɢʰʲː	uvular, palatal:plosive:+voice +spread glottis	\textscg extsuperscript{h}\super j\textlengthmark
	ʛʰʲː	uvular, palatal:plosive:+voice +spread glottis	\texthtscg extsuperscript{h}\super j\textlengthmark
	ɴʰʲː	uvular, palatal:nasal:+voice +nasal +spread glottis	\textscn extsuperscript{h}\super j\textlengthmark
	ʔʰʲː	glottal, palatal:plosive:−voice +spread glottis	\textglotstop extsuperscript{h}\super j\textlengthmark
	m̥ʰʲː	labial, palatal:nasal:−voice +nasal +spread glottis	*m extsuperscript{h}\super j\textlengthmark
	ɱ̥ʰʲː	labiodental, palatal:nasal:−voice +nasal +spread glottis	*\textltailm extsuperscript{h}\super j\textlengthmark
	n̥ʰʲː	alveolar, palatal:nasal:−voice +nasal +spread glottis	*n extsuperscript{h}\super j\textlengthmark
	ɳ̥ʰʲː	retroflex, palatal:nasal:−voice +nasal +spread glottis	*\:n extsuperscript{h}\super j\textlengthmark
	ɲ̥ʰʲː	palatal:nasal:−voice +nasal +spread glottis	*\textltailn extsuperscript{h}\super j\textlengthmark
	ŋ̥ʰʲː	velar, palatal:nasal:−voice +nasal +spread glottis	*\textipa{N} extsuperscript{h}\super j\textlengthmark
	ɴ̥ʰʲː	uvular, palatal:nasal:−voice +nasal +spread glottis	*\textscn extsuperscript{h}\super j\textlengthmark
	p̩ʲː	labial, palatal:plosive:−voice +syllabic	\textipa{\s{p}}\super j\textlengthmark
	b̩ʲː	labial, palatal:plosive:+voice +syllabic	\textipa{\s{b}}\super j\textlengthmark
	ɓ̩ʲː	labial, palatal:plosive:+voice +syllabic	\textipa{\s{\texthtb}}\super j\textlengthmark
	ɸ̩ʲː	labial, palatal:fricative:−voice +syllabic	\textipa{\sF}\super j\textlengthmark
	β̩ʲː	labial, palatal:fricative:+voice +syllabic	\textipa{\sB}\super j\textlengthmark
	m̩ʲː	labial, palatal:nasal:+voice +nasal +syllabic	\textsyllabic{m}\super j\textlengthmark
	f̩ʲː	labiodental, palatal:fricative:−voice +syllabic	\textipa{\s{f}}\super j\textlengthmark
	v̩ʲː	labiodental, palatal:fricative:+voice +syllabic	\textipa{\s{v}}\super j\textlengthmark
	ɱ̩ʲː	labiodental, palatal:nasal:+voice +nasal +syllabic	\textipa{\s{\textltailm}}\super j\textlengthmark
	ɗ̩ʲː	dental, palatal:plosive:+voice +syllabic	\textipa{\s{\texthtd}}\super j\textlengthmark
	θ̩ʲː	dental, palatal:fricative:−voice +syllabic	\textipa{\sT}\super j\textlengthmark
	ð̩ʲː	dental, palatal:fricative:+voice +syllabic	\textipa{\sD}\super j\textlengthmark
	t̩ʲː	alveolar, palatal:plosive:−voice +syllabic	\textipa{\s{t}}\super j\textlengthmark
	d̩ʲː	alveolar, palatal:plosive:+voice +syllabic	\textipa{\s{d}}\super j\textlengthmark
	s̩ʲː	alveolar, palatal:fricative:−voice +syllabic	\textipa{\s{s}}\super j\textlengthmark
	z̩ʲː	alveolar, palatal:fricative:+voice +syllabic	\textipa{\s{z}}\super j\textlengthmark
	ɬ̩ʲː	alveolar, palatal:fricative:+voice +lateral +syllabic	\textipa{\s{\textbeltl}}\super j\textlengthmark
	ɮ̩ʲː	alveolar, palatal:fricative:+voice +lateral +syllabic	\textipa{\s{\textlyoghlig}}\super j\textlengthmark
	n̩ʲː	alveolar, palatal:nasal:+voice +nasal +syllabic	\textsyllabic{n}\super j\textlengthmark
	ʃ̩ʲː	palatoalveolar, palatal:fricative:−voice +syllabic	\textipa{\sS}\super j\textlengthmark
	ʒ̩ʲː	palatoalveolar, palatal:fricative:+voice +syllabic	\textipa{\s{\textyogh}}\super j\textlengthmark
	ʈ̩ʲː	retroflex, palatal:plosive:−voice +syllabic	\textipa{\s{\textrtailt}}\super j\textlengthmark
	ɖ̩ʲː	retroflex, palatal:plosive:+voice +syllabic	\textipa{\s{\textrtaild}}\super j\textlengthmark
	ʂ̩ʲː	retroflex, palatal:fricative:−voice +syllabic	\textipa{\s{\textrtails}}\super j\textlengthmark
	ʐ̩ʲː	retroflex, palatal:fricative:+voice +syllabic	\textipa{\s{\textrtailz}}\super j\textlengthmark
	ɳ̩ʲː	retroflex, palatal:nasal:+voice +nasal +syllabic	\textipa{\s{\:n}}\super j\textlengthmark
	c̩ʲː	palatal:plosive:−voice +syllabic	\textipa{\s{c}}\super j\textlengthmark
	ɟ̩ʲː	palatal:plosive:+voice +syllabic	\textipa{\s{\textbardotlessj}}\super j\textlengthmark
	ç̩ʲː	palatal:fricative:−voice +syllabic	\textipa{\s{\c{c}}}\super j\textlengthmark
	ʝ̩ʲː	palatal:fricative:+voice +syllabic	\textipa{\s{\textctj}}\super j\textlengthmark
	ɲ̩ʲː	palatal:nasal:+voice +nasal +syllabic	\textipa{\s{\textltailn}}\super j\textlengthmark
	k̩ʲː	velar, palatal:plosive:−voice +syllabic	\textipa{\s{k}}\super j\textlengthmark
	ɡ̩ʲː	velar, palatal:plosive:+voice +syllabic	\textipa{\s{ɡ}}\super j\textlengthmark
	ɠ̩ʲː	velar, palatal:plosive:+voice +syllabic	\textipa{\s{\texthtg}}\super j\textlengthmark
	x̩ʲː	velar, palatal:fricative:−voice +syllabic	\textipa{\s{x}}\super j\textlengthmark
	ɣ̩ʲː	velar, palatal:fricative:+voice +syllabic	\textipa{\sG}\super j\textlengthmark
	ŋ̩ʲː	velar, palatal:nasal:+voice +nasal +syllabic	\textipa{\sN}\super j\textlengthmark
	q̩ʲː	uvular, palatal:plosive:−voice +syllabic	\textipa{\s{q}}\super j\textlengthmark
	ɢ̩ʲː	uvular, palatal:plosive:+voice +syllabic	\textipa{\s{\textscg}}\super j\textlengthmark
	ʛ̩ʲː	uvular, palatal:plosive:+voice +syllabic	\textipa{\s{\texthtscg}}\super j\textlengthmark
	χ̩ʲː	uvular, palatal:fricative:−voice +syllabic	\textipa{\s{\textchi}}\super j\textlengthmark
	ʁ̩ʲː	uvular, palatal:fricative:+voice +syllabic	\textipa{\sK}\super j\textlengthmark
	ɴ̩ʲː	uvular, palatal:nasal:+voice +nasal +syllabic	\textipa{\s{\textscn}}\super j\textlengthmark
	ʕ̩ʲː	pharyngeal, palatal:fricative:+voice +syllabic	\textipa{\s{\textrevglotstop}}\super j\textlengthmark
	ħ̩ʲː	pharyngeal, palatal:fricative:−voice +syllabic	\textipa{\s{\textcrh}}\super j\textlengthmark
	ʔ̩ʲː	glottal, palatal:plosive:−voice +syllabic	\textipa{\s{\textglotstop}}\super j\textlengthmark
	h̩ʲː	glottal, palatal:fricative:−voice +syllabic	\textipa{\s{h}}\super j\textlengthmark
	ɦ̩ʲː	glottal, palatal:fricative:+voice +syllabic	\textipa{\s{\texthth}}\super j\textlengthmark
	m̥̩ʲː	labial, palatal:nasal:−voice +nasal +syllabic	\textipa{\s{ *m}}\super j\textlengthmark
	ɱ̥̩ʲː	labiodental, palatal:nasal:−voice +nasal +syllabic	\textipa{\s{ *\textltailm}}\super j\textlengthmark
	n̥̩ʲː	alveolar, palatal:nasal:−voice +nasal +syllabic	\textipa{\s{ *n}}\super j\textlengthmark
	ɳ̥̩ʲː	retroflex, palatal:nasal:−voice +nasal +syllabic	\textipa{\s{ *\:n}}\super j\textlengthmark
	ɲ̥̩ʲː	palatal:nasal:−voice +nasal +syllabic	\textipa{\s{ *\textltailn}}\super j\textlengthmark
	ŋ̥̩ʲː	velar, palatal:nasal:−voice +nasal +syllabic	*\textipa{\sN}\super j\textlengthmark
	ɴ̥̩ʲː	uvular, palatal:nasal:−voice +nasal +syllabic	\textipa{\s{ *\textscn}}\super j\textlengthmark
	pʷː	labial:plosive:−voice	p\super w\textlengthmark
	bʷː	labial:plosive:+voice	b\super w\textlengthmark
	ɓʷː	labial:plosive:+voice	\texthtb\super w\textlengthmark
	ɸʷː	labial:fricative:−voice	\textipa{F}\super w\textlengthmark
	βʷː	labial:fricative:+voice	\textipa{B}\super w\textlengthmark
	mʷː	labial:nasal:+voice +nasal	m\super w\textlengthmark
	fʷː	labiodental, labial:fricative:−voice	f\super w\textlengthmark
	vʷː	labiodental, labial:fricative:+voice	v\super w\textlengthmark
	ɱʷː	labiodental, labial:nasal:+voice +nasal	\textltailm\super w\textlengthmark
	ɗʷː	dental, labial:plosive:+voice	\texthtd\super w\textlengthmark
	θʷː	dental, labial:fricative:−voice	\textipa{T}\super w\textlengthmark
	ðʷː	dental, labial:fricative:+voice	\textipa{D}\super w\textlengthmark
	tʷː	alveolar, labial:plosive:−voice	t\super w\textlengthmark
	dʷː	alveolar, labial:plosive:+voice	d\super w\textlengthmark
	sʷː	alveolar, labial:fricative:−voice	s\super w\textlengthmark
	zʷː	alveolar, labial:fricative:+voice	z\super w\textlengthmark
	ɬʷː	alveolar, labial:fricative:+voice +lateral	\textbeltl\super w\textlengthmark
	ɮʷː	alveolar, labial:fricative:+voice +lateral	\textlyoghlig\super w\textlengthmark
	nʷː	alveolar, labial:nasal:+voice +nasal	n\super w\textlengthmark
	ʃʷː	palatoalveolar, labial:fricative:−voice	\textipa{S}\super w\textlengthmark
	ʒʷː	palatoalveolar, labial:fricative:+voice	\textyogh\super w\textlengthmark
	ʈʷː	retroflex, labial:plosive:−voice	\textrtailt\super w\textlengthmark
	ɖʷː	retroflex, labial:plosive:+voice	\textrtaild\super w\textlengthmark
	ʂʷː	retroflex, labial:fricative:−voice	\textrtails\super w\textlengthmark
	ʐʷː	retroflex, labial:fricative:+voice	\textrtailz\super w\textlengthmark
	ɳʷː	retroflex, labial:nasal:+voice +nasal	\:n\super w\textlengthmark
	cʷː	palatal, labial:plosive:−voice	c\super w\textlengthmark
	ɟʷː	palatal, labial:plosive:+voice	\textbardotlessj\super w\textlengthmark
	çʷː	palatal, labial:fricative:−voice	\c{c}\super w\textlengthmark
	ʝʷː	palatal, labial:fricative:+voice	\textctj\super w\textlengthmark
	ɲʷː	palatal, labial:nasal:+voice +nasal	\textltailn\super w\textlengthmark
	kʷː	velar, labial:plosive:−voice	k\super w\textlengthmark
	ɡʷː	velar, labial:plosive:+voice	ɡ\super w\textlengthmark
	ɠʷː	velar, labial:plosive:+voice	\texthtg\super w\textlengthmark
	xʷː	velar, labial:fricative:−voice	x\super w\textlengthmark
	ɣʷː	velar, labial:fricative:+voice	\textipa{G}\super w\textlengthmark
	ŋʷː	velar, labial:nasal:+voice +nasal	\textipa{N}\super w\textlengthmark
	qʷː	uvular, labial:plosive:−voice	q\super w\textlengthmark
	ɢʷː	uvular, labial:plosive:+voice	\textscg\super w\textlengthmark
	ʛʷː	uvular, labial:plosive:+voice	\texthtscg\super w\textlengthmark
	χʷː	uvular, labial:fricative:−voice	\textchi\super w\textlengthmark
	ʁʷː	uvular, labial:fricative:+voice	\textipa{K}\super w\textlengthmark
	ɴʷː	uvular, labial:nasal:+voice +nasal	\textscn\super w\textlengthmark
	ʕʷː	pharyngeal, labial:fricative:+voice	\textrevglotstop\super w\textlengthmark
	ħʷː	pharyngeal, labial:fricative:−voice	\textcrh\super w\textlengthmark
	ʔʷː	glottal, labial:plosive:−voice	\textglotstop\super w\textlengthmark
	hʷː	glottal, labial:fricative:−voice	h\super w\textlengthmark
	ɦʷː	glottal, labial:fricative:+voice	\texthth\super w\textlengthmark
	m̥ʷː	labial:nasal:−voice +nasal	*m\super w\textlengthmark
	ɱ̥ʷː	labiodental, labial:nasal:−voice +nasal	*\textltailm\super w\textlengthmark
	n̥ʷː	alveolar, labial:nasal:−voice +nasal	*n\super w\textlengthmark
	ɳ̥ʷː	retroflex, labial:nasal:−voice +nasal	*\:n\super w\textlengthmark
	ɲ̥ʷː	palatal, labial:nasal:−voice +nasal	*\textltailn\super w\textlengthmark
	ŋ̥ʷː	velar, labial:nasal:−voice +nasal	*\textipa{N}\super w\textlengthmark
	ɴ̥ʷː	uvular, labial:nasal:−voice +nasal	*\textscn\super w\textlengthmark
	pʰʷː	labial:plosive:−voice +spread glottis	p extsuperscript{h}\super w\textlengthmark
	bʰʷː	labial:plosive:+voice +spread glottis	b extsuperscript{h}\super w\textlengthmark
	ɓʰʷː	labial:plosive:+voice +spread glottis	\texthtb extsuperscript{h}\super w\textlengthmark
	mʰʷː	labial:nasal:+voice +nasal +spread glottis	m extsuperscript{h}\super w\textlengthmark
	ɱʰʷː	labiodental, labial:nasal:+voice +nasal +spread glottis	\textltailm extsuperscript{h}\super w\textlengthmark
	ɗʰʷː	dental, labial:plosive:+voice +spread glottis	\texthtd extsuperscript{h}\super w\textlengthmark
	tʰʷː	alveolar, labial:plosive:−voice +spread glottis	t extsuperscript{h}\super w\textlengthmark
	dʰʷː	alveolar, labial:plosive:+voice +spread glottis	d extsuperscript{h}\super w\textlengthmark
	nʰʷː	alveolar, labial:nasal:+voice +nasal +spread glottis	n extsuperscript{h}\super w\textlengthmark
	ʈʰʷː	retroflex, labial:plosive:−voice +spread glottis	\textrtailt extsuperscript{h}\super w\textlengthmark
	ɖʰʷː	retroflex, labial:plosive:+voice +spread glottis	\textrtaild extsuperscript{h}\super w\textlengthmark
	ɳʰʷː	retroflex, labial:nasal:+voice +nasal +spread glottis	\:n extsuperscript{h}\super w\textlengthmark
	cʰʷː	palatal, labial:plosive:−voice +spread glottis	c extsuperscript{h}\super w\textlengthmark
	ɟʰʷː	palatal, labial:plosive:+voice +spread glottis	\textbardotlessj extsuperscript{h}\super w\textlengthmark
	ɲʰʷː	palatal, labial:nasal:+voice +nasal +spread glottis	\textltailn extsuperscript{h}\super w\textlengthmark
	kʰʷː	velar, labial:plosive:−voice +spread glottis	k extsuperscript{h}\super w\textlengthmark
	ɡʰʷː	velar, labial:plosive:+voice +spread glottis	ɡ extsuperscript{h}\super w\textlengthmark
	ɠʰʷː	velar, labial:plosive:+voice +spread glottis	\texthtg extsuperscript{h}\super w\textlengthmark
