BIPA	GRAPHEME	FEATURES	LATEX
	ʈ͡ʂʲ	retroflex, palatal:affricate:−voice	\t{\textrtailt \textrtails}\super j
	ɖ͡ʐʲ	retroflex, palatal:affricate:+voice	\t{ɖ͡\textrtailz}\super j
	c͡çʲ	palatal:affricate:−voice	\t{c\c{c}}\super j
	ɟ͡ʝʲ	palatal:affricate:+voice	\t{ɟ͡\textctj}\super j
	k̟ʲ	velar, palatal:plosive:−voice	\begin{IPA}\|+k̟\end{IPA}\super j
	k̠ʲ	velar, palatal:plosive:−voice	\textsubbar{k}\super j
	x̟ʲ	velar, palatal:fricative:−voice	\begin{IPA}\|+x̟\end{IPA}\super j
	x̠ʲ	velar, palatal:fricative:−voice	\textsubbar{x}\super j
	ɣ̟ʲ	velar, palatal:fricative:+voice	\begin{IPA}\|+G̟\end{IPA}\super j
	ɣ̠ʲ	velar, palatal:fricative:+voice	\textsubbar{\textipa{G}}\super j
	ɡ̟͡ɣ̟ʲ	velar, palatal:affricate:+voice	\begin{IPA} \t{\|+g \|+G} \end{IPA} \super j
	ɡ͡ɣʲ	velar, palatal:affricate:+voice	\t{ɡ͡\textipa{G}}\super j
	ɡ̠͡ɣ̠ʲ	velar, palatal:affricate:+voice	\t{\textsubbar{ɡ} \textsubbar{\textipa{G}}}\super j
	k̟͡x̟ʲ	velar, palatal:affricate:−voice	\t{\begin{IPA}\|+k̟\|+x̟\end{IPA}}\super j
	k͡xʲ	velar, palatal:affricate:−voice	\t{kx}\super j
	k̠͡x̠ʲ	velar, palatal:affricate:−voice	\t{\textsubbar{k}\textsubbar{x}}\super j
	ʟ̠ʲ	velar, palatal:liquid:+voice +lateral	\textsubbar{\textscl}\super j
	ʟ̟ʲ	velar, palatal:liquid:+voice +lateral	\begin{IPA}\|+\;L\end{ipa}\super j
	ŋ̟ʲ	velar, palatal:nasal:+voice +nasal	\begin{IPA}\|+N̟\end{IPA}\super j
	ŋ̠ʲ	velar, palatal:nasal:+voice +nasal	\textipa{\=*N}\super j
	ɢ͡ʁʲ	uvular, palatal:affricate:+voice	\t{\textscg \textipa{K}}\super j
	q͡χʲ	uvular, palatal:affricate:−voice	\t{q͡\textchi}\super j
	aː	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis	a\textlengthmark
	ɐː	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis	\textturna\textlengthmark
	ɑː	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis	\textscripta\textlengthmark
