BIPA	GRAPHEME	FEATURES	SYMBOLS
ɕ’ʷ	ɕʼʷ	-syl -son +cons +cont +delrel -lat -nas -voi -sg +cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ɕ ◌’ ◌ʷ
ɕ’ʷˤ	ɕʷˤʼ	-syl -son +cons +cont +delrel -lat -nas -voi -sg +cg -ant +cor +distr -lab +hi +lo +back +round -velaric -long	◌ɕ ◌’ ◌ʷ ◌ˤ
ɕ’ː	ɕʼː	-syl -son +cons +cont +delrel -lat -nas -voi -sg +cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ɕ ◌’ ◌ː
ɕ’ˤ	ɕˤʼ	-syl -son +cons +cont +delrel -lat -nas -voi -sg +cg -ant +cor +distr -lab +hi +lo +back -round -velaric -long	◌ɕ ◌’ ◌ˤ
ɖ	ɖ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ
ɖʐ	ɖ͡ʐ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -round -velaric -long	◌ɖ ◌ʐ
ɖʐʰ	ɖ͡ʐʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -round -velaric -long	◌ɖ ◌ʐ ◌ʰ
ɖʐʰː	ɖ͡ʐʰː	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -round -velaric +long	◌ɖ ◌ʐ ◌ʰ ◌ː
ɖʐʱ	ɖ͡ʐ̤	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -round -velaric -long	◌ɖ ◌ʐ ◌ʱ
ɖʐʱː	ɖ͡ʐ̤ː	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -round -velaric +long	◌ɖ ◌ʐ ◌ʱ ◌ː
ɖʐʲ	ɖ͡ʐʲ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -back -round -velaric -long	◌ɖ ◌ʐ ◌ʲ
ɖʐʲʰ	ɖ͡ʐʰʲ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -back -round -velaric -long	◌ɖ ◌ʐ ◌ʲ ◌ʰ
ɖʐʲʰ	ɖ͡ʐʲʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -back -round -velaric -long	◌ɖ ◌ʐ ◌ʲ ◌ʰ
ɖʐʲʱ	ɖ͡ʐ̤ʲ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -back -round -velaric -long	◌ɖ ◌ʐ ◌ʲ ◌ʱ
ɖʐʲʷ	ɖ͡ʐʲʷ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi +back +round -velaric -long	◌ɖ ◌ʐ ◌ʲ ◌ʷ
ɖʐʲʷʰ	ɖ͡ʐʲʷʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi +back +round -velaric -long	◌ɖ ◌ʐ ◌ʲ ◌ʷ ◌ʰ
ɖʐʲː	ɖ͡ʐʲː	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -back -round -velaric +long	◌ɖ ◌ʐ ◌ʲ ◌ː
ɖʐʲː	ɖ͡ʐːʲ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -back -round -velaric +long	◌ɖ ◌ʐ ◌ʲ ◌ː
ɖʐʲː	ʈ͡ʂːʲ	-syl -son +cons -cont +delrel -lat -nas -voi -sg -cg -ant +cor -distr -lab +hi -back -round -velaric +long	◌ɖ ◌ʐ ◌ʲ ◌ː
ɖʐʷ	ɖ͡ʐʷ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi +back +round -velaric -long	◌ɖ ◌ʐ ◌ʷ
ɖʐʷʰ	ɖ͡ʐʰʷ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi +back +round -velaric -long	◌ɖ ◌ʐ ◌ʷ ◌ʰ
ɖʐʷʰ	ɖ͡ʐʷʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi +back +round -velaric -long	◌ɖ ◌ʐ ◌ʷ ◌ʰ
ɖʐʷʰː	ɖ͡ʐʷʰː	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi +back +round -velaric +long	◌ɖ ◌ʐ ◌ʷ ◌ʰ ◌ː
ɖʐʷʱ	ɖ͡ʐ̤ʷ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi +back +round -velaric -long	◌ɖ ◌ʐ ◌ʷ ◌ʱ
ɖʐʷˀ	ɖ͡ʐʷˀ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi +back +round -velaric -long	◌ɖ ◌ʐ ◌ʷ ◌ˀ
ɖʐʷː	ɖ͡ʐʷː	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi +back +round -velaric +long	◌ɖ ◌ʐ ◌ʷ ◌ː
ɖʐʷː	ɖ͡ʐːʷ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi +back +round -velaric +long	◌ɖ ◌ʐ ◌ʷ ◌ː
ɖʐʷː	ʈ͡ʂːʷ	-syl -son +cons -cont +delrel -lat -nas -voi -sg -cg -ant +cor -distr -lab +hi +back +round -velaric +long	◌ɖ ◌ʐ ◌ʷ ◌ː
ɖʐʷˠ	ɖ͡ʐʷˠ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi +back +round -velaric -long	◌ɖ ◌ʐ ◌ʷ ◌ˠ
ɖʐʷˠʰ	ɖ͡ʐʷˠʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi +back +round -velaric -long	◌ɖ ◌ʐ ◌ʷ ◌ˠ ◌ʰ
ɖʐʷˤ	ɖ͡ʐʷˤ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi +lo +back +round -velaric -long	◌ɖ ◌ʐ ◌ʷ ◌ˤ
ɖʐʷˤʰ	ɖ͡ʐʷˤʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi +lo +back +round -velaric -long	◌ɖ ◌ʐ ◌ʷ ◌ˤ ◌ʰ
ɖʐˀ	ɖ͡ʐˀ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab -round -velaric -long	◌ɖ ◌ʐ ◌ˀ
ɖʐː	ɖ͡ʐː	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -round -velaric +long	◌ɖ ◌ʐ ◌ː
ɖʐˠ	ɖ͡ʐˠ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi +back -round -velaric -long	◌ɖ ◌ʐ ◌ˠ
ɖʐˠʰ	ɖ͡ʐʰˠ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi +back -round -velaric -long	◌ɖ ◌ʐ ◌ˠ ◌ʰ
ɖʐˠʱ	ɖ͡ʐ̤ˠ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi +back -round -velaric -long	◌ɖ ◌ʐ ◌ˠ ◌ʱ
ɖʐˠː	ɖ͡ʐːˠ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi +back -round -velaric +long	◌ɖ ◌ʐ ◌ˠ ◌ː
ɖʐˠː	ʈ͡ʂːˠ	-syl -son +cons -cont +delrel -lat -nas -voi -sg -cg -ant +cor -distr -lab +hi +back -round -velaric +long	◌ɖ ◌ʐ ◌ˠ ◌ː
ɖʐˤ	ɖ͡ʐˤ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +lo +back -round -velaric -long	◌ɖ ◌ʐ ◌ˤ
ɖʐˤʰ	ɖ͡ʐʰˤ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +lo +back -round -velaric -long	◌ɖ ◌ʐ ◌ˤ ◌ʰ
ɖʐˤʰ	ɖ͡ʐˤʰ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +lo +back -round -velaric -long	◌ɖ ◌ʐ ◌ˤ ◌ʰ
ɖʐˤʱ	ɖ͡ʐ̤ˤ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +lo +back -round -velaric -long	◌ɖ ◌ʐ ◌ˤ ◌ʱ
ɖʐˤː	ɖ͡ʐːˤ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +lo +back -round -velaric +long	◌ɖ ◌ʐ ◌ˤ ◌ː
ɖʐˤː	ɖ͡ʐˤː	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +lo +back -round -velaric +long	◌ɖ ◌ʐ ◌ˤ ◌ː
ɖʐˤː	ʈ͡ʂːˤ	-syl -son +cons -cont +delrel -lat -nas -voi -sg -cg -ant +cor -distr -lab +lo +back -round -velaric +long	◌ɖ ◌ʐ ◌ˤ ◌ː
ɖʐ̃	ɖ͡ʐ̃	-syl -son +cons -cont +delrel -lat +nas +voi -sg -cg -ant +cor -distr -lab -round -velaric -long	◌ɖ ◌ʐ ◌̃
ɖʐ̃ː	ɖ͡ʐ̃ː	-syl -son +cons -cont +delrel -lat +nas +voi -sg -cg -ant +cor -distr -lab -round -velaric +long	◌ɖ ◌ʐ ◌̃ ◌ː
ɖʐ̃ˤ	ɖ͡ʐ̃ˤ	-syl -son +cons -cont +delrel -lat +nas +voi -sg -cg -ant +cor -distr -lab +lo +back -round -velaric -long	◌ɖ ◌ʐ ◌̃ ◌ˤ
ɖʐ̟	ɖ͡ʐ̟	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -round -velaric -long	◌ɖ ◌ʐ ◌̟
ɖʐ̠	ɖ͡ʐ̠	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -round -velaric -long	◌ɖ ◌ʐ ◌̠
ɖʐ̰	ɖ͡ʐ̰	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab -round -velaric -long	◌ɖ ◌ʐ ◌̰
ɖʐ̰ʲ	ɖ͡ʐ̰ʲ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi -back -round -velaric -long	◌ɖ ◌ʐ ◌̰ ◌ʲ
ɖʐ̰ʷ	ɖ͡ʐ̰ʷ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi +back +round -velaric -long	◌ɖ ◌ʐ ◌̰ ◌ʷ
ɖʐ̰ː	ɖ͡ʐ̰ː	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab -round -velaric +long	◌ɖ ◌ʐ ◌̰ ◌ː
ɖʐ̰ˠ	ɖ͡ʐ̰ˠ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi +back -round -velaric -long	◌ɖ ◌ʐ ◌̰ ◌ˠ
ɖʐ̰ˤ	ɖ͡ʐ̰ˤ	-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +lo +back -round -velaric -long	◌ɖ ◌ʐ ◌̰ ◌ˤ
ɖʐ̰̃	ɖ͡ʐ̰̃	-syl -son +cons -cont +delrel -lat +nas +voi -sg +cg -ant +cor -distr -lab -round -velaric -long	◌ɖ ◌ʐ ◌̰ ◌̃
ɖʐ̺	ɖ͡ʐ̺	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -round -velaric -long	◌ɖ ◌ʐ ◌̺
ɖʐ̻	ɖ͡ʐ̻	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab -round -velaric -long	◌ɖ ◌ʐ ◌̻
ɖʐᶣ	ɖ͡ʐᶣ	-syl -son +cons -cont +delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -back +round -velaric -long	◌ɖ ◌ʐ ◌ᶣ
ɖʐᶣʰ	ɖ͡ʐʰᶣ	-syl -son +cons -cont +delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -back +round -velaric -long	◌ɖ ◌ʐ ◌ᶣ ◌ʰ
ɖʰ	ɖʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌ʰ
ɖʰː	ɖʰː	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ɖ ◌ʰ ◌ː
ɖʱ	ɖ̤	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌ʱ
ɖʱː	ɖ̤ː	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ɖ ◌ʱ ◌ː
ɖʲ	ɖʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo -back -round -velaric -long	◌ɖ ◌ʲ
ɖʲʰ	ɖʰʲ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo -back -round -velaric -long	◌ɖ ◌ʲ ◌ʰ
ɖʲʰ	ɖʲʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo -back -round -velaric -long	◌ɖ ◌ʲ ◌ʰ
ɖʲʱ	ɖ̤ʲ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo -back -round -velaric -long	◌ɖ ◌ʲ ◌ʱ
ɖʲʷ	ɖʲʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɖ ◌ʲ ◌ʷ
ɖʲʷʰ	ɖʲʷʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɖ ◌ʲ ◌ʷ ◌ʰ
ɖʲː	ɖʲː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo -back -round -velaric +long	◌ɖ ◌ʲ ◌ː
ɖʲː	ɖːʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo -back -round -velaric +long	◌ɖ ◌ʲ ◌ː
ɖʷ	ɖʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɖ ◌ʷ
ɖʷʰ	ɖʰʷ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɖ ◌ʷ ◌ʰ
ɖʷʰ	ɖʷʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɖ ◌ʷ ◌ʰ
ɖʷʰː	ɖʷʰː	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric +long	◌ɖ ◌ʷ ◌ʰ ◌ː
ɖʷʱ	ɖ̤ʷ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɖ ◌ʷ ◌ʱ
ɖʷˀ	ɖʷˀ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɖ ◌ʷ ◌ˀ
ɖʷː	ɖʷː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric +long	◌ɖ ◌ʷ ◌ː
ɖʷː	ɖːʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric +long	◌ɖ ◌ʷ ◌ː
ɖʷˠ	ɖʷˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɖ ◌ʷ ◌ˠ
ɖʷˠʰ	ɖʷˠʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɖ ◌ʷ ◌ˠ ◌ʰ
ɖʷˤ	ɖʷˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi +lo +back +round -velaric -long	◌ɖ ◌ʷ ◌ˤ
ɖʷˤʰ	ɖʷˤʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi +lo +back +round -velaric -long	◌ɖ ◌ʷ ◌ˤ ◌ʰ
ɖˀ	ɖˀ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌ˀ
ɖː	ɖː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ɖ ◌ː
ɖˠ	ɖˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back -round -velaric -long	◌ɖ ◌ˠ
ɖˠʰ	ɖʰˠ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo +back -round -velaric -long	◌ɖ ◌ˠ ◌ʰ
ɖˠʱ	ɖ̤ˠ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo +back -round -velaric -long	◌ɖ ◌ˠ ◌ʱ
ɖˠː	ɖːˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back -round -velaric +long	◌ɖ ◌ˠ ◌ː
ɖˡ	ɖˡ	-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌ˡ
ɖˤ	ɖˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ɖ ◌ˤ
ɖˤʰ	ɖʰˤ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ɖ ◌ˤ ◌ʰ
ɖˤʰ	ɖˤʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ɖ ◌ˤ ◌ʰ
ɖˤʱ	ɖ̤ˤ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ɖ ◌ˤ ◌ʱ
ɖˤː	ɖːˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric +long	◌ɖ ◌ˤ ◌ː
ɖˤː	ɖˤː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric +long	◌ɖ ◌ˤ ◌ː
ɖ̃	ɖ̃	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌̃
ɖ̃ː	ɖ̃ː	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ɖ ◌̃ ◌ː
ɖ̃ˤ	ɖ̃ˤ	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ɖ ◌̃ ◌ˤ
ɖ̟	ɖ̟	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌̟
ɖ̠	ɖ̠	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌̠
ɖ̰	ɖ̰	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌̰
ɖ̰ʲ	ɖ̰ʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi -lo -back -round -velaric -long	◌ɖ ◌̰ ◌ʲ
ɖ̰ʷ	ɖ̰ʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɖ ◌̰ ◌ʷ
ɖ̰ː	ɖ̰ː	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ɖ ◌̰ ◌ː
ɖ̰ˠ	ɖ̰ˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi -lo +back -round -velaric -long	◌ɖ ◌̰ ◌ˠ
ɖ̰ˤ	ɖ̰ˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ɖ ◌̰ ◌ˤ
ɖ̰̃	ɖ̰̃	-syl -son +cons -cont -delrel -lat +nas +voi -sg +cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌̰ ◌̃
ɖ̺	ɖ̺	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌̺
ɖ̻	ɖ̻	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌̻
ɖᶣ	ɖᶣ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo -back +round -velaric -long	◌ɖ ◌ᶣ
ɖᶣʰ	ɖʰᶣ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo -back +round -velaric -long	◌ɖ ◌ᶣ ◌ʰ
ɖⁿ	ɖⁿ	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɖ ◌ⁿ
ɗ	ɗ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɗ
ɗʱ	ɗ̤	-syl -son +cons -cont -delrel -lat -nas +voi +sg +cg +ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɗ ◌ʱ
ɗʱː	ɗ̤ː	-syl -son +cons -cont -delrel -lat -nas +voi +sg +cg +ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ɗ ◌ʱ ◌ː
ɗʲ	ɗʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -lo -back -round -velaric -long	◌ɗ ◌ʲ
ɗʲʱ	ɗ̤ʲ	-syl -son +cons -cont -delrel -lat -nas +voi +sg +cg +ant +cor -distr -lab +hi -lo -back -round -velaric -long	◌ɗ ◌ʲ ◌ʱ
ɗʲʷ	ɗʲʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɗ ◌ʲ ◌ʷ
ɗʲː	ɗʲː	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -lo -back -round -velaric +long	◌ɗ ◌ʲ ◌ː
ɗʲː	ɗːʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -lo -back -round -velaric +long	◌ɗ ◌ʲ ◌ː
ɗʷ	ɗʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɗ ◌ʷ
ɗʷʱ	ɗ̤ʷ	-syl -son +cons -cont -delrel -lat -nas +voi +sg +cg +ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɗ ◌ʷ ◌ʱ
ɗʷː	ɗʷː	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -lo +back +round -velaric +long	◌ɗ ◌ʷ ◌ː
ɗʷː	ɗːʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -lo +back +round -velaric +long	◌ɗ ◌ʷ ◌ː
ɗʷˠ	ɗʷˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ɗ ◌ʷ ◌ˠ
ɗʷˤ	ɗʷˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab +hi +lo +back +round -velaric -long	◌ɗ ◌ʷ ◌ˤ
ɗː	ɗː	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ɗ ◌ː
ɗˠ	ɗˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -lo +back -round -velaric -long	◌ɗ ◌ˠ
ɗˠʱ	ɗ̤ˠ	-syl -son +cons -cont -delrel -lat -nas +voi +sg +cg +ant +cor -distr -lab +hi -lo +back -round -velaric -long	◌ɗ ◌ˠ ◌ʱ
ɗˠː	ɗːˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -lo +back -round -velaric +long	◌ɗ ◌ˠ ◌ː
ɗˡ	ɗˡ	-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɗ ◌ˡ
ɗˤ	ɗˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ɗ ◌ˤ
ɗˤʱ	ɗ̤ˤ	-syl -son +cons -cont -delrel -lat -nas +voi +sg +cg +ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ɗ ◌ˤ ◌ʱ
ɗˤː	ɗːˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab -hi +lo +back -round -velaric +long	◌ɗ ◌ˤ ◌ː
ɗˤː	ɗˤː	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab -hi +lo +back -round -velaric +long	◌ɗ ◌ˤ ◌ː
ɗ̃	ɗ̃	-syl -son +cons -cont -delrel -lat +nas +voi -sg +cg +ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ɗ ◌̃
ɗ̃ː	ɗ̃ː	-syl -son +cons -cont -delrel -lat +nas +voi -sg +cg +ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ɗ ◌̃ ◌ː
ɗ̃ˤ	ɗ̃ˤ	-syl -son +cons -cont -delrel -lat +nas +voi -sg +cg +ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ɗ ◌̃ ◌ˤ
