BIPA	GRAPHEME	FEATURES	SYMBOLS
a̟	a̟	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̟
a̠	a̠	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̠
a̤	a̤	+syl +son -cons +cont -delrel -lat -nas +voi +sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̤
a̤ː	a̤ː	+syl +son -cons +cont -delrel -lat -nas +voi +sg -cg -cor -lab -hi +lo +back -round -velaric +tense +long	◌a ◌̤ ◌ː
a̤ˠ	a̤ˠ	+syl +son -cons +cont -delrel -lat -nas +voi +sg -cg -cor -lab +hi +lo +back -round -velaric +tense -long	◌a ◌̤ ◌ˠ
a̤ˤ	a̤ˤ	+syl +son -cons +cont -delrel -lat -nas +voi +sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̤ ◌ˤ
ḁ	ḁ	+syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̥
ḁː	ḁː	+syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense +long	◌a ◌̥ ◌ː
ḁˠ	ḁˠ	+syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -cor -lab +hi +lo +back -round -velaric +tense -long	◌a ◌̥ ◌ˠ
ḁˤ	ḁˤ	+syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̥ ◌ˤ
ḁ̤	a̤̥	+syl +son -cons +cont -delrel -lat -nas -voi +sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̥ ◌̤
a̯	a̯	-syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̯
a̰	a̰	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̰
a̰ː	a̰ː	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi +lo +back -round -velaric +tense +long	◌a ◌̰ ◌ː
a̰ˠ	a̰ˠ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi +lo +back -round -velaric +tense -long	◌a ◌̰ ◌ˠ
a̰ˤ	a̰ˤ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̰ ◌ˤ
ã̰	ã̰	+syl +son -cons +cont -delrel -lat +nas +voi -sg +cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̰ ◌̃
b	b	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant -cor +lab -hi -lo -back -round -velaric -long	◌b
bd	b͡d	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d
bdʰ	b͡dʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌ʰ
bdʰː	b͡dʰː	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric +long	◌b ◌d ◌ʰ ◌ː
bdʱ	b͡d̤	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌ʱ
bdʱː	b͡d̤ː	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric +long	◌b ◌d ◌ʱ ◌ː
bdʲ	b͡dʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab +hi -lo -back -round -velaric -long	◌b ◌d ◌ʲ
bdʲʰ	b͡dʰʲ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi -lo -back -round -velaric -long	◌b ◌d ◌ʲ ◌ʰ
bdʲʰ	b͡dʲʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi -lo -back -round -velaric -long	◌b ◌d ◌ʲ ◌ʰ
