BIPA	GRAPHEME	COLUMN	COUNT	NOTE	SYMBOLS
kpʷ	kpʷ	664	2		◌k ◌p ◌ʷ
kt	kt	582	1		◌k ◌t
kʰ	kʰ	640	310		◌k ◌ʰ
kʷʰ	kʰʷ	644	18		◌k ◌ʷ ◌ʰ
kʲ	kʲ	680	14		◌k ◌ʲ
kʷ	kʷ	560	181		◌k ◌ʷ
kˀ	kˀ	608	225		◌k ◌ˀ
kʲˀ	kˀʲ	698	1		◌k ◌ʲ ◌ˀ
kʷˀ	kˀʷ	700	55		◌k ◌ʷ ◌ˀ
kː	kː	655	2		◌k ◌ː
kˡ	kˡ	14	1		◌k ◌ˡ
kˡˀ	kˡˀ	25	1		◌k ◌ˡ ◌ˀ
kx	kˣ	123	10		◌k ◌x
kxˀ	kˣˀ	692	2		◌k ◌x ◌ˀ
l	l	439	1650		◌l
lʲ	lʲ	464	3		◌l ◌ʲ
lˀ	lˀ	459	4		◌l ◌ˀ
l̃	l˜	452	1		◌l ◌̃
lʼ	ľ	458	38		◌l ◌’
l̩	ḷ	462	105		◌l ◌̩
l̩ʱ	ḷ̤	460	2		◌l ◌̩ ◌ʱ
l̩̥	ḷ̥	441	1		◌l ◌̩ ◌̥
lʱ	l̤	443	10		◌l ◌ʱ
l̥	l̥	456	49		◌l ◌̥
l̪	l̪	453	9		◌l ◌̪
l̪̥	l̪̥	436	1		◌l ◌̪ ◌̥
m	m	524	2044		◌m
mʱ	mʱ	536	1		◌m ◌ʱ
mʷ	mʷ	530	4		◌m ◌ʷ
mˀ	mˀ	540	8		◌m ◌ˀ
mˡ	mˡ	513	5		◌m ◌ˡ
mʱ	m̤	555	10		◌m ◌ʱ
m̥	m̥	529	56		◌m ◌̥
m̥ˡ	m̥ˡ	551	3		◌m ◌̥ ◌ˡ
n	n	525	2050		◌n
ⁿǃ	n!	183	24		◌ⁿ ◌ǃ
ⁿǃⁿ	n!n	185	2		◌ⁿ ◌ǃ ◌ⁿ
ⁿǃʰ	n!ʰ	207	1		◌ⁿ ◌ǃ ◌ʰ
ⁿǃʱ	n!ʱ	269	2		◌ⁿ ◌ǃ ◌ʱ
ⁿǃˀʰ	n!ˀʰ	171	1		◌ⁿ ◌ǃ ◌ˀ ◌ʰ
ⁿǀ	n/	198	31		◌ⁿ ◌ǀ
ⁿǀⁿ	n/n	214	2		◌ⁿ ◌ǀ ◌ⁿ
