BIPA	URL	FEATURES	GRAPHEME	SYMBOLS
ɭ̊	https://en.wikipedia.org/wiki/Voiceless_retroflex_lateral_approximant	Voiceless_retroflex_lateral_approximant	ɭ̊	◌ɭ ◌̊
ɮ	https://en.wikipedia.org/wiki/Voiced_alveolar_lateral_fricative	Voiced_alveolar_lateral_fricative	ɮ	◌ɮ
ɯ	https://en.wikipedia.org/wiki/Close_back_unrounded_vowel	Close_back_unrounded_vowel	ɯ	◌ɯ
ɯ̽	https://en.wikipedia.org/wiki/Near-close_near-back_unrounded_vowel	Near-close_near-back_unrounded_vowel	ɯ̽	◌ɯ ◌̽
ɰ	https://en.wikipedia.org/wiki/Voiced_velar_approximant	Voiced_velar_approximant	ɰ	◌ɰ
ɰ̥	https://en.wikipedia.org/wiki/Voiceless_velar_approximant	Voiceless_velar_approximant	ɰ̊	◌ɰ ◌̥
ɱ	https://en.wikipedia.org/wiki/Labiodental_nasal	Labiodental_nasal	ɱ	◌ɱ
ɲ	https://en.wikipedia.org/wiki/Palatal_nasal#Palatal_or_alveolo-palatal	Palatal_nasal#Palatal_or_alveolo-palatal	ɲ	◌ɲ
ɲ̊	https://en.wikipedia.org/wiki/Voiceless_palatal_nasal	Voiceless_palatal_nasal	ɲ̊	◌ɲ ◌̊
ɳ	https://en.wikipedia.org/wiki/Retroflex_nasal	Retroflex_nasal	ɳ	◌ɳ
ɳ̊	https://en.wikipedia.org/wiki/Voiceless_retroflex_nasal	Voiceless_retroflex_nasal	ɳ̊	◌ɳ ◌̊
ɴ	https://en.wikipedia.org/wiki/Uvular_nasal	Uvular_nasal	ɴ	◌ɴ
ɵ	https://en.wikipedia.org/wiki/Close-mid_central_rounded_vowel	Close-mid_central_rounded_vowel	ɵ	◌ɵ
ɵ̞	https://en.wikipedia.org/wiki/Mid_central_vowel#Mid_central_rounded_vowel	Mid_central_vowel#Mid_central_rounded_vowel	ɵ̞	◌ɵ ◌̞
ɶ	https://en.wikipedia.org/wiki/Open_front_rounded_vowel	Open_front_rounded_vowel	ɶ	◌ɶ
ɸ	https://en.wikipedia.org/wiki/Voiceless_bilabial_fricative	Voiceless_bilabial_fricative	ɸ	◌ɸ
ɹ	https://en.wikipedia.org/wiki/Alveolar_approximant	Alveolar_approximant	ɹ	◌ɹ
ɹ̠˔	https://en.wikipedia.org/wiki/Voiced_postalveolar_non-sibilant_fricative	Voiced_postalveolar_non-sibilant_fricative	ɹ̠˔	◌ɹ ◌̠ ◌˔
ɹ̠̊˔	https://en.wikipedia.org/wiki/Voiceless_postalveolar_non-sibilant_fricative	Voiceless_postalveolar_non-sibilant_fricative	ɹ̠̊˔	◌ɹ ◌̠ ◌̊ ◌˔
ɹ̥	https://en.wikipedia.org/wiki/Voiceless_alveolar_approximant	Voiceless_alveolar_approximant	ɹ̥	◌ɹ ◌̥
ɺ	https://en.wikipedia.org/wiki/Alveolar_lateral_flap	Alveolar_lateral_flap	ɺ	◌ɺ
ɻ	https://en.wikipedia.org/wiki/Retroflex_approximant	Retroflex_approximant	ɻ	◌ɻ
ɻ̥	https://en.wikipedia.org/wiki/Voiceless_retroflex_approximant	Voiceless_retroflex_approximant	ɻ̊	◌ɻ ◌̥
ɽ	https://en.wikipedia.org/wiki/Retroflex_flap	Retroflex_flap	ɽ	◌ɽ
