BIPA	GRAPHEME	URL	FEATURES	SYMBOLS
ç	ç	http://apics-online.info/parameters/198	voiceless palatal fricative	◌c ◌̧
ð	ð	http://apics-online.info/parameters/192	voiced dental fricative	◌ð
ø	ø	http://apics-online.info/parameters/265	higher mid front rounded oral vowel	◌ø
ħ	ħ	http://apics-online.info/parameters/207	voiceless pharyngeal fricative	◌ħ
ŋ	ŋ	http://apics-online.info/parameters/182	voiced velar nasal	◌ŋ
œ	œ	http://apics-online.info/parameters/266	lower mid front rounded oral vowel	◌œ
œy	œy	http://apics-online.info/parameters/304	diphthong falling from lower mid front rounded vowel to high front rounded vowel	◌œ ◌y
œ̃	œ̃	http://apics-online.info/parameters/294	nasalized lower mid front rounded vowel	◌œ ◌̃
əi	ǝi	http://apics-online.info/parameters/300	diphthong falling from mid central unrounded vowel to high front unrounded vowel	◌ə ◌i
j̃	ȷ̃	http://apics-online.info/parameters/219	nasalized voiced palatal glide	◌j ◌̃
ɐ	ɐ	http://apics-online.info/parameters/271	near-open central vowel	◌ɐ
ɑ	ɑ	http://apics-online.info/parameters/260	low back unrounded vowel	◌ɑ
ɑː	ɑː	http://apics-online.info/parameters/282	long low back unrounded vowel	◌ɑ ◌ː
ɑ̃	ɑ̃	http://apics-online.info/parameters/292	nasalized low back unrounded vowel	◌ɑ ◌̃
ɒ	ɒ	http://apics-online.info/parameters/262	low back rounded vowel	◌ɒ
ɓ	ɓ	http://apics-online.info/parameters/176	voiced bilabial implosive plosive	◌ɓ
ɔ	ɔ	http://apics-online.info/parameters/259	lower mid back rounded vowel	◌ɔ
ɔi	ɔi	http://apics-online.info/parameters/298	diphthong falling from lower mid back rounded vowel to high front unrounded vowel	◌ɔ ◌i
ɔu	ɔu	http://apics-online.info/parameters/302	diphthong falling from lower mid back rounded vowel to high back rounded vowel	◌ɔ ◌u
ɔː	ɔː	http://apics-online.info/parameters/281	long lower mid back rounded vowel	◌ɔ ◌ː
ɔ̃	ɔ̃	http://apics-online.info/parameters/291	nasalized lower mid back rounded vowel	◌ɔ ◌̃
ɕ	ɕ	http://apics-online.info/parameters/197	voiceless alveolo-palatal fricative	◌ɕ
ɖ	ɖ	http://apics-online.info/parameters/144	voiced retroflex plosive	◌ɖ
ɗ	ɗ	http://apics-online.info/parameters/177	voiced dental/alveolar implosive plosive	◌ɗ
ə	ə	http://apics-online.info/parameters/268	mid central unrounded vowel	◌ə
əː	əː	http://apics-online.info/parameters/283	long mid central unrounded vowel	◌ə ◌ː
ə̃	ə̃	http://apics-online.info/parameters/293	nasalized mid central unrounded vowel	◌ə ◌̃
ɛ	ɛ	http://apics-online.info/parameters/254	lower mid front unrounded vowel	◌ɛ
ɛə	ɛə	http://apics-online.info/parameters/305	diphthong with lower mid front unrounded vowel and nonsyllabic mid central unrounded vowel	◌ɛ ◌ə
ɛː	ɛː	http://apics-online.info/parameters/276	long lower mid front unrounded vowel	◌ɛ ◌ː
ɛ̃	ɛ̃	http://apics-online.info/parameters/287	nasalized lower mid front unrounded vowel	◌ɛ ◌̃
ɜ	ɜ	http://apics-online.info/parameters/269	lower mid central unrounded vowel	◌ɜ
ɟ	ɟ	http://apics-online.info/parameters/146	voiced palatal plosive	◌ɟ
ɣ	ɣ	http://apics-online.info/parameters/201	voiced velar fricative	◌ɣ
ɥ	ɥ	http://apics-online.info/parameters/220	voiced labiopalatal glide	◌ɥ
ɨ	ɨ	http://apics-online.info/parameters/267	high central unrounded vowel	◌ɨ
ɪ	ɪ	http://apics-online.info/parameters/263	lowered high front unrounded vowel	◌ɪ
ɬ	ɬ	http://apics-online.info/parameters/212	voiceless dental/alveolar lateral fricative	◌ɬ
ɭ	ɭ	http://apics-online.info/parameters/217	voiced retroflex lateral approximant	◌ɭ
ɮ	ɮ	http://apics-online.info/parameters/216	voiced lateral fricative	◌ɮ
ɯ	ɯ	http://apics-online.info/parameters/272	high back unrounded vowel	◌ɯ
ɲ	ɲ	http://apics-online.info/parameters/181	voiced palatal nasal	◌ɲ
ɳ	ɳ	http://apics-online.info/parameters/180	voiced retroflex nasal	◌ɳ
ɸ	ɸ	http://apics-online.info/parameters/187	voiceless bilabial fricative	◌ɸ
ɹ	ɹ	http://apics-online.info/parameters/185	voiced dental/alveolar approximant	◌ɹ
ɻ	ɻ	http://apics-online.info/parameters/186	voiced retroflex approximant	◌ɻ
ɾ	ɾ	http://apics-online.info/parameters/184	voiced dental/alveolar flap	◌ɾ
ʁ	ʁ	http://apics-online.info/parameters/204	voiced uvular fricative	◌ʁ
ʃ	ʃ	http://apics-online.info/parameters/195	voiceless palato-alveolar sibilant fricative	◌ʃ
ʈ	ʈ	http://apics-online.info/parameters/143	voiceless retroflex plosive	◌ʈ
ʈʰ	ʈʰ	http://apics-online.info/parameters/162	voiceless aspirated retroflex plosive	◌ʈ ◌ʰ
ʊ	ʊ	http://apics-online.info/parameters/273	lowered high back rounded vowel	◌ʊ
ʋ	ʋ	http://apics-online.info/parameters/222	voiced labio-dental approximant	◌ʋ
ʌ	ʌ	http://apics-online.info/parameters/270	lower central unrounded vowel	◌ʌ
ʎ	ʎ	http://apics-online.info/parameters/215	voiced palatal lateral approximant	◌ʎ
ʏ	ʏ	http://apics-online.info/parameters/264	lowered high front rounded vowel	◌ʏ
ʒ	ʒ	http://apics-online.info/parameters/196	voiced palato-alveolar sibilant fricative	◌ʒ
ʔ	ʔ	http://apics-online.info/parameters/155	glottal plosive	◌ʔ
ʕ	ʕ	http://apics-online.info/parameters/208	voiced pharyngeal fricative	◌ʕ
dʑ	ʥ	http://apics-online.info/parameters/142	voiced alveolo-palatal affricate	◌d ◌ʑ
tɕ	ʨ	http://apics-online.info/parameters/141	voiceless alveolo-palatal affricate	◌t ◌ɕ
ʰk	ʰk	http://apics-online.info/parameters/250	voiceless preaspirated velar plosive	◌ʰ ◌k
ʰp	ʰp	http://apics-online.info/parameters/247	voiceless preaspirated bilabilal plosive	◌ʰ ◌p
ʰr	ʰr	http://apics-online.info/parameters/251	pre-breathy voice rhotic	◌ʰ ◌r
ʰt	ʰt	http://apics-online.info/parameters/248	voiceless preaspirated dental/alveolar plosive	◌ʰ ◌t
ʰtʃ	ʰtʃ	http://apics-online.info/parameters/249	voiceless preaspirated palato-alveolar sibilant affricate	◌ʰ ◌t ◌ʃ
β	β	http://apics-online.info/parameters/188	voiced bilabial fricative	◌β
θ	θ	http://apics-online.info/parameters/191	voiceless dental fricative	◌θ
χ	χ	http://apics-online.info/parameters/202	voiceless uvular fricative	◌χ
χʷ	χʷ	http://apics-online.info/parameters/203	labialized voiceless uvular fricative	◌χ ◌ʷ
ⁿd	ⁿd	http://apics-online.info/parameters/232	prenasalized voiced dental/alveolar plosive	◌ⁿ ◌d
ⁿdʒ	ⁿd͡ʒ	http://apics-online.info/parameters/233	prenasalized voiced palato-alveolar sibilant affricate	◌ⁿ ◌d ◌ʒ
ⁿf	ⁿf	http://apics-online.info/parameters/240	prenasalized voiceless labiodental fricative	◌ⁿ ◌f
ⁿs	ⁿs	http://apics-online.info/parameters/242	prenasalized voiceless dental/alveolar sibilant fricative	◌ⁿ ◌s
ⁿt	ⁿt	http://apics-online.info/parameters/237	prenasalized voiceless dental/alveolar plosive	◌ⁿ ◌t
ⁿz	ⁿz	http://apics-online.info/parameters/243	prenasalized voiced dental/alveolar sibilant fricative	◌ⁿ ◌z
ⁿʒ	ⁿʒ	http://apics-online.info/parameters/244	prenasalized voiced palato-alveolar fricative	◌ⁿ ◌ʒ
