BIPA	GRAPHEME	ID	SYMBOLS
ʊː	ʊː	282	◌ʊ ◌ː
ʊ̃	ʊ̃	281	◌ʊ ◌̃
ʋ	ʋ	197	◌ʋ
ʌ	ʌ	323	◌ʌ
ʌː	ʌː	325	◌ʌ ◌ː
ʌ̃	ʌ̃	324	◌ʌ ◌̃
ʌ̃ː	ʌ̃ː	326	◌ʌ ◌̃ ◌ː
ʎ	ʎ	231	◌ʎ
ʏ	ʏ	279	◌ʏ
ʐ	ʐ	176	◌ʐ
ʒ	ʒ	178	◌ʒ
ʒ̺	ʒ̺	179	◌ʒ ◌̺
ʔ	ʔ	49	◌ʔ
ˀb	ʔb	86	◌ˀ ◌b
ˀd	ʔd	93	◌ˀ ◌d
ˀdʒ	ʔdʒ	107	◌ˀ ◌d ◌ʒ
ˀw	ʔw	217	◌ˀ ◌w
ˀɾ	ʔɾ	237	◌ˀ ◌ɾ
ʔʲ	ʔʲ	50	◌ʔ ◌ʲ
ʕ	ʕ	218	◌ʕ
ʙ	ʙ	243	◌ʙ
ʝ	ʝ	182	◌ʝ
ʰb	ʰb	5	◌ʰ ◌b
ʰc	ʰc	29	◌ʰ ◌c
ʰd	ʰd	22	◌ʰ ◌d
ʰj	ʰj	201	◌ʰ ◌j
ʰk	ʰk	35	◌ʰ ◌k
ʰkʷ	ʰkʷ	37	◌ʰ ◌k ◌ʷ
ʰm	ʰm	131	◌ʰ ◌m
ʰn	ʰn	142	◌ʰ ◌n
ʰt	ʰt	17	◌ʰ ◌t
ʰw	ʰw	209	◌ʰ ◌w
ʰɟ	ʰɟ	30	◌ʰ ◌ɟ
ʰɾ	ʰɾ	233	◌ʰ ◌ɾ
β	β	160	◌β
βʲ	βʲ	161	◌β ◌ʲ
β̞	β̞	196	◌β ◌̞
θ	θ	165	◌θ
θʲ	θʲ	167	◌θ ◌ʲ
χ	χ	189	◌χ
χʷ	χʷ	190	◌χ ◌ʷ
