BIPA	ID	GRAPHEME	FEATURES	SYMBOLS
gǁ	1366	ɡǁ	click stop lateral voiced alveolar velar	◌g ◌ǁ
gǃ	1365	ɡǃ	click stop voiced palato-alveolar velar	◌g ◌ǃ
gʲ	1914	ɡʲ	pulmonic stop voiced palatalized velar	◌g ◌ʲ
gʷ	1902	ɡʷ	pulmonic stop voiced labialized velar	◌g ◌ʷ
gʱ	1951	ɡ̤	pulmonic stop breathy voiced velar	◌g ◌ʱ
gʲʱ	5949	ɡ̤ʲ	pulmonic stop voiced breathy voiced palatalized velar	◌g ◌ʲ ◌ʱ
g̰	5943	ɡ̰	pulmonic stop voiced laryngealized velar	◌g ◌̰
g̰ʷ	5944	ɡ̰ʷ	pulmonic stop voiced laryngealized labialized velar	◌g ◌̰ ◌ʷ
ɢ	14	ɢ	pulmonic stop voiced uvular	◌ɢ
ɢʷ	3030	ɢʷ	pulmonic stop voiced labialized uvular	◌ɢ ◌ʷ
ɣ	53	ɣ	pulmonic fricative voiced velar	◌ɣ
ɣʷ	5488	ɣʷ	pulmonic fricative voiced labialized velar	◌ɣ ◌ʷ
ɤ	193	ɤ	higher mid back unrounded	◌ɤ
ɤ	1744	ɤ'	unspecified mid back unrounded	◌ɤ
ɤi	1542	ɤi	diphtong high higher mid front back unrounded rising fronting	◌ɤ ◌i
ɤː	1632	ɤː	long higher mid back unrounded	◌ɤ ◌ː
ɤ̃	5952	ɤ̃	nasalized higher mid back unrounded	◌ɤ ◌̃
ɤ̃	1743	ɤ̃'	nasalized unspecified mid back unrounded	◌ɤ ◌̃
ɥ	72	ɥ	pulmonic approximant voiced bilabial palatal	◌ɥ
ɦ	59	ɦ	pulmonic fricative voiced glottal	◌ɦ
ɦʲ	5972	ɦʲ	pulmonic fricative voiced palatalized glottal	◌ɦ ◌ʲ
ɦ̃	5936	ɦ̃	pulmonic fricative nasalized voiced glottal	◌ɦ ◌̃
ɨ	186	ɨ	high central unrounded	◌ɨ
ɨa	4959	ɨa	diphtong high low central unrounded lowering	◌ɨ ◌a
ɨi	2379	ɨi	diphtong high front central unrounded fronting	◌ɨ ◌i
ɨu	1572	ɨu	diphtong high central back unrounded rounded backing rounding	◌ɨ ◌u
ɨə	1558	ɨə	diphtong high higher mid central unrounded lowering	◌ɨ ◌ə
ɨː	5297	ɨː	long high central unrounded	◌ɨ ◌ː
ɨ̃	1611	ɨ̃	nasalized high central unrounded	◌ɨ ◌̃
ɨ̃ĩ	1499	ɨ̃ĩ	nasalized diphtong high front central unrounded fronting	◌ɨ ◌̃ ◌i ◌̃
ɨ̃ː	5308	ɨ̃ː	nasalized long high central unrounded	◌ɨ ◌̃ ◌ː
ɨ̞̃	5903	ɨ̞̃	nasalized high lowered high central unrounded	◌ɨ ◌̞ ◌̃
ɨ̰̃	1689	ɨ̰̃	nasalized laryngealized high central unrounded	◌ɨ ◌̰ ◌̃
ɨ̆	1784	ɨ̆	overshort high central unrounded	◌ɨ ◌̆
ɨ̞	219	ɨ̞	lowered high central unrounded	◌ɨ ◌̞
ɨ̰	1652	ɨ̰	laryngealized high central unrounded	◌ɨ ◌̰
ɪ	182	ɪ	lowered high front unrounded	◌ɪ
ɪː	1701	ɪː	long lowered high front unrounded	◌ɪ ◌ː
ɪ̃	3343	ɪ̃	nasalized lowered high front unrounded	◌ɪ ◌̃
ɬ	87	ɬ	pulmonic fricative lateral voiceless alveolar	◌ɬ
ɬʼ	2037	ɬ'	pulmonic fricative lateral voiceless unspecified coronal place	◌ɬ ◌ʼ
ɬʼ	2024	ɬʼ	ejective fricative lateral alveolar	◌ɬ ◌ʼ
ɬ̪	89	ɬ̪	pulmonic fricative lateral voiceless dental	◌ɬ ◌̪
ɬ̪ː	2790	ɬ̪ː	pulmonic fricative lateral voiceless long dental	◌ɬ ◌̪ ◌ː
ɭ	97	ɭ	pulmonic approximant lateral voiced retroflex	◌ɭ
ɭ̊	3978	ɭ̥	pulmonic approximant lateral voiceless retroflex	◌ɭ ◌̊
ɮ	88	ɮ	pulmonic fricative lateral voiced alveolar	◌ɮ
ɮʲ	2089	ɮʲ	pulmonic fricative lateral voiced palatalized alveolar	◌ɮ ◌ʲ
ɮ̪	3731	ɮ̪	pulmonic fricative lateral voiced dental	◌ɮ ◌̪
ɯ	188	ɯ	high back unrounded	◌ɯ
ɯa	1482	ɯa	diphtong high low central back unrounded lowering fronting	◌ɯ ◌a
ɯi	2755	ɯi	diphtong high front back unrounded fronting	◌ɯ ◌i
ɯ̥ː	1494	ɯɯ̥	voiceless diphtong high back unrounded	◌ɯ ◌̥ ◌ː
ɯʌ	1511	ɯʌ	diphtong high lower mid back unrounded lowering	◌ɯ ◌ʌ
ɯː	4989	ɯː	long high back unrounded	◌ɯ ◌ː
ɯ̃	3233	ɯ̃	nasalized high back unrounded	◌ɯ ◌̃
ɯ̃ː	1624	ɯ̃ː	nasalized long high back unrounded	◌ɯ ◌̃ ◌ː
ɯ̞	191	ɯ̞	lowered high back unrounded	◌ɯ ◌̞
ɯ̰	5998	ɯ̰	laryngealized high back unrounded	◌ɯ ◌̰
ɰ	69	ɰ	pulmonic approximant voiced velar	◌ɰ
ɰ̃	5994	ɰ̃	pulmonic approximant nasalized voiced velar	◌ɰ ◌̃
ɰ̰	4719	ɰ̰	pulmonic approximant voiced laryngealized velar	◌ɰ ◌̰
ɱ	25	ɱ	pulmonic nasal voiced labio-dental	◌ɱ
ⁿv	2640	ɱv	pulmonic fricative prenasalized voiced labio-dental	◌ⁿ ◌v
ɲ	31	ɲ	pulmonic nasal voiced palatal	◌ɲ
ⁿtɕʲ	2083	ɲcɕ	pulmonic affricate prenasalized voiceless palatalized palato-alveolar	◌ⁿ ◌t ◌ɕ ◌ʲ
ⁿdʒ	5956	ɲd̠ʒ	pulmonic stop fricative sibilant prenasalized voiced alveolar palato-alveolar retracted	◌ⁿ ◌d ◌ʒ
ⁿɟ	3238	ɲɟ	pulmonic stop prenasalized voiced palatal	◌ⁿ ◌ɟ
ɲˀ	5991	ɲˀ	pulmonic nasal voiced laryngealized palatal	◌ɲ ◌ˀ
ɲː	1873	ɲː	pulmonic nasal voiced long palatal	◌ɲ ◌ː
ɲʱ	6009	ɲ̤	pulmonic nasal voiced breathy voiced palatal	◌ɲ ◌ʱ
ɲ̊	3981	ɲ̥	pulmonic nasal voiceless palatal	◌ɲ ◌̊
ɲ̰	4697	ɲ̰	pulmonic nasal voiced laryngealized palatal	◌ɲ ◌̰
ɳ	29	ɳ	pulmonic nasal voiced retroflex	◌ɳ
ⁿʈʂ	5804	ɳtʂ	pulmonic affricate sibilant prenasalized voiceless retroflex	◌ⁿ ◌ʈ ◌ʂ
ⁿʈʂʰ	5803	ɳtʂʰ	pulmonic affricate sibilant prenasalized aspirated voiceless retroflex	◌ⁿ ◌ʈ ◌ʂ ◌ʰ
ⁿɖ	2146	ɳɖ	pulmonic stop prenasalized voiced retroflex	◌ⁿ ◌ɖ
ⁿʈ	2252	ɳʈ	pulmonic stop prenasalized voiceless retroflex	◌ⁿ ◌ʈ
ɳʱ	2206	ɳ̤	pulmonic nasal breathy voiced retroflex	◌ɳ ◌ʱ
ɳ̊	3980	ɳ̥	pulmonic nasal voiceless retroflex	◌ɳ ◌̊
ɴ	35	ɴ	pulmonic nasal voiced uvular	◌ɴ
ⁿq	5922	ɴq	pulmonic stop prenasalized voiceless uvular	◌ⁿ ◌q
ⁿqʰ	5923	ɴqʰ	pulmonic stop prenasalized aspirated voiceless uvular	◌ⁿ ◌q ◌ʰ
ɵ	210	ɵ	higher mid central rounded	◌ɵ
ɵ	5902	ɵ'	unspecified mid central rounded	◌ɵ
ɵː	6013	ɵː	long higher mid central rounded	◌ɵ ◌ː
ɵ̃	1761	ɵ̃	nasalized higher mid central rounded	◌ɵ ◌̃
ɸ	46	ɸ	pulmonic fricative voiceless bilabial	◌ɸ
ɸʲ	4703	ɸʲ	pulmonic fricative voiceless palatalized bilabial	◌ɸ ◌ʲ
ɸʷ	5260	ɸʷ	pulmonic fricative voiceless labialized bilabial	◌ɸ ◌ʷ
ɸ̞	73	ɸ̞	pulmonic approximant voiceless bilabial	◌ɸ ◌̞
ɹ	66	ɹ	pulmonic approximant voiced alveolar	◌ɹ
ɹ̰	5919	ɹ̰	pulmonic approximant voiced laryngealized alveolar	◌ɹ ◌̰
ɺ	127	ɺ	pulmonic tap/flap lateral alveolar	◌ɺ
ɺʲ	2274	ɺʲ	pulmonic tap/flap lateral palatalized alveolar	◌ɺ ◌ʲ
ɺ̣	2638	ɺ̣	pulmonic tap/flap lateral retroflex	◌ɺ ◌̣
ɻ	67	ɻ	pulmonic approximant voiced retroflex	◌ɻ
ɻ̝	5953	ɻ̝	pulmonic approximant voiced retroflex	◌ɻ ◌̝
ɽ	119	ɽ	pulmonic tap/flap voiced retroflex	◌ɽ
ɽʱ	1955	ɽ̤	pulmonic tap/flap breathy voiced retroflex	◌ɽ ◌ʱ
ɽ̥	4994	ɽ̥	pulmonic tap/flap voiceless retroflex	◌ɽ ◌̥
ɾ	121	ɾ	pulmonic tap/flap voiced alveolar	◌ɾ
ɾʼ	237	ɾ'	pulmonic tap/flap voiced unspecified coronal place	◌ɾ ◌’
ɾʲ	1986	ɾʲ	pulmonic tap/flap voiced palatalized alveolar	◌ɾ ◌ʲ
ɾˠ	1985	ɾˠ	pulmonic tap/flap voiced velarized alveolar	◌ɾ ◌ˠ
ɾˤ	1970	ɾˤ	pulmonic tap/flap voiced pharyngealized  alveolar	◌ɾ ◌ˤ
ɾʱ	1954	ɾ̤	pulmonic tap/flap breathy voiced alveolar	◌ɾ ◌ʱ
ɾ̥	2214	ɾ̥	pulmonic tap/flap voiceless alveolar	◌ɾ ◌̥
ɾ̪	2401	ɾ̪	pulmonic tap/flap voiced dental	◌ɾ ◌̪
ɾ̰	2092	ɾ̰	pulmonic tap/flap voiced laryngealized alveolar	◌ɾ ◌̰
ʀ	43	ʀ	pulmonic trill voiced uvular	◌ʀ
ʀʲ	2228	ʀʲ	pulmonic trill voiced palatalized uvular	◌ʀ ◌ʲ
ʁ	55	ʁ	pulmonic fricative voiced uvular	◌ʁ
ʁʷ	4159	ʁʷ	pulmonic fricative voiced labialized uvular	◌ʁ ◌ʷ
ʁ̞	2884	ʁ̞	pulmonic approximant voiced uvular	◌ʁ ◌̞
ʂ	81	ʂ	pulmonic fricative sibilant voiceless retroflex	◌ʂ
ʃ	79	ʃ	pulmonic fricative sibilant voiceless palato-alveolar	◌ʃ
ʃʲ	5968	ʃʲ	pulmonic fricative sibilant voiceless palatalized palato-alveolar	◌ʃ ◌ʲ
ʃʷ	3028	ʃʷ	pulmonic fricative sibilant voiceless labialized palato-alveolar	◌ʃ ◌ʷ
ʃˠ	5966	ʃˠ	pulmonic fricative sibilant voiceless velarized palato-alveolar	◌ʃ ◌ˠ
ʃˤ	2279	ʃˤ	pulmonic fricative sibilant voiceless pharyngealized  palato-alveolar	◌ʃ ◌ˤ
ʃ̫	6021	ʃ̫	pulmonic fricative sibilant voiceless palato-alveolar whistled	◌ʃ ◌̫
ʄ	117	ʄ	implosive stop voiced palatal	◌ʄ
ʈ	7	ʈ	pulmonic stop voiceless retroflex	◌ʈ
ʈʂ	5825	ʈʂ	pulmonic affricate sibilant voiceless retroflex	◌ʈ ◌ʂ
ʈʂʰ	1869	ʈʂʰ	pulmonic affricate sibilant aspirated voiceless retroflex	◌ʈ ◌ʂ ◌ʰ
ʈʂʼ	1810	ʈʂʼ	ejective affricate sibilant retroflex	◌ʈ ◌ʂ ◌’
ʈʰ	5320	ʈʰ	pulmonic stop aspirated voiceless retroflex	◌ʈ ◌ʰ
ʈɻ̝̊	154	ʈθ̣	pulmonic affricate voiceless retroflex	◌ʈ ◌ɻ ◌̝ ◌̊
ʉ	187	ʉ	high central rounded	◌ʉ
ʉː	1790	ʉː	long high central rounded	◌ʉ ◌ː
ʉ̃	1681	ʉ̃	nasalized high central rounded	◌ʉ ◌̃
ʉ̃ː	1789	ʉ̃ː	nasalized long high central rounded	◌ʉ ◌̃ ◌ː
ʊ	190	ʊ	lowered high back rounded	◌ʊ
ʊi	5120	ʊi	diphtong high lowered high front back unrounded rounded rising fronting unrounding	◌ʊ ◌i
ʊə	1503	ʊə	diphtong lowered high higher mid central back unrounded rounded lowering fronting unrounding	◌ʊ ◌ə
ʊː	2601	ʊː	long lowered high back rounded	◌ʊ ◌ː
ʊ̃	3341	ʊ̃	nasalized lowered high back rounded	◌ʊ ◌̃
ʊ̃ː	1774	ʊ̃ː	nasalized long lowered high back rounded	◌ʊ ◌̃ ◌ː
ʋ	65	ʋ	pulmonic approximant voiced labio-dental	◌ʋ
ʋʲ	5965	ʋʲ	pulmonic approximant voiced palatalized labio-dental	◌ʋ ◌ʲ
ʌ	202	ʌ	lower mid back unrounded	◌ʌ
ʌː	1626	ʌː	long lower mid back unrounded	◌ʌ ◌ː
ʌ̃	3230	ʌ̃	nasalized lower mid back unrounded	◌ʌ ◌̃
ʌ̃ː	1627	ʌ̃ː	nasalized long lower mid back unrounded	◌ʌ ◌̃ ◌ː
ʍ	71	ʍ	pulmonic approximant voiceless bilabial velar	◌ʍ
ʎ	99	ʎ	pulmonic approximant lateral voiced palatal	◌ʎ
ʏ	183	ʏ	lowered high front rounded	◌ʏ
ʐ	82	ʐ	pulmonic fricative sibilant voiced retroflex	◌ʐ
ʑ	84	ʑ	pulmonic fricative sibilant voiced palatalized palato-alveolar	◌ʑ
ʒ	80	ʒ	pulmonic fricative sibilant voiced palato-alveolar	◌ʒ
ʒʲ	4692	ʒʲ	pulmonic fricative sibilant voiced palatalized palato-alveolar	◌ʒ ◌ʲ
ʒʷ	1908	ʒʷ	pulmonic fricative sibilant voiced labialized palato-alveolar	◌ʒ ◌ʷ
ʒˠ	5967	ʒˠ	pulmonic fricative sibilant voiced velarized palato-alveolar	◌ʒ ◌ˠ
ʒˤ	2281	ʒˤ	pulmonic fricative sibilant voiced pharyngealized  palato-alveolar	◌ʒ ◌ˤ
ʒ̫	6022	ʒ̫	pulmonic fricative sibilant voiced palato-alveolar whistled	◌ʒ ◌̫
ʔ	15	ʔ	pulmonic stop voiceless glottal	◌ʔ
ʔʲ	1890	ʔʲ	pulmonic stop voiceless palatalized glottal	◌ʔ ◌ʲ
ʔʷ	4160	ʔʷ	pulmonic stop voiceless labialized glottal	◌ʔ ◌ʷ
ʕ	57	ʕ	pulmonic fricative voiced pharyngeal	◌ʕ
ʕʷ	1906	ʕʷ	pulmonic fricative voiced labialized pharyngeal	◌ʕ ◌ʷ
ʛ	113	ʛ	implosive stop voiced uvular	◌ʛ
ʜ	60	ʜ	pulmonic fricative voiceless epiglottal	◌ʜ
ʝ	51	ʝ	pulmonic fricative voiced palatal	◌ʝ
ʟ	101	ʟ	pulmonic approximant lateral voiced velar	◌ʟ
ʡ	17	ʡ	pulmonic stop voiceless epiglottal	◌ʡ
ʢ	5973	ʢ	pulmonic fricative voiced epiglottal	◌ʢ
ʰk	2132	ʰk	pulmonic stop pre-aspirated voiceless velar	◌ʰ ◌k
ʰkʷ	6007	ʰkʷ	pulmonic stop pre-aspirated voiceless labialized velar	◌ʰ ◌k ◌ʷ
ʰp	2134	ʰp	pulmonic stop pre-aspirated voiceless bilabial	◌ʰ ◌p
ʰq	6005	ʰq	pulmonic stop pre-aspirated voiceless uvular	◌ʰ ◌q
ʰt	2133	ʰt	pulmonic stop pre-aspirated voiceless alveolar	◌ʰ ◌t
ʰts	6006	ʰts	pulmonic affricate sibilant pre-aspirated voiceless alveolar	◌ʰ ◌t ◌s
β	47	β	pulmonic fricative voiced bilabial	◌β
βʳ	2197	βɾ	pulmonic fricative tap/flap voiced bilabial alveolar	◌β ◌ʳ
βʲ	1885	βʲ	pulmonic fricative voiced palatalized bilabial	◌β ◌ʲ
βʷ	2224	βʷ	pulmonic fricative voiced labialized bilabial	◌β ◌ʷ
β̞	4028	β̞	pulmonic approximant voiced bilabial	◌β ◌̞
β̞ˠ	2156	β̞ˠ	pulmonic approximant voiced velarized bilabial	◌β ◌̞ ◌ˠ
θ	61	θ	pulmonic fricative voiceless dental	◌θ
θ̞	2226	θ̞	pulmonic approximant voiceless dental	◌θ ◌̞
θ̠	4162	θ̠	pulmonic fricative voiceless alveolar	◌θ ◌̠
χ	54	χ	pulmonic fricative voiceless uvular	◌χ
χʷ	4157	χʷ	pulmonic fricative voiceless labialized uvular	◌χ ◌ʷ
χʼʷ	5259	χʷʼ	ejective fricative labialized uvular	◌χ ◌’ ◌ʷ
χʼ	2010	χʼ	ejective fricative uvular	◌χ ◌ʼ
χː	3026	χː	pulmonic fricative voiceless long uvular	◌χ ◌ː
χˤ	2055	χˤ	pulmonic fricative voiceless pharyngealized  uvular	◌χ ◌ˤ
ᶑ	115	ᶑ	implosive stop voiced retroflex	◌ᶑ
ⱱ	120		pulmonic tap/flap voiced labio-dental	◌ⱱ
zʲ	1	zʲ	pulmonic fricative sibilant voiced palatalized alveolar	
ə̰	1	ə̰	laryngealized higher mid central unrounded	
ḛ̃ə̰̃	1	ḛ̃ə̰̃	laryngealized diphtong higher mid front central unrounded backing nasalizing	
t̪θʼ	1	t̪θʼ	ejective affricate dental	
ĩə̃	1	ĩə̃	diphtong high higher mid front central unrounded lowering backing nasalizing	
t̪ɬ̪ʼ	1	t̪ɬ̪ʼ	ejective affricate lateral dental alveolar	
θʼ	1	θʼ	ejective fricative dental	
d̪ⁿ	1	d̪n̪	pulmonic stop voiced dental	
ã̰ṵ̃	1	ã̰ṵ̃	nasalized laryngealized diphtong high low central back unrounded rounded rising backing rounding	
t̪ɬ̪ʰ	1	t̪ɬ̪ʰ	pulmonic affricate lateral aspirated voiceless dental alveolar	
pɸ	1	pɸ	pulmonic affricate voiceless bilabial	
ɟⁿ	1	ɟɲ	pulmonic stop voiced palatal	
ɖʳ	1	ɖɽ	pulmonic stop trilled release voiced retroflex	
ɓ̥	1	ɓ̥	implosive stop voiceless bilabial	
ḛə̰	1	ḛə̰	laryngealized diphtong higher mid front central unrounded backing	
tɕʰ	2	tɕʰ	pulmonic affricate sibilant aspirated voiceless palatalized palato-alveolar	
ɛ̰	2	ɛ̰	laryngealized lower mid front unrounded	
r̝̥	1	r̝̥	pulmonic trill voiceless alveolar supra high	
s̠	1	s̠	pulmonic fricative sibilant voiceless retracted	
z̰	1	'z'̰	pulmonic fricative sibilant voiced laryngealized unspecified coronal place	
ṵ̃ə̰̃	1	ṵ̃ə̰̃	laryngealized diphtong high higher mid central back unrounded rounded lowering fronting unrounding nasalizing	
e̤	1	e̤	breathy voiced higher mid front unrounded	
t̪ɬ̪	1	t̪ɬ̪	pulmonic affricate lateral voiceless dental alveolar	
ɨ̥	1	ɨ̥	voiceless high central unrounded	
tsˤʼ	1	tsˤʼ	ejective affricate sibilant pharyngealized alveolar	
oə	1	oə	diphtong higher mid central back unrounded rounded fronting unrounding	
ʄ̥	1	ʄ̥	implosive stop voiceless palatal	
l̪̥	1	l̪̥	pulmonic approximant lateral voiceless dental	
ɸʼ	1	ɸʼ	ejective fricative bilabial	
ⁿd̠ʲ	1	n̠d̠ʲ	pulmonic stop prenasalized voiced palatalized palato-alveolar	
l̃	1	l̃	pulmonic approximant lateral nasalized voiced unspecified coronal place	
ʃʼ	3	ʃʼ	ejective fricative sibilant palato-alveolar	
bβ	1	bβ	pulmonic affricate voiced bilabial	
eo	1	eo	diphtong higher mid front back unrounded rounded backing rounding	
dˡ	1	dl	pulmonic stop approximant lateral voiced alveolar	
d̠̤ʒ̤	1	d̠̤ʒ̤	pulmonic affricate sibilant voiced breathy voiced palato-alveolar retracted	
õə̃	1	õə̃	diphtong higher mid central back unrounded rounded fronting unrounding nasalizing	
pː	1	pː	pulmonic stop voiceless long bilabial	
ũə̃	1	ũə̃	diphtong high higher mid central back unrounded rounded lowering fronting unrounding nasalizing	
t̠ʃˤʼ	1	t̠ʃˤʼ	ejective affricate sibilant pharyngealized palato-alveolar retracted	
ṵo̰	1	ṵo̰	laryngealized diphtong high higher mid back rounded lowering	
ə̰̃	1	ə̰̃	nasalized laryngealized higher mid central unrounded	
ⁿts	2	nts	pulmonic affricate sibilant prenasalized voiceless unspecified coronal place	
tsʲ	1	tsʲ	pulmonic affricate sibilant voiceless palatalized unspecified coronal place	
ʈʳ	1	ʈɽ	pulmonic stop tap/flap voiceless voiced retroflex	
ɛ̥	1	ɛ̥	voiceless lower mid front unrounded	
ḭ̃ə̰̃	1	ḭ̃ə̰̃	laryngealized diphtong high higher mid front central unrounded lowering backing nasalizing	
ɔ̰	1	ɔ̰	laryngealized lower mid back rounded	
tʲʼ	1	tʲʼ	ejective stop palatalized alveolar	
ḭḛ	1	ḭḛ	laryngealized diphtong high higher mid front unrounded lowering	
ɟˡ	1	ɟʎ	pulmonic stop approximant lateral voiced palatal	
o̰ḛ	1	o̰ḛ	laryngealized diphtong higher mid front back unrounded rounded fronting unrounding	
ʰt̠ʃ	1	ʰt̠ʃ	pulmonic affricate sibilant pre-aspirated voiceless palato-alveolar	
tsʲʰ	1	tsʲʰ	pulmonic affricate sibilant aspirated voiceless palatalized unspecified coronal place	
nˤ	2	nˤ	pulmonic nasal voiced pharyngealized unspecified coronal place	
l̪̰	3	l̪̰	pulmonic approximant lateral voiced laryngealized dental	
ŋ̰	2	ŋ̰	pulmonic nasal voiced laryngealized velar	
rːʲ	1	rrʲ	pulmonic unspecified rhotic voiced palatalized unspecified coronal place	
ɖⁿ	1	ɖɳ	pulmonic stop voiced retroflex	
ɖˡ	1	ɖɭ	pulmonic stop approximant lateral voiced retroflex	
dⁿ	1	dn	pulmonic stop voiced alveolar	
l̠̥	1	l̠̥	pulmonic approximant lateral voiceless palato-alveolar	
ã̰ḭ̃	1	ã̰ḭ̃	nasalized laryngealized diphtong high low front central unrounded rising fronting	
kː	1	kː	pulmonic stop voiceless long velar	
ⁿdʷ	1	ndʷ	pulmonic stop prenasalized voiced labialized alveolar	
oɛ	1	oɛ	diphtong higher mid lower mid front back unrounded rounded lowering fronting unrounding	
eə	1	eə	diphtong higher mid front central unrounded backing	
nʷ	2	nʷ	pulmonic nasal voiced labialized unspecified coronal place	
ʂʼ	1	ʂʼ	ejective fricative sibilant retroflex	
a̰ḭ	1	a̰ḭ	laryngealized diphtong high low front central unrounded rising fronting	
ᶑ̥	1	ᶑ̥	implosive stop voiceless retroflex	
ḭə̰	1	ḭə̰	laryngealized diphtong high higher mid front central unrounded lowering backing	
ɛ̰̃	2	ɛ̰̃	nasalized laryngealized lower mid front unrounded	
o̤	1	o̤	breathy voiced higher mid back rounded	
a̰ṵ	1	a̰ṵ	laryngealized diphtong high low central back unrounded rounded rising backing rounding	
kʰʲ	1	kʰʲ	pulmonic stop aspirated voiceless palatalized velar	
ẽə̃	1	ẽə̃	diphtong higher mid front central unrounded backing nasalizing	
ṵə̰	1	ṵə̰	laryngealized diphtong high higher mid central back unrounded rounded lowering fronting unrounding	
ə˞	1	ə˞	unspecified mid central unrounded rhotacized	
tː	1	tː	pulmonic stop voiceless long alveolar	
ɒ̃ː	1	ɒ̃ː	nasalized long low back rounded	
ə̤	1	ə̤	breathy voiced higher mid central unrounded	
ə̰̃õ̰	1	ə̰̃õ̰	laryngealized diphtong higher mid central back unrounded rounded backing rounding nasalizing	
ⁿɖʳ	1	ɳɖɽ	pulmonic stop prenasalized trilled release voiced retroflex	
s̪ʼ	1	s̪ʼ	ejective fricative sibilant dental	
ɬˤ	1	ɬˤ	pulmonic fricative lateral voiceless pharyngealized alveolar	
pfʼ	1	pfʼ	ejective affricate bilabial labio-dental	
tɕ	1	tç	pulmonic affricate voiceless alveolar palatal	
ɨ̞̃	1	ɨ̞̃	nasalized high lowered high central unrounded	
ḛ̃	4	ḛ̃	nasalized laryngealized higher mid front unrounded	
ç	16	ç	pulmonic fricative voiceless palatal	
cç	2	cç	pulmonic affricate voiceless palatal	
ã̰	5	ã̰	nasalized laryngealized low central unrounded	
õ̰	3	õ̰	nasalized laryngealized higher mid back rounded	
ḭ̃	5	ḭ̃	nasalized laryngealized high front unrounded	
ṵ̃	2	ṵ̃	nasalized laryngealized high back rounded	
cçʼ	1	cçʼ	ejective affricate palatal	
ɨ̰̃	1	ɨ̰̃	nasalized laryngealized high central unrounded	
tɕʰ	1	tçʰ	pulmonic affricate aspirated voiceless alveolar palatal	
