BIPA	ID	GRAPHEME	FEATURES	SYMBOLS
iɤ	5947	iɤ	diphtong high higher mid front back unrounded lowering backing	◌i ◌ɤ
iɨ	1474	iɨ	diphtong high front central unrounded backing	◌i ◌ɨ
iʌ	1512	iʌ	diphtong high lower mid front back unrounded lowering backing	◌i ◌ʌ
iˀ	5980	iˀ	laryngealized high front unrounded	◌i ◌ˀ
iː	5504	iː	long high front unrounded	◌i ◌ː
ĩ	5874	ĩ	nasalized high front unrounded	◌i ◌̃
ĩˀ	5981	ĩˀ	nasalized laryngealized high front unrounded	◌i ◌̃ ◌ˀ
ĩː	5470	ĩː	nasalized long high front unrounded	◌i ◌̃ ◌ː
ḭ̃	1668	ḭ̃	nasalized laryngealized high front unrounded	◌i ◌̰ ◌̃
ĭ	3075	ĭ	overshort high front unrounded	◌i ◌̆
i̝	1727	i̝	supra high front unrounded	◌i ◌̝
i̤	3393	i̤	breathy voiced high front unrounded	◌i ◌̤
i̥	3999	i̥	voiceless high front unrounded	◌i ◌̥
ḭ	1649	ḭ	laryngealized high front unrounded	◌i ◌̰
ḭː	1684	ḭː	laryngealized long high front unrounded	◌i ◌̰ ◌ː
j	68	j	pulmonic approximant voiced palatal	◌j
jˀ	5930	jˀ	pulmonic approximant voiced laryngealized palatal	◌j ◌ˀ
j̃	1849	j̃	pulmonic approximant nasalized voiced palatal	◌j ◌̃
j̊	4944	j̥	pulmonic approximant voiceless palatal	◌j ◌̊
j̰	4972	j̰	pulmonic approximant voiced laryngealized palatal	◌j ◌̰
k	11	k	pulmonic stop voiceless velar	◌k
kp	2750	kp	pulmonic stop voiceless bilabial velar	◌k ◌p
kpⁿ	2191	kpŋm	pulmonic stop voiceless bilabial velar nasal release	◌k ◌p ◌ⁿ
kpʰ	2095	kpʰ	pulmonic stop aspirated voiceless bilabial velar	◌k ◌p ◌ʰ
kpʷ	2088	kpʷ	pulmonic stop voiceless labialized bilabial velar	◌k ◌p ◌ʷ
kx	158	kx	pulmonic affricate voiceless velar	◌k ◌x
kxʷ	1834	kxʷ	pulmonic affricate voiceless labialized velar	◌k ◌x ◌ʷ
kⁿ	2190	kŋ	pulmonic stop voiceless velar nasal release	◌k ◌ⁿ
kⁿʷ	2171	kŋʷ	pulmonic stop voiceless labialized velar nasal release	◌k ◌ⁿ ◌ʷ
ǀ	1345	kǀ	click stop voiceless dental velar	◌ǀ
ǀʔ	1346	kǀʔ	click stop voiceless dental velar glottal	◌ǀ ◌ʔ
ǀʰ	1330	kǀʰ	click stop aspirated voiceless dental velar	◌ǀ ◌ʰ
ǁ	1343	kǁ	click stop lateral voiceless alveolar velar	◌ǁ
ǁʔ	1348	kǁʔ	click stop lateral voiceless alveolar velar glottal	◌ǁ ◌ʔ
ǁʰ	1328	kǁʰ	click stop lateral aspirated voiceless alveolar velar	◌ǁ ◌ʰ
ǂ	1344	kǂ	click stop voiceless palatal velar	◌ǂ
ǃ	1342	kǃ	click stop voiceless palato-alveolar velar	◌ǃ
ǃʔ	1349	kǃʔ	click stop voiceless palato-alveolar velar glottal	◌ǃ ◌ʔ
ǃʰ	1327	kǃʰ	click stop aspirated voiceless palato-alveolar velar	◌ǃ ◌ʰ
kʰ	5809	kʰ	pulmonic stop aspirated voiceless velar	◌k ◌ʰ
kʷʰ	6018	kʰʷ	pulmonic stop aspirated voiceless labialized velar	◌k ◌ʷ ◌ʰ
kʲ	1880	kʲ	pulmonic stop voiceless palatalized velar	◌k ◌ʲ
kʲʰ	4164	kʲʰ	pulmonic stop aspirated voiceless palatalized velar	◌k ◌ʲ ◌ʰ
kʼʲ	1915	kʲʼ	ejective stop palatalized velar	◌k ◌’ ◌ʲ
kʷ	5794	kʷ	pulmonic stop voiceless labialized velar	◌k ◌ʷ
kʷʰ	4166	kʷʰ	pulmonic stop aspirated voiceless labialized velar	◌k ◌ʷ ◌ʰ
kʼʷ	1843	kʷʼ	ejective stop labialized velar	◌k ◌ʼ ◌ʷ
kʼ	1813	kʼ	ejective stop velar	◌k ◌ʼ
kˤ	1965	kˤ	pulmonic stop voiceless pharyngealized  velar	◌k ◌ˤ
k̰	3257	k̰	pulmonic stop voiceless laryngealized velar	◌k ◌̰
l	95	l	pulmonic approximant lateral voiced alveolar	◌l
lʼ	242	l'	pulmonic approximant lateral voiced unspecified coronal place	◌l ◌’
lʲ	3083	lʲ	pulmonic approximant lateral voiced palatalized alveolar	◌l ◌ʲ
lˠ	4992	lˠ	pulmonic approximant lateral voiced velarized alveolar	◌l ◌ˠ
lˤ	2230	lˤ	pulmonic approximant lateral voiced pharyngealized  alveolar	◌l ◌ˤ
lʼˤ	2283	lˤ'	pulmonic approximant lateral voiced pharyngealized  unspecified coronal place	◌l ◌’ ◌ˤ
lʼ̃	5937	l̃'	pulmonic approximant lateral nasalized voiced unspecified coronal place	◌l ◌’ ◌̃
l̠	3821	l̠	pulmonic approximant lateral voiced palato-alveolar	◌l ◌̠
l̠ʲ	1984	l̠ʲ	pulmonic approximant lateral voiced palatalized retracted	◌l ◌̠ ◌ʲ
lʱ	1953	l̤	pulmonic approximant lateral breathy voiced alveolar	◌l ◌ʱ
l̥	5813	l̥	pulmonic approximant lateral voiceless alveolar	◌l ◌̥
lʼ̥	2118	l̥'	pulmonic approximant lateral voiceless unspecified coronal place	◌l ◌’ ◌̥
l̪	5512	l̪	pulmonic approximant lateral voiced dental	◌l ◌̪
l̪ʲ	1944	l̪ʲ	pulmonic approximant lateral voiced palatalized dental	◌l ◌̪ ◌ʲ
l̪ˠ	1805	l̪ˠ	pulmonic approximant lateral voiced velarized dental	◌l ◌̪ ◌ˠ
l̪ˤ	1969	l̪ˤ	pulmonic approximant lateral voiced pharyngealized  dental	◌l ◌̪ ◌ˤ
l̪ʱ	2207	l̪̤	pulmonic approximant lateral breathy voiced dental	◌l ◌̪ ◌ʱ
l̰	4949	l̰	pulmonic approximant lateral voiced laryngealized alveolar	◌l ◌̰
m	4	m	pulmonic nasal voiced bilabial	◌m
ⁿb	5777	mb	pulmonic stop prenasalized voiced bilabial	◌ⁿ ◌b
ⁿbʲ	2108	mbʲ	pulmonic stop prenasalized voiced palatalized bilabial	◌ⁿ ◌b ◌ʲ
ⁿbʷ	2123	mbʷ	pulmonic stop prenasalized voiced labialized bilabial	◌ⁿ ◌b ◌ʷ
ⁿbβ	2222	mbβ	pulmonic affricate prenasalized voiced bilabial	◌ⁿ ◌b ◌β
ⁿp	5808	mp	pulmonic stop prenasalized voiceless bilabial	◌ⁿ ◌p
ⁿpʰ	5807	mpʰ	pulmonic stop prenasalized aspirated voiceless bilabial	◌ⁿ ◌p ◌ʰ
ⁿpʲ	2179	mpʲ	pulmonic stop prenasalized voiceless palatalized bilabial	◌ⁿ ◌p ◌ʲ
ⁿpʷ	2174	mpʷ	pulmonic stop prenasalized voiceless labialized bilabial	◌ⁿ ◌p ◌ʷ
ⁿpʲʷ	2173	mpʷʲ	pulmonic stop prenasalized voiceless labialized palatalized bilabial	◌ⁿ ◌p ◌ʲ ◌ʷ
mʲ	3084	mʲ	pulmonic nasal voiced palatalized bilabial	◌m ◌ʲ
mʷ	1864	mʷ	pulmonic nasal voiced labialized bilabial	◌m ◌ʷ
mʲʷ	2196	mʷʲ	pulmonic nasal voiced labialized palatalized bilabial	◌m ◌ʲ ◌ʷ
mˀ	5934	mˀ	pulmonic nasal voiced laryngealized bilabial	◌m ◌ˀ
mː	2129	mː	pulmonic nasal voiced long bilabial	◌m ◌ː
mˠ	1977	mˠ	pulmonic nasal voiced velarized bilabial	◌m ◌ˠ
mˤ	5960	mˤ	pulmonic nasal voiced pharyngealized  bilabial	◌m ◌ˤ
mʱ	1956	m̤	pulmonic nasal breathy voiced bilabial	◌m ◌ʱ
m̥	5812	m̥	pulmonic nasal voiceless bilabial	◌m ◌̥
m̥ʷ	5946	m̥ʷ	pulmonic nasal voiceless labialized bilabial	◌m ◌̥ ◌ʷ
m̰	4950	m̰	pulmonic nasal voiced laryngealized bilabial	◌m ◌̰
ⁿβʲ	5988	mβʲ	pulmonic fricative prenasalized voiced palatalized bilabial	◌ⁿ ◌β ◌ʲ
n	27	n	pulmonic nasal voiced alveolar	◌n
nʼ	238	n'	pulmonic nasal voiced unspecified coronal place	◌n ◌’
nʼˀ	5935	n'ˀ	pulmonic nasal voiced laryngealized unspecified coronal place	◌n ◌’ ◌ˀ
ⁿd	5779	nd	pulmonic stop prenasalized voiced alveolar	◌ⁿ ◌d
ⁿdʼ	1856	nd'	pulmonic stop prenasalized voiced unspecified coronal place	◌ⁿ ◌d ◌’
ⁿdʳ	1874	ndr	pulmonic stop prenasalized trilled release voiced alveolar	◌ⁿ ◌d ◌ʳ
ⁿdz	5782	ndz	pulmonic stop affricate sibilant prenasalized voiced alveolar	◌ⁿ ◌d ◌z
ⁿdʲ	2166	ndʲ	pulmonic stop prenasalized voiced palatalized alveolar	◌ⁿ ◌d ◌ʲ
nm	2192	nm	pulmonic nasal voiced bilabial alveolar	◌n ◌m
ⁿtp	2183	nmtp	pulmonic stop prenasalized voiceless bilabial alveolar	◌ⁿ ◌t ◌p
ⁿtpʲ	2177	nmtpʲ	pulmonic stop prenasalized voiceless palatalized bilabial alveolar	◌ⁿ ◌t ◌p ◌ʲ
nmʲ	2194	nmʲ	pulmonic nasal voiced palatalized bilabial alveolar	◌n ◌m ◌ʲ
ⁿr	2245	nr	pulmonic trill prenasalized voiced alveolar	◌ⁿ ◌r
ⁿs	2223	ns	pulmonic fricative sibilant prenasalized voiceless alveolar	◌ⁿ ◌s
ⁿt	2184	nt	pulmonic stop prenasalized voiceless alveolar	◌ⁿ ◌t
ⁿtʼ	2081	nt'	pulmonic stop prenasalized voiceless unspecified coronal place	◌ⁿ ◌t ◌’
ⁿtsʼ	2082	nts'	pulmonic affricate sibilant prenasalized voiceless unspecified coronal place	◌ⁿ ◌t ◌s ◌’
ⁿtʲ	2178	ntʲ	pulmonic stop prenasalized voiceless palatalized alveolar	◌ⁿ ◌t ◌ʲ
ⁿz	1997	nz	pulmonic fricative sibilant prenasalized voiced alveolar	◌ⁿ ◌z
ⁿɺ	2072	nɺ	pulmonic tap/flap lateral prenasalized alveolar	◌ⁿ ◌ɺ
nʲ	3085	nʲ	pulmonic nasal voiced palatalized alveolar	◌n ◌ʲ
nʼʲ	1882	nʲ'	pulmonic nasal voiced palatalized unspecified coronal place	◌n ◌’ ◌ʲ
nˀ	5990	nˀ	pulmonic nasal voiced laryngealized alveolar	◌n ◌ˀ
nː	2130	nː	pulmonic nasal voiced long alveolar	◌n ◌ː
nʼː	2234	nː'	pulmonic nasal voiced long unspecified coronal place	◌n ◌’ ◌ː
nˠ	5950	nˠ	pulmonic nasal voiced velarized alveolar	◌n ◌ˠ
nʼˤ	2282	nˤ'	pulmonic nasal voiced pharyngealized  unspecified coronal place	◌n ◌’ ◌ˤ
n̠	5805	n̠	pulmonic nasal voiced palato-alveolar	◌n ◌̠
ⁿd̠	1875	n̠d̠	pulmonic stop prenasalized voiced palato-alveolar	◌ⁿ ◌d ◌̠
ⁿdʑ	5940	n̠d̠ʑ	pulmonic affricate sibilant prenasalized voiced palatalized palato-alveolar retracted	◌ⁿ ◌d ◌ʑ
ⁿdʒ	5781	n̠d̠ʒ	pulmonic affricate sibilant prenasalized voiced palato-alveolar	◌ⁿ ◌d ◌ʒ
nm	2193	n̠m	pulmonic nasal voiced bilabial palato-alveolar	◌n ◌m
ⁿt̠p	2181	n̠mt̠p	pulmonic stop prenasalized voiceless bilabial palato-alveolar	◌ⁿ ◌t ◌̠ ◌p
ⁿt̠pʲ	2175	n̠mt̠pʲ	pulmonic stop prenasalized voiceless palatalized bilabial palato-alveolar	◌ⁿ ◌t ◌̠ ◌p ◌ʲ
ⁿmʲ	2195	n̠mʲ	pulmonic nasal voiced palatalized bilabial palato-alveolar	◌ⁿ ◌m ◌ʲ
ⁿt̠	2182	n̠t̠	pulmonic stop prenasalized voiceless palato-alveolar	◌ⁿ ◌t ◌̠
ⁿtʃ	5821	n̠t̠ʃ	pulmonic affricate sibilant prenasalized voiceless palato-alveolar	◌ⁿ ◌t ◌ʃ
ⁿtʃʰ	5822	n̠t̠ʃʰ	pulmonic affricate sibilant prenasalized aspirated voiceless palato-alveolar	◌ⁿ ◌t ◌ʃ ◌ʰ
ⁿt̠ʲ	2176	n̠t̠ʲ	pulmonic stop prenasalized voiceless palatalized palato-alveolar	◌ⁿ ◌t ◌̠ ◌ʲ
ⁿʑ	2117	n̠ʑ	pulmonic fricative sibilant prenasalized voiced palatalized palato-alveolar	◌ⁿ ◌ʑ
ⁿʒ	2641	n̠ʒ	pulmonic fricative sibilant prenasalized voiced palato-alveolar	◌ⁿ ◌ʒ
n̠ʲ	1975	n̠ʲ	pulmonic nasal voiced palatalized retracted	◌n ◌̠ ◌ʲ
nʱ	2125	n̤	pulmonic nasal breathy voiced alveolar	◌n ◌ʱ
n̥	4941	n̥	pulmonic nasal voiceless alveolar	◌n ◌̥
nʼ̥	2127	n̥'	pulmonic nasal voiceless unspecified coronal place	◌n ◌’ ◌̥
n̪	5806	n̪	pulmonic nasal voiced dental	◌n ◌̪
