BIPA	GRAPHEME	FEATURES	COUNT	ID	SYMBOLS
<NA>	u̯ɛi̯	0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-:-,+,+:+,-,-:+,-,+:-:-:+:-:-:-:0:-:-:0	1	30BE3EE4262E7BF09BA95502DBA84F17	
<NA>	w˞	0:-:-:-:-:-:+:+:0:+:-:-:-:-:+:+:-:+:+:+:+:+:+:-:-:+:+:0:0:+:-:-:-:-:-:-:-	1	A32E6C43244DD13A8D0CC5BEE2D89D11	
<NA>	xk	0:-:-:-:-:+:-:+,-:+,-:-:-:-:-:-:-:0:0:-:0:0:0:+:+:-:-:-:0:0:0:-:-:-:-:-:-:-:-	4	904F3246ED9F562C490B95481F909475	
<NA>	yia	0:-:+:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,+,-:-,-,+:+,+,-:-:+:-:-:+:-:-:-:0:-:-:0	1	2D48611F43D992B422D5C4FC4DC9355A	
<NA>	z̻	0:-:-:-:-:+:-:+:+:-:-:-:-:-:-:0:0:+:+:+:+:-:0:0:0:0:0:0:0:+:-:-:-:-:-:-:-	16	92B41E9C14B6FD2564CABDE05D20ED97	
<NA>	ŋǁ’	0:-:-:-:-:+:+,-:-:-:-:-:-:+,-:-,+:-:0:0:-,+:+:-:-:+,-:+:-:-:-:0:0:0:+,-:-:-:-,+:-:-,+:-:-,+	1	D4C2FC9154C8E61DC216E622220ADD96	
<NA>	ɗʒ	0:-:-:-:-:+:-:-,+:-,+:-:-:-:-:-:-:0:0:+:+,-:-,+:-,+:-:0:0:0:0:0:0:0:+:-:-:-:-:-:+,-:-	2	D216058210CA696247766A4A2A3585AA	
<NA>	əɪa	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-,+,-:-,-,+:-,+,-:-:-:-:-:+:-:-:-:0:-:-:0	1	78BE82124738D443CDE4C4E8C55BFF1D	
<NA>	əʊɪ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+,-:+:-:-:0:0:0:+:-,+,+:-:-,-,+:-,+,-:-:-:-:+:-:-:-:0:-:-:0	1	284071A821AF2D3B3F75276D17480EC1	
<NA>	ɡv	0:-:-:-:-:+:-:-,+:-,+:-:-:-:-:-:-,+:-:+:-:0:0:0:+,-:+:-:-:-:0:0:0:+:-:-:-:-:-:-:-	2	94EE78E681718BD5174AC4A3A2B2AD5A	
<NA>	ɡ˞	0:-:-:-:-:+:-:-:-:-:-:-:-:-:-:0:0:+:+:+:+:+:+:-:-:-:0:0:0:+:-:-:-:-:-:-:-	1	5F19D853841A814253CA2A4AB3566526	
<NA>	ɣv	0:-:-:-:-:+:-:+:+:-:-:-:-:-:-,+:-:+:-:0:0:0:+,-:+:-:-:-:0:0:0:+:-:-:-:-:-:-:-	1	1BBF91A91DA050D832549815F32D0A3F	
<NA>	ɬl	0:-:-:-:-:+:-,+:+:+:-,+:-:-:-:+:-:0:0:+:+:-:-:-:0:0:0:0:0:0:0:-,+:-:-:-:-:-:-:-	1	A36FEEB3CD5FD8CEE0A9E93254A73665	
<NA>	ɬʟ͓̥	0:-:-:-:-:+:-,+:+:+:-,+:-:-:-:+:-:0:0:+,-:+:-:-:-,+:+:-:-:-:0:0:0:-:-:-:-:-:-:-:-	1	103B3F7DA305AF46BB0F722BC2789812	
<NA>	ʀʁ	0:-:-:-:-:+:+,-:+:+:+,-:-:+,-:-:-:-:0:0:-:0:0:0:+:-:-:-:+:0:0:0:+:-:-:-:-:-:-:-	2	085FFE7382944A3DE6F3049C5048DE4B	
<NA>	ʃt	0:-:-:-:-:+:-:+,-:+,-:-:-:-:-:-:-:0:0:+:-,+:+,-:+,-:-:0:0:0:0:0:0:0:-:-:-:-:-:-:-:-	1	DD8048EC09B16F4A5C249D342A62E280	
ɹ̠̊˔	ʃ͇	0:-:-:-:-:+:-:+:+:-:-:-:-:-:-:0:0:+:-:+:-:-:0:0:0:0:0:0:0:-:-:-:-:-:-:-:-	1	858B050077668CE0480130DD268BBCD3	
<NA>	ʊ̯aɪ̯	0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-,+,-:-,-,+:+,-,-:-:-:-:+:-:-:-:0:-:-:0	1	3AEFA83C142620AA89D29866683F8E42	
<NA>	ʍw	0:-:-:-:-:-:-,+:+:+:-,+:-:-:-:-:+:+:-:-:0:0:0:+:+:-:-:+:+:0:0:-,+:-:+,-:-:-:-:-:-	1	22474FC6A03DF291DAEBFE09E1579AB3	
<NA>	˥˧̰	#ERROR!	1	ECFE918D274D0F2288C457A59616B4E2	
<NA>	˥˩˩˥	#ERROR!	1	B5D7570AB6F97E86267F82BF47BEE82B	
<NA>	˥̰	#ERROR!	2	91E25A72DACF30BA06438AFE223E48EB	
<NA>	˦ˀ	#ERROR!	1	8DAB1E1619693CF636242B4934C7AFA1	
<NA>	˦˥̰	#ERROR!	1	70E7DABB2E7EB34D9E442619D67496B9	
<NA>	˦̰	#ERROR!	1	EFF6BD8CD1677385309BCEEF00673451	
<NA>	˦↓˦	#ERROR!	3	580FEDB5E211EA949F256264D5019244	
<NA>	˧˨ˤ	#ERROR!	1	4DB5F95E762595DA42CA893FFDF80648	
<NA>	˧˨̤	#ERROR!	1	749B61EA65A40AAA80CEFE6F0F337752	
<NA>	˧˩̤	#ERROR!	1	8F253FB1FFBFB0F7EB811CD7DB5F785F	
<NA>	˧˩̰	#ERROR!	1	E011FDAB9EA6316743EEA2DB343D2502	
<NA>	˨˩̤	#ERROR!	1	999DED248AE06E14169BCC91CF4C3BA7	
<NA>	˩̰	#ERROR!	2	DC360FCD2919CADF7D326367357FE34F	
<NA>	↓	#ERROR!	5	EB150ACC8B614BECD70C57A73E29A158	
<NA>	↓˦˨	#ERROR!	1	187321E24435D8B798F59F7B5FB4BF53	
<NA>	↓˦↓˦	#ERROR!	1	3F0BA824C7276C5E286ECB25EC1D01E6	
n	N	0:-:-:-:-:+:+:-:0:-:-:-:+:-:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:+:-:-:-:-:-:-:-	10	95996CAB019505C034CED3D0966D8E36	◌n
r	R	0:-:-:-:-:+:+:+:0:+:0:0:-:-:-:0:0:+:+:-:-:-:0:0:0:0:0:0:0:+:-:-:-:-:-:-:-	10	60B8781E92BAA0E67F7D076695C7FC05	◌r
