BIPA	GRAPHEME	SOUND	FEATURES	IMAGE	SYMBOLS
d̺	d̺	apical_V_alveolar_plosive.mp3	an apical voiced alveolar plosive	IPA-104-409.gif	◌d ◌̺
d̻	d̻	laminal_V_alveolar_plosive.mp3	a laminal voiced alveolar plosive	IPA-104-410.gif	◌d ◌̻
dⁿ	dⁿ	nasal-release_V_alveolar_plosive.mp3	a nasal released voiced alveolar plosive	IPA-104-425.gif	◌d ◌ⁿ
è	è	low-tone_close-mid_front_unrounded.mp3	a low-tone close-mid front unrounded vowel	IPA-302-515.gif	◌e ◌̀
é	é	high-tone_close-mid_front_unrounded.mp3	a high-tone close-mid front unrounded vowel	IPA-302-513.gif	◌e ◌́
ê	ê	falling-contour_close-mid_front_unrounded.mp3	a falling contour close-mid front unrounded vowel	IPA-302-525.gif	◌e ◌̂
ẽ	ẽ	nasalized_close-mid_front_unrounded.mp3	nasalized close-mid front unrounded vowel	IPA-302-424.gif	◌e ◌̃
ē	ē	mid-tone_close-mid_front_unrounded.mp3	a mid-tone close-mid front unrounded vowel	IPA-302-514.gif	◌e ◌̄
ë	ë	centralized_close-mid_front_unrounded.mp3	a centralized close-mid front unrounded vowel	IPA-302-415.gif	◌e ◌̈
é	e̋	extra-high-tone_close-mid_front_unrounded.mp3	an extra-high tome close-mid front unrounded vowel	IPA-302-512.gif	◌e ◌́
ě	ě	rising-contour_close-mid_front_unrounded.mp3	a rising contour close-mid front unrounded vowel	IPA-302-524.gif	◌e ◌̌
è	ȅ	extra-low-tone_close-mid_front_unrounded.mp3	an extra-low tone close-mid front unrounded vowel	IPA-302-516.gif	◌e ◌̀
e̘	e̘	advanced-tongue-root_close-mid_front_unrounded.mp3	an advanced tongue root close-mid front unrounded vowel'	IPA-302-417.gif	◌e ◌̘
e̙	e̙	retracted-tongue-root_close-mid_front_unrounded.mp3	a retracted tongue root close-mid front unrounded vowel'	IPA-302-418.gif	◌e ◌̙
e̝	e̝	raised_close-mid_front_unrounded.mp3	a raised close-mid front unrounded vowel'	IPA-302-429.gif	◌e ◌̝
e̞	e̞	lowered_close-mid_front_unrounded.mp3	a lowered close-mid front unrounded vowel'	IPA-302-430.gif	◌e ◌̞
e̠	e̠	retracted_close-mid_front_unrounded.mp3	a retracted close-mid front unrounded vowel	IPA-302-414.gif	◌e ◌̠
e̯	e̯	non-syllabic_close-mid_front_unrounded.mp3	a non-syllabic close-mid front unrounded vowel'	IPA-302-432.gif	◌e ◌̯
e̽	e̽	mid-centralized_close-mid_front_unrounded.mp3	a mid-centralized close-mid front unrounded vowel'	IPA-302-416.gif	◌e ◌̽
f	f	VL_labiodental_fricative.mp3	a voiced labiodental fricative	IPA-128.gif	◌f
g	g	V_velar_plosive.mp3	a voiced velar plosive	IPA-110.gif	◌g
h	h	VL_glottal_fricative.mp3	a voiceless glottal fricative	IPA-146.gif	◌h
j	j	V_palatal_approximant.mp3	a voiced palatal approximant	IPA-153.gif	◌j
k	k	VL_velar_plosive.mp3	a voiceless velar plosive	IPA-109.gif	◌k
kp	kp	kp_affricate.mp3	an affricated kp	IPA-433.gif	◌k ◌p
kʼ	kʼ	VL_velar_ejective.mp3	a voiceless velar ejective	IPA-109-401.gif	◌k ◌ʼ
l	l	V_alveolar_lateral-approximant.mp3	a voiced alveolar lateral approximant	IPA-155.gif	◌l
m	m	V_bilabial_nasal.mp3	a voiced bilabial nasal	IPA-114.gif	◌m
n	n	V_alveolar_nasal.mp3	a voiced alveolar nasal	IPA-116.gif	◌n
n̥	n̥	devoiced_V_alveolar_nasal.mp3	a devoiced voiced alveolar nasal	IPA-116-402A.gif	◌n ◌̥
p	p	VL_bilabial_plosive.mp3	a voiceless bilabial plosive	IPA-101.gif	◌p
pʼ	pʼ	VL_bilabial_ejective.mp3	a voiceless bilabial ejective	IPA-101-401.gif	◌p ◌ʼ
q	q	VL_uvular_plosive.mp3	a voiceless uvular plosive	IPA-111.gif	◌q
r	r	V_alveolar_trill.mp3	a voiced alveolar trill	IPA-122.gif	◌r
s	s	VL_alveolar_fricative.mp3	a voiceless alveolar fricative	IPA-132.gif	◌s
