BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
õ	nasalized rounded close-mid back vowel		+	õ	◌o ◌̃						2	
õĩ	from nasalized rounded close-mid back to nasalized unrounded close front diphthong	+	+	õĩ	◌o ◌̃ ◌i ◌̃						1	
õũ	from nasalized rounded close-mid back to nasalized rounded close back diphthong	+	+	õũ	◌o ◌̃ ◌u ◌̃						1	
p	voiceless bilabial stop consonant		+	p	◌p						37	
pf	voiceless labio-dental affricate consonant		+	pf	◌p ◌f						1	
pfʰ	aspirated voiceless labio-dental affricate consonant		+	pf’	◌p ◌f ◌ʰ						1	
pʰ	aspirated voiceless bilabial stop consonant		+	p’	◌p ◌ʰ						1	
s	voiceless alveolar sibilant fricative consonant		+	s	◌s						16	
t	voiceless alveolar stop consonant		+	t	◌t						61	
ts	voiceless alveolar sibilant affricate consonant		+	ts	◌t ◌s						16	
tsʰ	aspirated voiceless alveolar sibilant affricate consonant		+	ts’	◌t ◌s ◌ʰ						16	
tɕ	voiceless alveolo-palatal sibilant affricate consonant		+	tɕ	◌t ◌ɕ						12	
tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant		+	tɕ’	◌t ◌ɕ ◌ʰ						12	
tʃ	voiceless post-alveolar sibilant affricate consonant		+	tʃ	◌t ◌ʃ						2	
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		+	tʃ’	◌t ◌ʃ ◌ʰ						1	
tʰ	aspirated voiceless alveolar stop consonant		+	t’	◌t ◌ʰ						1	
u	rounded close back vowel		+	u	◌u						198	
ũ	nasalized rounded close back vowel		+	ũ	◌u ◌̃						12	
v	voiced labio-dental fricative consonant		+	v	◌v						5	
w	voiced labio-velar approximant consonant		+	w	◌w						2	
x	voiceless velar fricative consonant		+	x	◌x						10	
y	rounded close front vowel		+	y	◌y						66	
z	voiced alveolar sibilant fricative consonant		+	z	◌z						6	
²	short from-mid-low tone		+	²	◌²						1	
²²	flat from-mid-low to-mid-low tone		+	²²	◌² ◌²						2	
²³	rising from-mid-low to-mid tone		+	²³	◌² ◌³						4	
²¹	falling from-mid-low to-low tone		+	²¹	◌² ◌¹						8	
²¹	falling from-mid-low to-low tone		+	²¹_	◌² ◌¹						1	
²¹	falling from-mid-low to-low tone		+	²⁴/²¹	◌² ◌¹						1	
²¹²	contour from-mid-low via-low to-mid-low tone		+	²¹²	◌² ◌¹ ◌²						1	
²¹³	contour from-mid-low via-low to-mid tone		+	²¹/²¹³	◌² ◌¹ ◌³						1	
²¹³	contour from-mid-low via-low to-mid tone		+	²¹³	◌² ◌¹ ◌³						5	
²¹³	contour from-mid-low via-low to-mid tone		+	³⁵/²¹³	◌² ◌¹ ◌³						1	
²¹⁴	contour from-mid-low via-low to-mid-high tone		+	²¹/²¹⁴	◌² ◌¹ ◌⁴						1	
²¹⁴	contour from-mid-low via-low to-mid-high tone		+	²¹⁴	◌² ◌¹ ◌⁴						1	
²¹⁴	contour from-mid-low via-low to-mid-high tone		+	³⁵/²¹⁴	◌² ◌¹ ◌⁴						1	
²⁴	rising from-mid-low to-mid-high tone		+	²⁴	◌² ◌⁴						8	
²⁴	rising from-mid-low to-mid-high tone		+	²⁴_	◌² ◌⁴						1	
²⁴²	contour from-mid-low via-mid-high to-mid-low tone		+	²⁴²	◌² ◌⁴ ◌²						1	
³²	falling from-mid to-mid-low tone		+	³²	◌³ ◌²						1	
³³	flat from-mid to-mid tone		+	³³	◌³ ◌³						7	
³¹	falling from-mid to-low tone		+	³¹	◌³ ◌¹						7	
³⁴	rising from-mid to-mid-high tone		+	³⁴	◌³ ◌⁴						1	
³⁵	rising from-mid to-high tone		+	³⁵	◌³ ◌⁵						4	
¹²	rising from-low to-mid-low tone		+	¹²	◌¹ ◌²						2	
¹³	rising from-low to-mid tone		+	¹³	◌¹ ◌³						3	
¹¹	flat from-low to-low tone		+	¹¹	◌¹ ◌¹						3	
æ	unrounded near-open front vowel		+	æ	◌æ						7	
æ̃	nasalized unrounded near-open front vowel		+	æ̃	◌æ ◌̃						10	
ø	rounded close-mid front vowel		+	ø	◌ø						7	
øy	from rounded close-mid front to rounded close front diphthong	+	+	øy	◌ø ◌y						5	
ŋ	voiced velar nasal consonant		+	ŋ	◌ŋ						132	
ŋ̍	syllabic voiced velar nasal consonant		+	ŋ̍	◌ŋ ◌̍						10	
œ	rounded open-mid front vowel		+	œ	◌œ						4	
ȵ	voiced alveolo-palatal nasal consonant		+	ȵ	◌ȵ						9	
ɐ	unrounded near-open central vowel		+	ɐ	◌ɐ						16	
ɐi	from unrounded near-open central to unrounded close front diphthong	+	+	ɐi	◌ɐ ◌i						2	
ɐu	from unrounded near-open central to rounded close back diphthong	+	+	ɐu	◌ɐ ◌u						2	
ɑ	unrounded open back vowel		+	ɑ	◌ɑ						14	
ɑu	from unrounded open back to rounded close back diphthong	+	+	ɑu	◌ɑ ◌u						2	
ɑ̃	nasalized unrounded open back vowel		+	ɑ̃	◌ɑ ◌̃						3	
ɒ	rounded open back vowel		+	ɒ	◌ɒ						8	
