BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
²⁴	rising from-mid-low to-mid-high tone		+	²⁴							
²⁴²	contour from-mid-low via-mid-high to-mid-low tone		+	²⁴²							
³²	falling from-mid to-mid-low tone		+	³²							
³³	flat from-mid to-mid tone		+	³³							
³¹	falling from-mid to-low tone		+	³¹							
³⁴	rising from-mid to-mid-high tone		+	³⁴							
³⁵	rising from-mid to-high tone		+	³⁵							
¹²	rising from-low to-mid-low tone		+	¹²							
¹³	rising from-low to-mid tone		+	¹³							
¹¹	flat from-low to-low tone		+	¹¹							
æ	unrounded near-open front vowel		+	æ							
æ̃	nasalized unrounded near-open front vowel		+	æ̃							
ø	rounded close-mid front vowel		+	ø							
ŋ	voiced velar nasal consonant		+	ŋ							
ŋ̍	syllabic voiced velar nasal consonant		+	ŋ̍							
œ	rounded open-mid front vowel		+	œ							
ȡ	voiced alveolo-palatal stop consonant		+	ȡ							
ȴ	voiced alveolo-palatal lateral approximant consonant		+	ȴ							
ȵ	voiced alveolo-palatal nasal consonant		+	ȵ							
ȶ	voiceless alveolo-palatal stop consonant		+	ȶ							
ɐ	unrounded near-open central vowel		+	ɐ							
ɑ	unrounded open back vowel		+	ɑ							
ɑ̃	nasalized unrounded open back vowel		+	ɑ̃							
ɑ̟	advanced unrounded open back vowel		+	ᴀ							
ɒ	rounded open back vowel		+	ɒ							
ɔ	rounded open-mid back vowel		+	ɔ							
ɔ̃	nasalized rounded open-mid back vowel		+	ɔ̃							
ɕ	voiceless alveolo-palatal sibilant fricative consonant		+	ɕ							
ə	unrounded mid central vowel		+	ə							
ə̃	nasalized unrounded mid central vowel		+	ə̃							
ɛ	unrounded open-mid front vowel		+	ɛ							
ɛ̃	nasalized unrounded open-mid front vowel		+	ɛ̃							
ɜ	unrounded open-mid central vowel		+	ɜ							
ɤ	unrounded close-mid back vowel		+	ɤ							
ɦ	voiced glottal fricative consonant		+	ɦ							
ɪ	unrounded near-close near-front vowel		+	ɪ							
ɪ̃	nasalized unrounded near-close near-front vowel		+	ɪ̃							
ɬ	voiceless alveolar lateral fricative consonant		+	ɬ							
ɯ	unrounded close back vowel		+	ɯ							
ɿ	unrounded close with-friction back vowel		+	ɿ							
ʂ	voiceless retroflex sibilant fricative consonant		+	ʂ							
ʃ	voiceless post-alveolar sibilant fricative consonant		+	ʃ							
ʅ	unrounded close with-friction central vowel		+	ʅ							
ʈʂ	voiceless retroflex sibilant affricate consonant		+	tʂ							
ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant		+	tʂ’							
ʊ	rounded near-close near-back vowel		+	ʊ							
ʊ̃	nasalized rounded near-close near-back vowel		+	ʊ̃							
ʏ	rounded near-close near-front vowel		+	ʏ							
ʐ	voiced retroflex sibilant fricative consonant		+	ʐ							
ʔ	voiceless glottal stop consonant		+	ʔ							
ʮ	rounded close with-friction back vowel		+	ʮ							
β	voiced bilabial fricative consonant		+	β							
⁰	short neutral tone		+	⁰							
⁴	short from-mid-high tone		+	⁴							
⁴²	falling from-mid-high to-mid-low tone		+	⁴²							
⁴¹	falling from-mid-high to-low tone		+	⁴¹							
⁴⁴	flat from-mid-high to-mid-high tone		+	⁴⁴							
⁴⁴³	falling from-mid-high via-mid-high to-mid tone		+	⁴⁴³							
⁴⁵	rising from-mid-high to-high tone		+	⁴⁵							
