BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ð̩	syllabic voiced dental fricative consonant	+	+	ð̩	◌ð ◌̩		\textipa{\sD}	dental:fricative:+voice +syllabic				
ð̩ʲ	syllabic palatalized voiced dental fricative consonant	+	+	ð̩ʲ	◌ð ◌̩ ◌ʲ		\textipa{\sD}\super j	dental, palatal:fricative:+voice +syllabic				
ð̩ʲː	syllabic palatalized long voiced dental fricative consonant	+	+	ð̩ʲː	◌ð ◌̩ ◌ʲ ◌ː		\textipa{\sD}\super j\textlengthmark	dental, palatal:fricative:+voice +syllabic				
ð̩ʷ	syllabic labialized voiced dental fricative consonant	+	+	ð̩ʷ	◌ð ◌̩ ◌ʷ		\textipa{\sD}\super w	dental, labial:fricative:+voice +syllabic				
ð̩ʷː	syllabic labialized long voiced dental fricative consonant	+	+	ð̩ʷː	◌ð ◌̩ ◌ʷ ◌ː		\textipa{\sD}\super w\textlengthmark	dental, labial:fricative:+voice +syllabic				
ð̩ː	syllabic long voiced dental fricative consonant	+	+	ð̩ː	◌ð ◌̩ ◌ː		\textipa{\sD}\textlengthmark	dental:fricative:+voice +syllabic				
ø	rounded close-mid front vowel		+	ø	◌ø		\o	empty:vowel:−high −low −back +round +voice −nasal −spread glottis −constricted glottis				
øː	long rounded close-mid front vowel		+	øː	◌ø ◌ː		\o\textlengthmark	empty:vowel:−high −low −back +round +voice −nasal −spread glottis −constricted glottis				
ø̃	nasalized rounded close-mid front vowel		+	ø̃	◌ø ◌̃		\textipa{\~\o}	empty:vowel:−high −low −back +round +voice +nasal −spread glottis −constricted glottis				
ø̃ː	long nasalized rounded close-mid front vowel		+	ø̃ː	◌ø ◌̃ ◌ː		\textipa{\~\o}\textlengthmark	empty:vowel:−high −low −back +round +voice +nasal −spread glottis −constricted glottis				
ø̥̃	nasalized devoiced rounded close-mid front vowel	+	+	ø̥̃	◌ø ◌̥ ◌̃		*\textipa{\~\o}	empty:vowel:−high −low −back +round −voice +nasal −spread glottis −constricted glottis				
ø̥̃ː	long nasalized devoiced rounded close-mid front vowel	+	+	ø̥̃ː	◌ø ◌̥ ◌̃ ◌ː		*\textipa{\~\o}\textlengthmark	empty:vowel:−high −low −back +round −voice +nasal −spread glottis −constricted glottis				
ø̥	devoiced rounded close-mid front vowel	+	+	ø̥	◌ø ◌̥		*\o	empty:vowel:−high −low −back +round −voice −nasal −spread glottis −constricted glottis				
ø̥ː	long devoiced rounded close-mid front vowel	+	+	ø̥ː	◌ø ◌̥ ◌ː		*\o\textlengthmark	empty:vowel:−high −low −back +round −voice −nasal −spread glottis −constricted glottis				
ø̯	non-syllabic rounded close-mid front vowel	+	+	ø̯	◌ø ◌̯		\textroundcap{\o}	empty:vowel:−high −low −back +round +voice −nasal −spread glottis −constricted glottis				
ø̯ː	long non-syllabic rounded close-mid front vowel	+	+	ø̯ː	◌ø ◌̯ ◌ː		\textroundcap{\o}\textlengthmark	empty:vowel:−high −low −back +round +voice −nasal −spread glottis −constricted glottis				
ø̯̃	non-syllabic nasalized rounded close-mid front vowel	+	+	ø̯̃	◌ø ◌̯ ◌̃		\textipa{\~\textroundcap{\o}}	empty:vowel:−high −low −back +round +voice +nasal −spread glottis −constricted glottis				
ø̯̃ː	long non-syllabic nasalized rounded close-mid front vowel	+	+	ø̯̃ː	◌ø ◌̯ ◌̃ ◌ː		\textipa{\~\textroundcap{\o}}\textlengthmark	empty:vowel:−high −low −back +round +voice +nasal −spread glottis −constricted glottis				
ø̥̯̃	non-syllabic nasalized devoiced rounded close-mid front vowel	+	+	ø̯̥̃	◌ø ◌̥ ◌̯ ◌̃		*\textipa{\~\textroundcap{\o}}	empty:vowel:−high −low −back +round −voice +nasal −spread glottis −constricted glottis				
ø̥̯̃ː	long non-syllabic nasalized devoiced rounded close-mid front vowel	+	+	ø̯̥̃ː	◌ø ◌̥ ◌̯ ◌̃ ◌ː		*\textipa{\~\textroundcap{\o}}\textlengthmark	empty:vowel:−high −low −back +round −voice +nasal −spread glottis −constricted glottis				
ø̥̯	non-syllabic devoiced rounded close-mid front vowel	+	+	ø̯̥	◌ø ◌̥ ◌̯		*\textroundcap{\o}	empty:vowel:−high −low −back +round −voice −nasal −spread glottis −constricted glottis				
ø̥̯ː	long non-syllabic devoiced rounded close-mid front vowel	+	+	ø̯̥ː	◌ø ◌̥ ◌̯ ◌ː		*\textroundcap{\o}\textlengthmark	empty:vowel:−high −low −back +round −voice −nasal −spread glottis −constricted glottis				
ħ	voiceless pharyngeal fricative consonant		+	ħ	◌ħ		\textcrh	pharyngeal:fricative:−voice				
ħʲ	palatalized voiceless pharyngeal fricative consonant	+	+	ħʲ	◌ħ ◌ʲ		\textcrh\super j	pharyngeal, palatal:fricative:−voice				
ħʲː	palatalized long voiceless pharyngeal fricative consonant	+	+	ħʲː	◌ħ ◌ʲ ◌ː		\textcrh\super j\textlengthmark	pharyngeal, palatal:fricative:−voice				
ħʷ	labialized voiceless pharyngeal fricative consonant	+	+	ħʷ	◌ħ ◌ʷ		\textcrh\super w	pharyngeal, labial:fricative:−voice				
ħʷː	labialized long voiceless pharyngeal fricative consonant	+	+	ħʷː	◌ħ ◌ʷ ◌ː		\textcrh\super w\textlengthmark	pharyngeal, labial:fricative:−voice				
ħː	long voiceless pharyngeal fricative consonant	+	+	ħː	◌ħ ◌ː		\textcrh\textlengthmark	pharyngeal:fricative:−voice				
ħ̩	syllabic voiceless pharyngeal fricative consonant	+	+	ħ̩	◌ħ ◌̩		\textipa{\s{\textcrh}}	pharyngeal:fricative:−voice +syllabic				
ħ̩ʲ	syllabic palatalized voiceless pharyngeal fricative consonant	+	+	ħ̩ʲ	◌ħ ◌̩ ◌ʲ		\textipa{\s{\textcrh}}\super j	pharyngeal, palatal:fricative:−voice +syllabic				
ħ̩ʲː	syllabic palatalized long voiceless pharyngeal fricative consonant	+	+	ħ̩ʲː	◌ħ ◌̩ ◌ʲ ◌ː		\textipa{\s{\textcrh}}\super j\textlengthmark	pharyngeal, palatal:fricative:−voice +syllabic				
ħ̩ʷ	syllabic labialized voiceless pharyngeal fricative consonant	+	+	ħ̩ʷ	◌ħ ◌̩ ◌ʷ		\textipa{\s{\textcrh}}\super w	pharyngeal, labial:fricative:−voice +syllabic				
ħ̩ʷː	syllabic labialized long voiceless pharyngeal fricative consonant	+	+	ħ̩ʷː	◌ħ ◌̩ ◌ʷ ◌ː		\textipa{\s{\textcrh}}\super w\textlengthmark	pharyngeal, labial:fricative:−voice +syllabic				
ħ̩ː	syllabic long voiceless pharyngeal fricative consonant	+	+	ħ̩ː	◌ħ ◌̩ ◌ː		\textipa{\s{\textcrh}}\textlengthmark	pharyngeal:fricative:−voice +syllabic				
ŋ	voiced velar nasal consonant		+	ŋ	◌ŋ		\textipa{N}	velar:nasal:+voice +nasal				
ŋʰ	aspirated voiced velar nasal consonant	+	+	ŋʰ	◌ŋ ◌ʰ		\textipa{N} extsuperscript{h}	velar:nasal:+voice +nasal +spread glottis				
ŋʲʰ	palatalized aspirated voiced velar nasal consonant	+	+	ŋʰʲ	◌ŋ ◌ʲ ◌ʰ		\textipa{N} extsuperscript{h}\super j	velar, palatal:nasal:+voice +nasal +spread glottis				
ŋʲʰː	palatalized aspirated long voiced velar nasal consonant	+	+	ŋʰʲː	◌ŋ ◌ʲ ◌ʰ ◌ː		\textipa{N} extsuperscript{h}\super j\textlengthmark	velar, palatal:nasal:+voice +nasal +spread glottis				
ŋʷʰ	labialized aspirated voiced velar nasal consonant	+	+	ŋʰʷ	◌ŋ ◌ʷ ◌ʰ		\textipa{N} extsuperscript{h}\super w	velar, labial:nasal:+voice +nasal +spread glottis				
ŋʷʰː	labialized aspirated long voiced velar nasal consonant	+	+	ŋʰʷː	◌ŋ ◌ʷ ◌ʰ ◌ː		\textipa{N} extsuperscript{h}\super w\textlengthmark	velar, labial:nasal:+voice +nasal +spread glottis				
ŋʰː	aspirated long voiced velar nasal consonant	+	+	ŋʰː	◌ŋ ◌ʰ ◌ː		\textipa{N} extsuperscript{h}\textlengthmark	velar:nasal:+voice +nasal +spread glottis				
ŋʲ	palatalized voiced velar nasal consonant	+	+	ŋʲ	◌ŋ ◌ʲ		\textipa{N}\super j	velar, palatal:nasal:+voice +nasal				
ŋʲː	palatalized long voiced velar nasal consonant	+	+	ŋʲː	◌ŋ ◌ʲ ◌ː		\textipa{N}\super j\textlengthmark	velar, palatal:nasal:+voice +nasal				
ŋʷ	labialized voiced velar nasal consonant		+	ŋʷ	◌ŋ ◌ʷ		\textipa{N}\super w	velar, labial:nasal:+voice +nasal				
ŋʷː	labialized long voiced velar nasal consonant	+	+	ŋʷː	◌ŋ ◌ʷ ◌ː		\textipa{N}\super w\textlengthmark	velar, labial:nasal:+voice +nasal				
ŋː	long voiced velar nasal consonant		+	ŋː	◌ŋ ◌ː		\textipa{N}\textlengthmark	velar:nasal:+voice +nasal				
