BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ɘ̃	nasalized unrounded close-mid central vowel		+	ɘ̃	◌ɘ ◌̃	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%98%CC%83					2	
ɘ̆	ultra-short unrounded close-mid central vowel	+	+	ɘ̆	◌ɘ ◌̆	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%98%CC%86					1	
ɘ̟	advanced unrounded close-mid central vowel	+	+	ɘ̟	◌ɘ ◌̟	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%98%CC%9F					1	
ɘ̠	retracted unrounded close-mid central vowel	+	+	ɘ̠	◌ɘ ◌̠	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%98%CC%A0					2	
ə	unrounded mid central vowel		+	(ə)	◌ə	http://eurasianphonology.info/search_exact?dialects=True&query=%28%C9%99%29					1	
ə	unrounded mid central vowel		+	ə	◌ə	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99					128	
əi	from unrounded mid central to unrounded close front diphthong	+	+	əi	◌ə ◌i	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99i					12	
əĩ	from unrounded mid central to nasalized unrounded close front diphthong	+	+	əĩ	◌ə ◌i ◌̃	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99i%CC%83					1	
əi̯	from unrounded mid central to non-syllabic unrounded close front diphthong	+	+	əi̯	◌ə ◌i ◌̯	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99i%CC%AF					1	
əi̯	from unrounded mid central to non-syllabic unrounded close front diphthong	+	+	əj	◌ə ◌i ◌̯	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99j					1	
əo	from unrounded mid central to rounded close-mid back diphthong	+	+	əo	◌ə ◌o	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99o					1	
əu	from unrounded mid central to rounded close back diphthong	+	+	əu	◌ə ◌u	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99u					13	
əũ	from unrounded mid central to nasalized rounded close back diphthong	+	+	əũ	◌ə ◌u ◌̃	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99u%CC%83					1	
əu̯	from unrounded mid central to non-syllabic rounded close back diphthong	+	+	əu̯	◌ə ◌u ◌̯	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99u%CC%AF					1	
əu̯	from unrounded mid central to non-syllabic rounded close back diphthong	+	+	əw	◌ə ◌u ◌̯	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99w					3	
əy	from unrounded mid central to rounded close front diphthong	+	+	əy	◌ə ◌y	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99y					1	
