BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant		+	tɕʰ	◌t ◌ɕ ◌ʰ						8	
tʃ	voiceless post-alveolar sibilant affricate consonant		+	tʃ	◌t ◌ʃ						2	
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		+	tʃʰ	◌t ◌ʃ ◌ʰ						2	
tʰ	aspirated voiceless alveolar stop consonant		+	tʰ	◌t ◌ʰ						9	
u	rounded close back vowel		+	u	◌u						9	
ua	from rounded close back to unrounded open front diphthong	+	+	ua	◌u ◌a						9	
uã	from rounded close back to nasalized unrounded open front diphthong	+	+	uã	◌u ◌a ◌̃						5	
ue	from rounded close back to unrounded close-mid front diphthong	+	+	ue	◌u ◌e						10	
uẽ	from rounded close back to nasalized unrounded close-mid front diphthong	+	+	uẽ	◌u ◌e ◌̃						5	
uɔ	from rounded close back to rounded open-mid back diphthong	+	+	uɔ	◌u ◌ɔ						7	
uɔ̃	from rounded close back to nasalized rounded open-mid back diphthong	+	+	uɔ̃	◌u ◌ɔ ◌̃						4	
uɛ	from rounded close back to unrounded open-mid front diphthong	+	+	uɛ	◌u ◌ɛ						9	
uɛ̃	from rounded close back to nasalized unrounded open-mid front diphthong	+	+	uɛ̃	◌u ◌ɛ ◌̃						4	
ũ	nasalized rounded close back vowel		+	ũ	◌u ◌̃						5	
v	voiced labio-dental fricative consonant		+	v	◌v						8	
v̩	syllabic voiced labio-dental fricative consonant		+	v̩	◌v ◌̩						7	
ṽ̩	syllabic nasalized voiced labio-dental fricative consonant	+	+	ṽ̩	◌v ◌̩ ◌̃						3	
w	voiced labio-velar approximant consonant		+	w	◌w						9	
x	voiceless velar fricative consonant		+	x	◌x						8	
xʰ	aspirated voiceless velar fricative consonant	+	+	xʰ	◌x ◌ʰ						1	
y	rounded close front vowel		+	y	◌y						9	
yɛ	from rounded close front to unrounded open-mid front diphthong	+	+	yɛ	◌y ◌ɛ						1	
ỹ	nasalized rounded close front vowel		+	ỹ	◌y ◌̃						5	
z	voiced alveolar sibilant fricative consonant		+	z	◌z						7	
²¹	falling from-mid-low to-low tone		+	21	◌² ◌¹						9	
³²	falling from-mid to-mid-low tone		+	32	◌³ ◌²						2	
³³	flat from-mid to-mid tone		+	33	◌³ ◌³						9	
³¹	falling from-mid to-low tone		+	31	◌³ ◌¹						9	
³⁵	rising from-mid to-high tone		+	35	◌³ ◌⁵						9	
æ	unrounded near-open front vowel		+	æ	◌æ						1	
æ̃	nasalized unrounded near-open front vowel		+	æ̃	◌æ ◌̃						1	
ŋ	voiced velar nasal consonant		+	ŋ	◌ŋ						9	
ȵ	voiced alveolo-palatal nasal consonant		+	ȵ	◌ȵ						5	
ɔ	rounded open-mid back vowel		+	ɔ	◌ɔ						8	
ɔu	from rounded open-mid back to rounded close back diphthong	+	+	ɔu	◌ɔ ◌u						1	
ɔ̃	nasalized rounded open-mid back vowel		+	ɔ̃	◌ɔ ◌̃						4	
ɔ̃u	from nasalized rounded open-mid back to rounded close back diphthong	+	+	ɔ̃u	◌ɔ ◌̃ ◌u						1	
ɕ	voiceless alveolo-palatal sibilant fricative consonant		+	ɕ	◌ɕ						9	
ɕʰ	aspirated voiceless alveolo-palatal sibilant fricative consonant	+	+	ɕʰ	◌ɕ ◌ʰ						1	
ɖ	voiced retroflex stop consonant		+	ɖ	◌ɖ						1	
ɖʐ	voiced retroflex sibilant affricate consonant		+	dʐ	◌ɖ ◌ʐ						1	
ɛ	unrounded open-mid front vowel		+	ɛ	◌ɛ						9	
