BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ɲ̰	creaky voiced palatal nasal consonant	+	+	ɲ̰	◌ɲ ◌̰							
ⁿɖʐ	pre-nasalized voiced retroflex sibilant affricate consonant	+	+	ɳɖʐ	◌ⁿ ◌ɖ ◌ʐ							
ⁿʈʂ	pre-nasalized voiceless retroflex sibilant affricate consonant	+	+	ɳʈʂ	◌ⁿ ◌ʈ ◌ʂ							
ɵ	rounded close-mid central vowel		+	ɵ	◌ɵ							
ɵː	long rounded close-mid central vowel		+	ɵː	◌ɵ ◌ː							
ɸ	voiceless bilabial fricative consonant		+	ɸ	◌ɸ							
ɸʲ	palatalized voiceless bilabial fricative consonant	+	+	ɸʲ	◌ɸ ◌ʲ							
ɹ	voiced alveolar approximant consonant		+	ɹ	◌ɹ							
ɺ	voiced alveolar lateral tap consonant		+	ɺ	◌ɺ							
ɺ̥	devoiced voiced alveolar lateral tap consonant	+	+	ɺ̥	◌ɺ ◌̥							
ɻ	voiced retroflex approximant consonant		+	ɻ	◌ɻ							
ɽ	voiced retroflex tap consonant		+	ɽ	◌ɽ							
ɽʰ	aspirated voiced retroflex tap consonant	+	+	ɽʰ	◌ɽ ◌ʰ							
ɾ	voiced alveolar tap consonant		+	ɾ	◌ɾ							
ɾʲ	palatalized voiced alveolar tap consonant	+	+	ɾʲ	◌ɾ ◌ʲ							
ɾ̃	nasalized voiced alveolar tap consonant	+	+	ɾ̃	◌ɾ ◌̃							
ʀ	voiced uvular trill consonant		+	ʀ	◌ʀ							
ʁ	voiced uvular fricative consonant		+	ʁ	◌ʁ							
ʂ	voiceless retroflex sibilant fricative consonant		+	ʂ	◌ʂ							
ʃ	voiceless post-alveolar sibilant fricative consonant		+	ʃ	◌ʃ							
ʄ	voiced palatal implosive consonant		+	ʄ	◌ʄ							
ʈ	voiceless retroflex stop consonant		+	ʈ	◌ʈ							
ʈʂ	voiceless retroflex sibilant affricate consonant		+	ʈʂ	◌ʈ ◌ʂ							
ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant		+	ʈʂʰ	◌ʈ ◌ʂ ◌ʰ							
ʈʂʼ	voiceless retroflex ejective sibilant affricate consonant		+	ʈʂʼ	◌ʈ ◌ʂ ◌ʼ							
ʈʰ	aspirated voiceless retroflex stop consonant		+	ʈʰ	◌ʈ ◌ʰ							
ʈʼ	voiceless retroflex ejective stop consonant	+	+	ʈʼ	◌ʈ ◌ʼ							
ʉ	rounded close central vowel		+	ʉ	◌ʉ							
ʉː	long rounded close central vowel		+	ʉː	◌ʉ ◌ː							
ʉ̃	nasalized rounded close central vowel		+	ʉ̃	◌ʉ ◌̃							
ʊ	rounded near-close near-back vowel		+	ʊ	◌ʊ							
ʊː	long rounded near-close near-back vowel		+	ʊː	◌ʊ ◌ː							
