BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ɗ	voiced dental implosive consonant		+	ɗ	◌ɗ			a voiced dental/alveolar implosive	V_dental_implosive.mp3	IPA-162.gif		
ə˞	rhotacized unrounded mid central vowel		+	ɚ	◌ə ◌˞			rhotic mid central vowel	rhotic_mid_central.mp3	IPA-327.gif		
ɟ	voiced palatal stop consonant		+	ɟ	◌ɟ			a voiced palatal plosive	V_palatal_plosive.mp3	IPA-108.gif		
ɠ	voiced velar implosive consonant		+	ɠ	◌ɠ			a voiced velar implosive	V_velar_implosive.mp3	IPA-166.gif		
ɢ	voiced uvular stop consonant		+	ɢ	◌ɢ			a voiced uvular plosive	V_uvular_plosive.mp3	IPA-112.gif		
ɣ	voiced velar fricative consonant		+	ɣ	◌ɣ			a voiced velar fricative	V_velar_fricative.mp3	IPA-141.gif		
ɥ	voiced labio-palatal approximant consonant		+	ɥ	◌ɥ			a voiced labial-palatal approximant	V_labial-palatal_approximant.mp3	IPA-171.gif		
ɦ	voiced glottal fricative consonant		+	ɦ	◌ɦ			a voiced glottal fricative	V_glottal_fricative.mp3	IPA-147.gif		
ɧ	voiceless palatal-velar fricative consonant		+	ɧ	◌ɧ			a simultaneous voiceless postalveolar and velar fricative	sim_VL_postalveolar_velar_fricative.mp3	IPA-175.gif		
lˠ	velarized voiced alveolar lateral approximant consonant		+	ɫ	◌l ◌ˠ			a velarized or pharyngealized alveolar lateral approximant	velarized_V_alveolar_lateral-approximant.mp3	IPA-209.gif		
ɬ	voiceless alveolar lateral fricative consonant		+	ɬ	◌ɬ			a voiceless alveolar lateral fricative	VL_alveolar_lateral-fricative.mp3	IPA-148.gif		
ɭ	voiced retroflex lateral approximant consonant		+	ɭ	◌ɭ			a voiced lateral  approximant	V_retroflex_lateral-approximant.mp3	IPA-156.gif		
ɮ	voiced alveolar lateral fricative consonant		+	ɮ	◌ɮ			a voiced alveolar lateral fricative	V_alveolar_lateral-fricative.mp3	IPA-149.gif		
ɰ	voiced velar approximant consonant		+	ɰ	◌ɰ			a voiced velar approximant	V_velar_approximant.mp3	IPA-154.gif		
