BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ə̤	breathy unrounded mid central vowel	+	+	ə̤	◌ə ◌̤			breathy voiced higher mid central unrounded				
ə̰̃õ̰	from nasalized creaky unrounded mid central to nasalized creaky rounded close-mid back diphthong	+	+	ə̰̃õ̰	◌ə ◌̰ ◌̃ ◌o ◌̰ ◌̃			laryngealized diphtong higher mid central back unrounded rounded backing rounding nasalizing				
ⁿɖʳ	pre-nasalized with-trilled-release voiced retroflex stop consonant	+	+	ɳɖɽ	◌ⁿ ◌ɖ ◌ʳ			pulmonic stop prenasalized trilled release voiced retroflex				
s̪ʼ	voiceless dental ejective sibilant fricative consonant		+	s̪ʼ	◌s ◌̪ ◌ʼ			ejective fricative sibilant dental				
ɬˤ	pharyngealized voiceless alveolar lateral fricative consonant	+	+	ɬˤ	◌ɬ ◌ˤ			pulmonic fricative lateral voiceless pharyngealized alveolar				
pfʼ	voiceless labio-dental ejective affricate consonant		+	pfʼ	◌p ◌f ◌ʼ			ejective affricate bilabial labio-dental				
tɕ	voiceless alveolo-palatal sibilant affricate consonant		+	tç	◌t ◌ɕ			pulmonic affricate voiceless alveolar palatal				
ɨ̞̃	lowered nasalized unrounded close central vowel	+	+	ɨ̞̃	◌ɨ ◌̞ ◌̃			nasalized high lowered high central unrounded				
ḛ̃	nasalized creaky unrounded close-mid front vowel	+	+	ḛ̃	◌e ◌̰ ◌̃			nasalized laryngealized higher mid front unrounded				
ç	voiceless palatal sibilant fricative consonant		+	ç	◌c ◌̧			pulmonic fricative voiceless palatal				
cç	voiceless palatal affricate consonant		+	cç	◌c ◌c ◌̧			pulmonic affricate voiceless palatal				
ã̰	nasalized creaky unrounded open front vowel	+	+	ã̰	◌a ◌̰ ◌̃			nasalized laryngealized low central unrounded				
õ̰	nasalized creaky rounded close-mid back vowel	+	+	õ̰	◌o ◌̰ ◌̃			nasalized laryngealized higher mid back rounded				
ḭ̃	nasalized creaky unrounded close front vowel	+	+	ḭ̃	◌i ◌̰ ◌̃			nasalized laryngealized high front unrounded				
ṵ̃	nasalized creaky rounded close back vowel	+	+	ṵ̃	◌u ◌̰ ◌̃			nasalized laryngealized high back rounded				
cçʼ	voiceless palatal ejective affricate consonant	+	+	cçʼ	◌c ◌c ◌̧ ◌ʼ			ejective affricate palatal				
ɨ̰̃	nasalized creaky unrounded close central vowel	+	+	ɨ̰̃	◌ɨ ◌̰ ◌̃			nasalized laryngealized high central unrounded				
tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant		+	tçʰ	◌t ◌ɕ ◌ʰ			pulmonic affricate aspirated voiceless alveolar palatal				
