BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ʟ̃ː	nasalized long voiced velar lateral approximant consonant	+	+	ʟ̃ː	◌ʟ ◌̃ ◌ː			-syl +son +cons +cont +lat +nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric +long				
ʟ̃ˤ	nasalized pharyngealized voiced velar lateral approximant consonant	+	+	ʟ̃ˤ	◌ʟ ◌̃ ◌ˤ			-syl +son +cons +cont +lat +nas +voi -sg -cg -ant -cor -lab +hi +lo +back -round -velaric -long				
ʟ̝	raised voiced velar lateral approximant consonant	+	+	ʟ̝	◌ʟ ◌̝			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric -long				
ʟ̞	lowered voiced velar lateral approximant consonant	+	+	ʟ̞	◌ʟ ◌̞			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric -long				
ʟ̟	advanced voiced velar lateral approximant consonant	+	+	ʟ̟	◌ʟ ◌̟			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric -long				
ʟ̠	retracted voiced velar lateral approximant consonant	+	+	ʟ̠	◌ʟ ◌̠			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric -long				
ʟʱ	breathy voiced velar lateral approximant consonant	+	+	ʟ̤	◌ʟ ◌ʱ			-syl +son +cons +cont +lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -round -velaric -long				
ʟʲʱ	palatalized breathy voiced velar lateral approximant consonant	+	+	ʟ̤ʲ	◌ʟ ◌ʲ ◌ʱ			-syl +son +cons +cont +lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -back -round -velaric -long				
ʟʷʱ	labialized breathy voiced velar lateral approximant consonant	+	+	ʟ̤ʷ	◌ʟ ◌ʷ ◌ʱ			-syl +son +cons +cont +lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long				
ʟʱː	long breathy voiced velar lateral approximant consonant	+	+	ʟ̤ː	◌ʟ ◌ʱ ◌ː			-syl +son +cons +cont +lat -nas +voi +sg -cg -ant -cor -lab +hi -lo -round -velaric +long				
ʟˠʱ	velarized breathy voiced velar lateral approximant consonant	+	+	ʟ̤ˠ	◌ʟ ◌ˠ ◌ʱ			-syl +son +cons +cont +lat -nas +voi +sg -cg -ant -cor -lab +hi -lo +back -round -velaric -long				
ʟˤʱ	pharyngealized breathy voiced velar lateral approximant consonant	+	+	ʟ̤ˤ	◌ʟ ◌ˤ ◌ʱ			-syl +son +cons +cont +lat -nas +voi +sg -cg -ant -cor -lab +hi +lo +back -round -velaric -long				
ʟ̥ʱ	devoiced breathy voiced velar lateral approximant consonant	+	+	ʟ̤̥	◌ʟ ◌̥ ◌ʱ			-syl +son +cons +cont +lat -nas -voi +sg -cg -ant -cor -lab +hi -lo -round -velaric -long				
ʟ̥	devoiced voiced velar lateral approximant consonant		+	ʟ̥	◌ʟ ◌̥			-syl +son +cons +cont +lat -nas -voi -sg -cg -ant -cor -lab +hi -lo -round -velaric -long				
