ID	NAME	FEATURES	TYPE	GRAPHEME	UNICODE	GENERATED	NOTE
non-syllabic_unrounded_close-mid_central_vowel	non-syllabic unrounded close-mid central vowel	vowel_syllabicity_non-syllabic vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_central	vowel	ɘ̯	LATIN SMALL LETTER REVERSED E / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_unrounded_close-mid_back_vowel	non-syllabic unrounded close-mid back vowel	vowel_syllabicity_non-syllabic vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_back	vowel	ɤ̯	LATIN SMALL LETTER RAMS HORN / COMBINING INVERTED BREVE BELOW		
non-syllabic_unrounded_close_front_vowel	non-syllabic unrounded close front vowel	vowel_syllabicity_non-syllabic vowel_roundedness_unrounded vowel_height_close vowel_centrality_front	vowel	i̯	LATIN SMALL LETTER I / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_unrounded_close_central_vowel	non-syllabic unrounded close central vowel	vowel_syllabicity_non-syllabic vowel_roundedness_unrounded vowel_height_close vowel_centrality_central	vowel	ɨ̯	LATIN SMALL LETTER I WITH STROKE / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_unrounded_close_back_vowel	non-syllabic unrounded close back vowel	vowel_syllabicity_non-syllabic vowel_roundedness_unrounded vowel_height_close vowel_centrality_back	vowel	ɯ̯	LATIN SMALL LETTER TURNED M / COMBINING INVERTED BREVE BELOW		
non-syllabic_rounded_open-mid_front_vowel	non-syllabic rounded open-mid front vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_front	vowel	œ̯	LATIN SMALL LIGATURE OE / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_rounded_open-mid_central_vowel	non-syllabic rounded open-mid central vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_central	vowel	ɞ̯	LATIN SMALL LETTER CLOSED REVERSED OPEN E / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_rounded_open-mid_back_vowel	non-syllabic rounded open-mid back vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_back	vowel	ɔ̯	LATIN SMALL LETTER OPEN O / COMBINING INVERTED BREVE BELOW		
non-syllabic_rounded_open_front_vowel	non-syllabic rounded open front vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_open vowel_centrality_front	vowel	ɶ̯	LATIN LETTER SMALL CAPITAL OE / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_rounded_open_back_vowel	non-syllabic rounded open back vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_open vowel_centrality_back	vowel	ɒ̯	LATIN SMALL LETTER TURNED ALPHA / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_rounded_near-close_near-front_vowel	non-syllabic rounded near-close near-front vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_near-close vowel_centrality_near-front	vowel	ʏ̯	LATIN LETTER SMALL CAPITAL Y / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_rounded_near-close_near-back_vowel	non-syllabic rounded near-close near-back vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_near-close vowel_centrality_near-back	vowel	ʊ̯	LATIN SMALL LETTER UPSILON / COMBINING INVERTED BREVE BELOW		
non-syllabic_rounded_close-mid_front_vowel	non-syllabic rounded close-mid front vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_front	vowel	ø̯	LATIN SMALL LETTER O WITH STROKE / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_rounded_close-mid_central_vowel	non-syllabic rounded close-mid central vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_central	vowel	ɵ̯	LATIN SMALL LETTER BARRED O / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_rounded_close-mid_back_vowel	non-syllabic rounded close-mid back vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_back	vowel	o̯	LATIN SMALL LETTER O / COMBINING INVERTED BREVE BELOW		
non-syllabic_rounded_close_front_vowel	non-syllabic rounded close front vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_close vowel_centrality_front	vowel	y̯	LATIN SMALL LETTER Y / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_rounded_close_central_vowel	non-syllabic rounded close central vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_close vowel_centrality_central	vowel	ʉ̯	LATIN SMALL LETTER U BAR / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_rounded_close_back_vowel	non-syllabic rounded close back vowel	vowel_syllabicity_non-syllabic vowel_roundedness_rounded vowel_height_close vowel_centrality_back	vowel	u̯	LATIN SMALL LETTER U / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_nasalized_unrounded_open-mid_front_vowel	non-syllabic nasalized unrounded open-mid front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_front	vowel	ɛ̯̃	LATIN SMALL LETTER OPEN E / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_open-mid_central_vowel	non-syllabic nasalized unrounded open-mid central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_central	vowel	ɜ̯̃	LATIN SMALL LETTER REVERSED OPEN E / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_open-mid_back_vowel	non-syllabic nasalized unrounded open-mid back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_back	vowel	ʌ̯̃	LATIN SMALL LETTER TURNED V / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_open_front_vowel	non-syllabic nasalized unrounded open front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_open vowel_centrality_front	vowel	ã̯	LATIN SMALL LETTER A / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_open_back_vowel	non-syllabic nasalized unrounded open back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_open vowel_centrality_back	vowel	ɑ̯̃	LATIN SMALL LETTER ALPHA / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_near-open_front_vowel	non-syllabic nasalized unrounded near-open front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_near-open vowel_centrality_front	vowel	æ̯̃	LATIN SMALL LETTER AE / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_near-open_central_vowel	non-syllabic nasalized unrounded near-open central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_near-open vowel_centrality_central	vowel	ɐ̯̃	LATIN SMALL LETTER TURNED A / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_near-close_near-front_vowel	non-syllabic nasalized unrounded near-close near-front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_near-close vowel_centrality_near-front	vowel	ɪ̯̃	LATIN LETTER SMALL CAPITAL I / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_mid_central_vowel	non-syllabic nasalized unrounded mid central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_mid vowel_centrality_central	vowel	ə̯̃	LATIN SMALL LETTER SCHWA / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_close-mid_front_vowel	non-syllabic nasalized unrounded close-mid front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_front	vowel	ẽ̯	LATIN SMALL LETTER E / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_close-mid_central_vowel	non-syllabic nasalized unrounded close-mid central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_central	vowel	ɘ̯̃	LATIN SMALL LETTER REVERSED E / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_close-mid_back_vowel	non-syllabic nasalized unrounded close-mid back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_back	vowel	ɤ̯̃	LATIN SMALL LETTER RAMS HORN / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_close_front_vowel	non-syllabic nasalized unrounded close front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close vowel_centrality_front	vowel	ĩ̯	LATIN SMALL LETTER I / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_close_central_vowel	non-syllabic nasalized unrounded close central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close vowel_centrality_central	vowel	ɨ̯̃	LATIN SMALL LETTER I WITH STROKE / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_unrounded_close_back_vowel	non-syllabic nasalized unrounded close back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_unrounded vowel_height_close vowel_centrality_back	vowel	ɯ̯̃	LATIN SMALL LETTER TURNED M / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_open-mid_front_vowel	non-syllabic nasalized rounded open-mid front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_front	vowel	œ̯̃	LATIN SMALL LIGATURE OE / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_open-mid_central_vowel	non-syllabic nasalized rounded open-mid central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_central	vowel	ɞ̯̃	LATIN SMALL LETTER CLOSED REVERSED OPEN E / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_open-mid_back_vowel	non-syllabic nasalized rounded open-mid back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_back	vowel	ɔ̯̃	LATIN SMALL LETTER OPEN O / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_open_front_vowel	non-syllabic nasalized rounded open front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_open vowel_centrality_front	vowel	ɶ̯̃	LATIN LETTER SMALL CAPITAL OE / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_open_back_vowel	non-syllabic nasalized rounded open back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_open vowel_centrality_back	vowel	ɒ̯̃	LATIN SMALL LETTER TURNED ALPHA / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_near-close_near-front_vowel	non-syllabic nasalized rounded near-close near-front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_near-close vowel_centrality_near-front	vowel	ʏ̯̃	LATIN LETTER SMALL CAPITAL Y / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_near-close_near-back_vowel	non-syllabic nasalized rounded near-close near-back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_near-close vowel_centrality_near-back	vowel	ʊ̯̃	LATIN SMALL LETTER UPSILON / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_close-mid_front_vowel	non-syllabic nasalized rounded close-mid front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_front	vowel	ø̯̃	LATIN SMALL LETTER O WITH STROKE / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_close-mid_central_vowel	non-syllabic nasalized rounded close-mid central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_central	vowel	ɵ̯̃	LATIN SMALL LETTER BARRED O / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_close-mid_back_vowel	non-syllabic nasalized rounded close-mid back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_back	vowel	õ̯	LATIN SMALL LETTER O / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_close_front_vowel	non-syllabic nasalized rounded close front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close vowel_centrality_front	vowel	ỹ̯	LATIN SMALL LETTER Y / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_close_central_vowel	non-syllabic nasalized rounded close central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close vowel_centrality_central	vowel	ʉ̯̃	LATIN SMALL LETTER U BAR / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_rounded_close_back_vowel	non-syllabic nasalized rounded close back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_roundedness_rounded vowel_height_close vowel_centrality_back	vowel	ũ̯	LATIN SMALL LETTER U / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_open-mid_front_vowel	non-syllabic nasalized devoiced unrounded open-mid front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_front	vowel	ɛ̥̯̃	LATIN SMALL LETTER OPEN E / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_open-mid_central_vowel	non-syllabic nasalized devoiced unrounded open-mid central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_central	vowel	ɜ̥̯̃	LATIN SMALL LETTER REVERSED OPEN E / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_open-mid_back_vowel	non-syllabic nasalized devoiced unrounded open-mid back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_back	vowel	ʌ̥̯̃	LATIN SMALL LETTER TURNED V / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_open_front_vowel	non-syllabic nasalized devoiced unrounded open front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_open vowel_centrality_front	vowel	ḁ̯̃	LATIN SMALL LETTER A / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_open_back_vowel	non-syllabic nasalized devoiced unrounded open back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_open vowel_centrality_back	vowel	ɑ̥̯̃	LATIN SMALL LETTER ALPHA / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_near-open_front_vowel	non-syllabic nasalized devoiced unrounded near-open front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_near-open vowel_centrality_front	vowel	æ̥̯̃	LATIN SMALL LETTER AE / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_near-open_central_vowel	non-syllabic nasalized devoiced unrounded near-open central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_near-open vowel_centrality_central	vowel	ɐ̥̯̃	LATIN SMALL LETTER TURNED A / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_near-close_near-front_vowel	non-syllabic nasalized devoiced unrounded near-close near-front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_near-close vowel_centrality_near-front	vowel	ɪ̥̯̃	LATIN LETTER SMALL CAPITAL I / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_mid_central_vowel	non-syllabic nasalized devoiced unrounded mid central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_mid vowel_centrality_central	vowel	ə̥̯̃	LATIN SMALL LETTER SCHWA / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_close-mid_front_vowel	non-syllabic nasalized devoiced unrounded close-mid front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_front	vowel	ẽ̥̯	LATIN SMALL LETTER E / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_close-mid_central_vowel	non-syllabic nasalized devoiced unrounded close-mid central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_central	vowel	ɘ̥̯̃	LATIN SMALL LETTER REVERSED E / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_close-mid_back_vowel	non-syllabic nasalized devoiced unrounded close-mid back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_close-mid vowel_centrality_back	vowel	ɤ̥̯̃	LATIN SMALL LETTER RAMS HORN / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_close_front_vowel	non-syllabic nasalized devoiced unrounded close front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_close vowel_centrality_front	vowel	ĩ̥̯	LATIN SMALL LETTER I / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_close_central_vowel	non-syllabic nasalized devoiced unrounded close central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_close vowel_centrality_central	vowel	ɨ̥̯̃	LATIN SMALL LETTER I WITH STROKE / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_unrounded_close_back_vowel	non-syllabic nasalized devoiced unrounded close back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_close vowel_centrality_back	vowel	ɯ̥̯̃	LATIN SMALL LETTER TURNED M / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_open-mid_front_vowel	non-syllabic nasalized devoiced rounded open-mid front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_front	vowel	œ̥̯̃	LATIN SMALL LIGATURE OE / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_open-mid_central_vowel	non-syllabic nasalized devoiced rounded open-mid central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_central	vowel	ɞ̥̯̃	LATIN SMALL LETTER CLOSED REVERSED OPEN E / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_open-mid_back_vowel	non-syllabic nasalized devoiced rounded open-mid back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_open-mid vowel_centrality_back	vowel	ɔ̥̯̃	LATIN SMALL LETTER OPEN O / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_open_front_vowel	non-syllabic nasalized devoiced rounded open front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_open vowel_centrality_front	vowel	ɶ̥̯̃	LATIN LETTER SMALL CAPITAL OE / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_open_back_vowel	non-syllabic nasalized devoiced rounded open back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_open vowel_centrality_back	vowel	ɒ̥̯̃	LATIN SMALL LETTER TURNED ALPHA / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_near-close_near-front_vowel	non-syllabic nasalized devoiced rounded near-close near-front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_near-close vowel_centrality_near-front	vowel	ʏ̥̯̃	LATIN LETTER SMALL CAPITAL Y / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_near-close_near-back_vowel	non-syllabic nasalized devoiced rounded near-close near-back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_near-close vowel_centrality_near-back	vowel	ʊ̥̯̃	LATIN SMALL LETTER UPSILON / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_close-mid_front_vowel	non-syllabic nasalized devoiced rounded close-mid front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_front	vowel	ø̥̯̃	LATIN SMALL LETTER O WITH STROKE / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_close-mid_central_vowel	non-syllabic nasalized devoiced rounded close-mid central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_central	vowel	ɵ̥̯̃	LATIN SMALL LETTER BARRED O / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_close-mid_back_vowel	non-syllabic nasalized devoiced rounded close-mid back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_close-mid vowel_centrality_back	vowel	õ̥̯	LATIN SMALL LETTER O / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_close_front_vowel	non-syllabic nasalized devoiced rounded close front vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_close vowel_centrality_front	vowel	ỹ̥̯	LATIN SMALL LETTER Y / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_close_central_vowel	non-syllabic nasalized devoiced rounded close central vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_close vowel_centrality_central	vowel	ʉ̥̯̃	LATIN SMALL LETTER U BAR / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_nasalized_devoiced_rounded_close_back_vowel	non-syllabic nasalized devoiced rounded close back vowel	vowel_syllabicity_non-syllabic vowel_nasalization_nasalized vowel_voicing_devoiced vowel_roundedness_rounded vowel_height_close vowel_centrality_back	vowel	ũ̥̯	LATIN SMALL LETTER U / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW / COMBINING TILDE	+	
non-syllabic_lowered_unrounded_close_back_vowel	non-syllabic lowered unrounded close back vowel	vowel_syllabicity_non-syllabic vowel_raising_lowered vowel_roundedness_unrounded vowel_height_close vowel_centrality_back	vowel	ɯ̞̯	LATIN SMALL LETTER TURNED M / COMBINING DOWN TACK BELOW / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_devoiced_unrounded_open-mid_front_vowel	non-syllabic devoiced unrounded open-mid front vowel	vowel_syllabicity_non-syllabic vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_front	vowel	ɛ̥̯	LATIN SMALL LETTER OPEN E / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_devoiced_unrounded_open-mid_central_vowel	non-syllabic devoiced unrounded open-mid central vowel	vowel_syllabicity_non-syllabic vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_central	vowel	ɜ̥̯	LATIN SMALL LETTER REVERSED OPEN E / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_devoiced_unrounded_open-mid_back_vowel	non-syllabic devoiced unrounded open-mid back vowel	vowel_syllabicity_non-syllabic vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_open-mid vowel_centrality_back	vowel	ʌ̥̯	LATIN SMALL LETTER TURNED V / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW	+	
non-syllabic_devoiced_unrounded_open_front_vowel	non-syllabic devoiced unrounded open front vowel	vowel_syllabicity_non-syllabic vowel_voicing_devoiced vowel_roundedness_unrounded vowel_height_open vowel_centrality_front	vowel	ḁ̯	LATIN SMALL LETTER A / COMBINING RING BELOW / COMBINING INVERTED BREVE BELOW	+	
