BIPA	NON_IPA	GRAPHEME	FEATURES	SYMBOLS
rʷ	rW	rʷ	conso:trill:alveolar:voiced:labialized	◌r ◌ʷ
rʼ	r'	rʼ	conso:trill:alveolar:voiced:glottalized	◌r ◌’
rʼ	r’	rʼ	conso:trill:alveolar:voiced:glottalized	◌r ◌’
rː	r:	rː	conso:trill:alveolar:voiced_long:plain	◌r ◌ː
rː	rr	rː	conso:trill:alveolar:voiced_long:plain	◌r ◌ː
rˤ	rÖ	rˤ	conso:trill:alveolar:voiced:pharyngealized	◌r ◌ˤ
rˤː	rÖ:	rˤː	conso:trill:alveolar:voiced_long:pharyngealized	◌r ◌ˤ ◌ː
r̃	r)	r̃	conso:trill:alveolar:voiced:nasalized	◌r ◌̃
r̟	r+	r̟	conso:trill:advanced_alveolar:voiced:plain	◌r ◌̟
r̟ʲ	r+j	r̟ʲ	conso:trill:advanced_alveolar:voiced:palatalized	◌r ◌̟ ◌ʲ
r̟ʲ	r+J	r̟ʲ	conso:trill:advanced_alveolar:voiced:palatalized	◌r ◌̟ ◌ʲ
r̥	r8	r̥	conso:trill:alveolar:voiceless:plain	◌r ◌̥
r̥	r¥	r̥	conso:trill:alveolar:voiceless:plain	◌r ◌̥
r̥ʰ	r8H	r̥ʰ	conso:trill:alveolar:voiceless:aspirated	◌r ◌̥ ◌ʰ
r̪	r5	r̪	conso:trill:dental:voiced:plain	◌r ◌̪
r̪ʲ	r5j	r̪ʲ	conso:trill:dental:voiced:palatalized	◌r ◌̪ ◌ʲ
s	s	s	conso:fricative:alveolar:voiceless:plain	◌s
sʰ	sH	sʰ	conso:fricative:alveolar:voiceless:aspirated	◌s ◌ʰ
sʲ	sJ	sʲ	conso:fricative:alveolar:voiceless:palatalized	◌s ◌ʲ
sʷ	sW	sʷ	conso:fricative:alveolar:voiceless:labialized	◌s ◌ʷ
sʼ	s'	sʼ	conso:fricative:alveolar:voiceless:glottalized	◌s ◌ʼ
sʼ	s/	sʼ	conso:fricative:alveolar:voiceless:glottalized	◌s ◌ʼ
sʼ	s’	sʼ	conso:fricative:alveolar:voiceless:glottalized	◌s ◌ʼ
sː	ss	sː	conso:fricative:alveolar:voiceless_long:plain	◌s ◌ː
sˠ	sÄ	sˠ	conso:fricative:alveolar:voiceless:velarized	◌s ◌ˠ
sˤ	s³	sˤ	conso:fricative:alveolar:voiceless:pharyngealized	◌s ◌ˤ
sˤ	sÖ	sˤ	conso:fricative:alveolar:voiceless:pharyngealized	◌s ◌ˤ
s̞	s2	s̞	conso:fricative:retracted_alveolar:voiceless:plain	◌s ◌̞
s̪	s5	s̪	conso:fricative:dental:voiceless:plain	◌s ◌̪
s̪ʲ	s5j	s̪ʲ	conso:fricative:dental:voiceless:palatalized	◌s ◌̪ ◌ʲ
s̪ʼ	s5'	s̪ʼ	conso:fricative:dental:voiceless:glottalized	◌s ◌̪ ◌ʼ
s̪ʼ	s5’	s̪ʼ	conso:fricative:dental:voiceless:glottalized	◌s ◌̪ ◌ʼ
s̪ː	s5:	s̪ː	conso:fricative:dental:voiceless_long:plain	◌s ◌̪ ◌ː
s̪ˤ	s5Ö	s̪ˤ	conso:fricative:dental:voiceless:pharyngealized	◌s ◌̪ ◌ˤ
s̪ˤ	s5³	s̪ˤ	conso:fricative:dental:voiceless:pharyngealized	◌s ◌̪ ◌ˤ
s̪ˤː	s5Ö:	s̪ˤː	conso:fricative:dental:voiceless_long:pharyngealized	◌s ◌̪ ◌ˤ ◌ː
s̻	s6	s̻	conso:fricative:laminal_alveolar:voiceless:plain	◌s ◌̻
s̻ˤ	s6Ö	s̻ˤ	conso:fricative:laminal_alveolar:voiceless:pharyngealized	◌s ◌̻ ◌ˤ
t	t	t	conso:stop:alveolar:voiceless:plain	◌t
tʼ	t'/ë	t'	conso:ejective:alveolar:voiceless:plain	◌t ◌ʼ
tɬ	tl	tl	conso:stop:lateral:voiceless:plain	◌t ◌ɬ
tɬʰ	tlh	tlʰ	conso:stop:lateral:voiceless:aspirated	◌t ◌ɬ ◌ʰ
tɬʼ	tl'	tlʼ	conso:stop:lateral:voiceless:glottalized	◌t ◌ɬ ◌ʼ
ts	ts	ts	conso:affricate:alveolar:voiceless:plain	◌t ◌s
tsʲʰ	tsjh	tsjʰ	conso:affricate:alveolar:voiceless:aspirated_palatalized	◌t ◌s ◌ʲ ◌ʰ
tsʷʰ	tswh	tswʰ	conso:affricate:alveolar:voiceless:aspirated_labialized	◌t ◌s ◌ʷ ◌ʰ
tsʰ	tsH	tsʰ	conso:affricate:alveolar:voiceless:aspirated	◌t ◌s ◌ʰ
tsʷʰ	tshw	tsʰʷ	conso:affricate:alveolar:voiceless:aspirated_labialized	◌t ◌s ◌ʷ ◌ʰ
tsʲ	tsj	tsʲ	conso:affricate:alveolar:voiceless:palatalized	◌t ◌s ◌ʲ
tsʷ	tsw	tsʷ	conso:affricate:alveolar:voiceless:labialized	◌t ◌s ◌ʷ
tsʼ	ts'	tsʼ	conso:affricate:alveolar:voiceless:glottalized	◌t ◌s ◌ʼ
tsʼ	ts’	tsʼ	conso:affricate:alveolar:voiceless:glottalized	◌t ◌s ◌ʼ
tsʼʷ	ts’w	tsʼʷ	conso:affricate:alveolar:voiceless:glottalized_labialized	◌t ◌s ◌’ ◌ʷ
tsʼʷ	ts'w	tsʼʷ	conso:affricate:alveolar:voiceless:glottalized_labialized	◌t ◌s ◌’ ◌ʷ
ts	tz	tz	conso:affricate:alveolar:voiceless_to_voiced:plain	◌t ◌s
tsʼ	tz'	tzʼ	conso:affricate:alveolar:voiceless_to_voiced:glottalized	◌t ◌s ◌ʼ
tsʼ	tz’	tzʼ	conso:affricate:alveolar:voiceless_to_voiced:glottalized	◌t ◌s ◌ʼ
tɕ	tþ	tɕ	conso:affricate:alveolopalatal:voiceless:plain	◌t ◌ɕ
tɕʰ	tþH	tɕʰ	conso:affricate:alveolopalatal:voiceless:aspirated	◌t ◌ɕ ◌ʰ
tʰ	tú	tɦ	conso:stop:alveolar:voiceless:voiced_aspirated	◌t ◌ʰ
tɬ	tÂ	tɬ	conso:affricate:lateral:voiceless:plain	◌t ◌ɬ
tɬʰ	tÂh	tɬʰ	conso:affricate:lateral:voiceless:aspirated	◌t ◌ɬ ◌ʰ
tɬʼ	tÂ'	tɬʼ	conso:affricate:lateral:voiceless:glottalized	◌t ◌ɬ ◌ʼ
tɬʼ	tÂ’	tɬʼ	conso:affricate:lateral:voiceless:glottalized	◌t ◌ɬ ◌ʼ
ʈʂ	t§	tʂ	conso:affricate:alveolar_to_retroflex:voiceless:plain	◌ʈ ◌ʂ
ʈʂʼ	t§'	tʂʼ	conso:affricate:alveolar_to_retroflex:voiceless:glottalized	◌ʈ ◌ʂ ◌’
ʈʂʼ	t§’	tʂʼ	conso:affricate:alveolar_to_retroflex:voiceless:glottalized	◌ʈ ◌ʂ ◌’
tʃ	tS	tʃ	conso:affricate:postalveolar:voiceless:plain	◌t ◌ʃ
tʃʰ	tSú	tʃɦ	conso:affricate:postalveolar:voiceless:voiced_aspirated	◌t ◌ʃ ◌ʰ
tʃʰ	tSH	tʃʰ	conso:affricate:postalveolar:voiceless:aspirated	◌t ◌ʃ ◌ʰ
tʃʷʰ	tSHW	tʃʰʷ	conso:affricate:postalveolar:voiceless:aspirated_labialized	◌t ◌ʃ ◌ʷ ◌ʰ
tʃʲ	tSj	tʃʲ	conso:affricate:postalveolar:voiceless:palatalized	◌t ◌ʃ ◌ʲ
tʃʷ	tSW	tʃʷ	conso:affricate:postalveolar:voiceless:labialized	◌t ◌ʃ ◌ʷ
tʃʼʷ	tSw'	tʃʷʼ	conso:affricate:postalveolar:voiceless:glottalized_labialized	◌t ◌ʃ ◌’ ◌ʷ
tʃʼʷ	tSw’	tʃʷʼ	conso:affricate:postalveolar:voiceless:glottalized_labialized	◌t ◌ʃ ◌’ ◌ʷ
tʃʼ	tS'	tʃʼ	conso:affricate:postalveolar:voiceless:glottalized	◌t ◌ʃ ◌ʼ
tʃʼ	tSʼ	tʃʼ	conso:affricate:postalveolar:voiceless:glottalized	◌t ◌ʃ ◌ʼ
tʃˤ	tSÖ	tʃˤ	conso:affricate:postalveolar:voiceless:pharyngealized	◌t ◌ʃ ◌ˤ
tʰ	tH	tʰ	conso:stop:alveolar:voiceless:aspirated	◌t ◌ʰ
tʷʰ	tHW	tʰʷ	conso:stop:alveolar:voiceless:aspirated_labialized	◌t ◌ʷ ◌ʰ
tʲ	tJ	tʲ	conso:stop:alveolar:voiceless:palatalized	◌t ◌ʲ
tʲʰ	tjh	tʲʰ	conso:stop:alveolar:voiceless:aspirated_palatalized	◌t ◌ʲ ◌ʰ
tʼʲ	tj'	tʲʼ	conso:stop:alveolar:voiceless:glottalized_palatalized	◌t ◌’ ◌ʲ
tʼʲ	tj’	tʲʼ	conso:stop:alveolar:voiceless:glottalized_palatalized	◌t ◌’ ◌ʲ
tʷ	tW	tʷ	conso:stop:alveolar:voiceless:labialized	◌t ◌ʷ
tʼ	t'	tʼ	conso:ejective:alveolar:voiceless:plain	◌t ◌ʼ
tʼ	t’	tʼ	conso:ejective:alveolar:voiceless:plain	◌t ◌ʼ
tʼʷ	t’w	tʼʷ	conso:ejective:alveolar:voiceless:labialized	◌t ◌’ ◌ʷ
tʼʷ	t'w	tʼʷ	conso:ejective:alveolar:voiceless:labialized	◌t ◌’ ◌ʷ
tː	tt	tː	conso:stop:alveolar:voiceless_long:plain	◌t ◌ː
tʃː	ttS	tːʃ	conso:affricate:alveolopalatal:voiceless_long:plain	◌t ◌ʃ ◌ː
tʃː	ttSS	tːʃː	conso:affricate:alveolopalatal:voiceless_extra_long:plain	◌t ◌ʃ ◌ː
tˠ	tÄ	tˠ	conso:stop:alveolar:voiceless:velarized	◌t ◌ˠ
tˤ	tÖ	tˤ	conso:stop:alveolar:voiceless:pharyngealized	◌t ◌ˤ
tˤ	t³	tˤ	conso:stop:alveolar:voiceless:pharyngealized	◌t ◌ˤ
ȶ	tæ	t̂	conso:stop:alveolar:voiceless:lenis	◌ȶ
t̪	t5	t̪	conso:stop:dental:voiceless:plain	◌t ◌̪
ts̪	t5s5	t̪s̪	conso:affricate:dental:voiceless:plain	◌t ◌s ◌̪
ts̪ʰ	t5s5h	t̪s̪ʰ	conso:affricate:dental:voiceless:aspirated	◌t ◌s ◌̪ ◌ʰ
ts̪ʷʰ	t5s5hw	t̪s̪ʰʷ	conso:affricate:dental:voiceless:aspirated_labialized	◌t ◌s ◌̪ ◌ʷ ◌ʰ
ts̪ʼ	t5s5'	t̪s̪ʼ	conso:affricate:dental:voiceless:glottalized	◌t ◌s ◌̪ ◌ʼ
ts̪ʼ	t5s5’	t̪s̪ʼ	conso:affricate:dental:voiceless:glottalized	◌t ◌s ◌̪ ◌ʼ
ts̪ː	t5s5:	t̪s̪ː	conso:affricate:dental:voiceless_long:plain	◌t ◌s ◌̪ ◌ː
t̪ʰ	t5H	t̪ʰ	conso:stop:dental:voiceless:aspirated	◌t ◌̪ ◌ʰ
t̪ʲ	t5j	t̪ʲ	conso:stop:dental:voiceless:palatalized	◌t ◌̪ ◌ʲ
t̪ʷ	t5w	t̪ʷ	conso:stop:dental:voiceless:labialized	◌t ◌̪ ◌ʷ
t̪ʼ	t5'	t̪ʼ	conso:ejective:dental:voiceless:plain	◌t ◌̪ ◌ʼ
t̪ʼ	t5ʼ	t̪ʼ	conso:ejective:dental:voiceless:plain	◌t ◌̪ ◌ʼ
t̪ː	t5:	t̪ː	conso:stop:dental:voiceless_long:plain	◌t ◌̪ ◌ː
t̪ˤ	t5Ö	t̪ˤ	conso:stop:dental:voiceless:pharyngealized	◌t ◌̪ ◌ˤ
t̪ˤ	t5³	t̪ˤ	conso:stop:dental:voiceless:pharyngealized	◌t ◌̪ ◌ˤ
t̪ˤː	t5Ö:	t̪ˤː	conso:stop:dental:voiceless_long:pharyngealized	◌t ◌̪ ◌ˤ ◌ː
tθ	t5T	t̪θ	conso:affricate:interdental:voiceless:plain	◌t ◌θ
t̪ⁿ	t5n5	t̪ⁿ	conso:stop:dental:voiceless:postnasalized	◌t ◌̪ ◌ⁿ
ts̺ʲ	t5s5j	t̺s̺ʲ	conso:affricate:dental:voiceless:palatalized	◌t ◌s ◌̺ ◌ʲ
ts̻	t6s6	t̻s̻	conso:affricate:laminal_alveolar:voiceless:plain	◌t ◌s ◌̻
tθ	tT	tθ	conso:affricate:alveolar_to_interdental:voiceless:plain	◌t ◌θ
tθʼ	tT'	tθʼ	conso:affricate:alveolar_to_dental:voiceless:glottalized	◌t ◌θ ◌’
tθʼ	tT’	tθʼ	conso:affricate:alveolar_to_dental:voiceless:glottalized	◌t ◌θ ◌’
tⁿ	tn	tⁿ	conso:stop:alveolar:voiceless:postnasalized	◌t ◌ⁿ
u	u	u	vowel:high:back_rounded:plain:plain	◌u
ua	ua	ua	vowel:high_to_low:back_rounded_to_central_unrounded:plain:plain	◌u ◌a
ui	ui	ui	vowel:high:back_rounded_to_front_unrounded:plain:plain	◌u ◌i
ui	uj	uj	vowel:high_to_glide:back_unrounded_to_palatal:plain:plain	◌u ◌i
uo	uo	uo	vowel:high_to_higher_mid:back_rounded:plain:plain	◌u ◌o
uɔ	u	uɔ	vowel:high_to_lower_mid:back_rounded:plain:plain	◌u ◌ɔ
uə	u«	uə	vowel:high_to_mid:back_rounded_to_central_unrounded:plain:plain	◌u ◌ə
uˀ	u/	uʔ	vowel:high:back_rounded:glottalized:plain	◌u ◌ˀ
uː	u:	uː	vowel:high:back_rounded:plain:long	◌u ◌ː
uː	uu	uː	vowel:high:back_rounded:plain:long	◌u ◌ː
uːː	u::	uːː	vowel:high:back_rounded:plain:extra_long	◌u ◌ː ◌ː
uˤ	u³	uˤ	vowel:high:back_rounded:pharyngealized:plain	◌u ◌ˤ
uˤˀ	u³/	uˤʔ	vowel:high:back_rounded:pharyngealized_glottalized:plain	◌u ◌ˤ ◌ˀ
u̝	u3	u̝	vowel:raised_high:back_rounded:plain:plain	◌u ◌̝
u̝ː	u3:	u̝ː	vowel:raised_high:back_rounded:plain:long	◌u ◌̝ ◌ː
u̞	u2	u̞	vowel:high:back_rounded:RTR:plain	◌u ◌̞
u̞	>u	u̞	vowel:lowered_high:back_rounded:plain:plain	◌u ◌̞
u̞	u1	u̞	vowel:lowered_high:back_rounded:plain:plain	◌u ◌̞
u̞	u4	u̞	vowel:lowered_high:back_rounded:plain:plain	◌u ◌̞
u̥	u8	u̥	vowel:high:back_rounded:plain:voiceless	◌u ◌̥
u̯o	u9o	u̯o	vowel:high_glide_to_higher_mid:back_rounded:plain:plain	◌u ◌̯ ◌o
v	v	v	conso:fricative:labiodental:voiced:plain	◌v
vʰ	vh	vʰ	conso:fricative:labiodental:voiced:aspirated	◌v ◌ʰ
vʲ	vj	vʲ	conso:fricative:labiodental:voiced:palatalized	◌v ◌ʲ
vʲ	vJ	vʲ	conso:fricative:labiodental:voiced:palatalized	◌v ◌ʲ
vʷ	vW	vʷ	conso:fricative:labiodental:voiced:labialized	◌v ◌ʷ
vˡ	vl	vˡ	conso:fricative:labiodental:voiced:lateral	◌v ◌ˡ
vˤ	v³	vˤ	conso:fricative:labiodental:voiced:pharyngealized	◌v ◌ˤ
vʱ	v-	v̤	conso:fricative:labiodental:breathy:plain	◌v ◌ʱ
v̥	v8	v̥	conso:fricative:labiodental:devoiced:plain	◌v ◌̥
w	w	w	conso:approximant:labiovelar:voiced:plain	◌w
wʰ	wú	wɦ	conso:approximant:labiovelar:voiced:voiced_aspirated	◌w ◌ʰ
wʰ	wH	wʰ	conso:approximant:labiovelar:voiced:aspirated	◌w ◌ʰ
wʲ	wj	wʲ	conso:approximant:labiovelar:voiced:palatalized	◌w ◌ʲ
wʼ	w'	wʼ	conso:approximant:labiovelar:voiced:glottalized	◌w ◌’
wʼ	w/	wʼ	conso:approximant:labiovelar:voiced:glottalized	◌w ◌’
wʼ	w’	wʼ	conso:approximant:labiovelar:voiced:glottalized	◌w ◌’
wː	w:	wː	conso:approximant:labiovelar:voiced_long:plain	◌w ◌ː
wˤ	w³	wˤ	conso:approximant:labiovelar:voiced:pharyngealized	◌w ◌ˤ
w̃	w)	w̃	conso:approximant:labiovelar:voiced:nasalized	◌w ◌̃
x	x	x	conso:fricative:velar:voiceless:plain	◌x
xʰ	xh	xʰ	conso:fricative:velar:voiceless:aspirated	◌x ◌ʰ
xʲ	xj	xʲ	conso:fricative:velar:voiceless:palatalized	◌x ◌ʲ
xʲ	xJ	xʲ	conso:fricative:velar:voiceless:palatalized	◌x ◌ʲ
xʷ	xw	xʷ	conso:fricative:velar:voiceless:labialized	◌x ◌ʷ
xʼ	x'	xʼ	conso:fricative:velar:voiceless:glottalized	◌x ◌ʼ
xʼ	x’	xʼ	conso:fricative:velar:voiceless:glottalized	◌x ◌ʼ
xː	x:	xː	conso:fricative:velar:voiceless_long:plain	◌x ◌ː
y	y	y	vowel:high:front_rounded:plain:plain	◌y
yi	yi	yi	vowel:high:front_rounded_to_unrounded:plain:plain	◌y ◌i
yː	y:	yː	vowel:high:front_rounded:plain:long	◌y ◌ː
z	z	z	conso:fricative:alveolar:voiced:plain	◌z
zʲ	zj	zʲ	conso:fricative:alveolar:voiced:palatalized	◌z ◌ʲ
zʷ	zW	zʷ	conso:fricative:alveolar:voiced:labialized	◌z ◌ʷ
zʼ	z'	zʼ	conso:fricative:alveolar:voiced:glottalized	◌z ◌’
zʼ	z’	zʼ	conso:fricative:alveolar:voiced:glottalized	◌z ◌’
zˤ	zÖ	zˤ	conso:fricative:alveolar:voiced:pharyngealized	◌z ◌ˤ
zˤ	z³	zˤ	conso:fricative:alveolar:voiced:pharyngealized	◌z ◌ˤ
zʱ	z-	z̤	conso:fricative:alveolar:breathy:plain	◌z ◌ʱ
z̪	z5	z̪	conso:fricative:dental:voiced:plain	◌z ◌̪
z̪ʲ	z5j	z̪ʲ	conso:fricative:dental:voiced:palatalized	◌z ◌̪ ◌ʲ
z̪ː	z5:	z̪ː	conso:fricative:dental:voiced_long:plain	◌z ◌̪ ◌ː
z̪ˤ	z5Ö	z̪ˤ	conso:fricative:dental:voiced:pharyngealized	◌z ◌̪ ◌ˤ
z̪ˤ	z5³	z̪ˤ	conso:fricative:dental:voiced:pharyngealized	◌z ◌̪ ◌ˤ
z̪ˤː	z5Ö:	z̪ˤː	conso:fricative:dental:voiced_long:pharyngealized	◌z ◌̪ ◌ˤ ◌ː
z̻ˤ	z6Ö	z̻ˤ	conso:fricative:laminal_alveolar:voiced:pharyngealized	◌z ◌̻ ◌ˤ
ã	a)	ã	vowel:low:central_unrounded:nasalized:plain	◌a ◌̃
ã	ã	ã	vowel:low:central_unrounded:nasalized:plain	◌a ◌̃
ãˀ	a)/	ãʔ	vowel:low:central_unrounded:glottalized_nasalized:plain	◌a ◌̃ ◌ˀ
ãˀ	ã/	ãʔ	vowel:low:central_unrounded:glottalized_nasalized:plain	◌a ◌̃ ◌ˀ
ãː	a):	ãː	vowel:low:central_unrounded:nasalized:long	◌a ◌̃ ◌ː
ãˤ	a)³	ãˤ	vowel:low:central_unrounded:pharyngealized_nasalized:plain	◌a ◌̃ ◌ˤ
ã̤	aÐ)	ã̤	vowel:low:central_unrounded:nasalized:breathy	◌a ◌̤ ◌̃
ã̤ˤ	aÐ)³	ã̤ˤ	vowel:low:central_unrounded:pharyngealized_nasalized:breathy	◌a ◌̤ ◌̃ ◌ˤ
æ	Q	æ	vowel:higher_low:front_unrounded:plain:plain	◌æ
æː	Q:	æː	vowel:higher_low:front_unrounded:plain:long	◌æ ◌ː
æː	QQ	æː	vowel:higher_low:front_unrounded:plain:long	◌æ ◌ː
æ̃	Q)	æ̃	vowel:higher_low:front_unrounded:nasalized:plain	◌æ ◌̃
æ̞	>Q	æ̞	vowel:lowered_higher_low:front_unrounded:plain:plain	◌æ ◌̞
ç	C	ç	conso:fricative:palatal:voiceless:plain	◌c ◌̧
çʷ	Cw	çʷ	conso:fricative:palatal:voiceless:labialized	◌c ◌̧ ◌ʷ
ð	D	ð	conso:fricative:interdental:voiced:plain	◌ð
ðʲ	Dj	ðʲ	conso:fricative:interdental:voiced:palatalized	◌ð ◌ʲ
ðˠ	DÄ	ðˠ	conso:fricative:interdental:voiced:velarized	◌ð ◌ˠ
ðˤ	DÖ	ðˤ	conso:fricative:interdental:voiced:pharyngealized	◌ð ◌ˤ
ðˤ	D³	ðˤ	conso:fricative:interdental:voiced:pharyngealized	◌ð ◌ˤ
õ	õ	õ	vowel:higher_mid:back_rounded:nasalized:plain	◌o ◌̃
õ	o)	õ	vowel:higher_mid:back_rounded:nasalized:plain	◌o ◌̃
õˀ	o)/	õʔ	vowel:higher_mid:back_rounded:interrupted_nasalized:plain	◌o ◌̃ ◌ˀ
õː	o):	õː	vowel:higher_mid:back_rounded:nasalized:long	◌o ◌̃ ◌ː
õˤ	o)³	õˤ	vowel:higher_mid:back_rounded:pharyngealized_nasalized:plain	◌o ◌̃ ◌ˤ
õ̝	o3)	õ̝	vowel:raised_higher_mid:back_rounded:nasalized:plain	◌o ◌̝ ◌̃
õ̤	oÐ)	õ̤	vowel:higher_mid:back_rounded:nasalized:breathy	◌o ◌̤ ◌̃
õ̤ˀ	o)Ð/	õ̤ʔ	vowel:higher_mid:back_rounded:glottalized_nasalized:breathy	◌o ◌̤ ◌̃ ◌ˀ
õ̤ˤ	oÐ)³	õ̤ˤ	vowel:higher_mid:back_rounded:pharyngealized_nasalized:breathy	◌o ◌̤ ◌̃ ◌ˤ
ø	O	ø	vowel:higher_mid:front_rounded:plain:plain	◌ø
øə	O«	øə	vowel:higher_mid_to_mid:front_rounded_to_central_unrounded:plain:plain	◌ø ◌ə
øː	O:	øː	vowel:higher_mid:front_rounded:plain:long	◌ø ◌ː
ø̆	O(	ø̆	vowel:higher_mid:front_rounded:plain:extra_short	◌ø ◌̆
ă	a(	ă	vowel:low:central_unrounded:plain:extra_short	◌a ◌̆
ħ	ð	ħ	conso:fricative:pharyngeal:voiceless:plain	◌ħ
ħʷ	ðw	ħʷ	conso:fricative:pharyngeal:voiceless:labialized	◌ħ ◌ʷ
ĩ	i)	ĩ	vowel:high:front_unrounded:nasalized:plain	◌i ◌̃
ĩˀ	i)/	ĩʔ	vowel:high:front_unrounded:glottalized_nasalized:plain	◌i ◌̃ ◌ˀ
ĩː	i):	ĩː	vowel:high:front_unrounded:nasalized:long	◌i ◌̃ ◌ː
ŋ	N	ŋ	conso:nasal:velar:voiced:plain	◌ŋ
ŋʰ	NH	ŋʰ	conso:nasal:velar:voiced:aspirated	◌ŋ ◌ʰ
ŋʷ	NW	ŋʷ	conso:nasal:velar:voiced:labialized	◌ŋ ◌ʷ
ŋʼ	N'	ŋʼ	conso:nasal:velar:voiced:glottalized	◌ŋ ◌’
ŋʼ	N/	ŋʼ	conso:nasal:velar:voiced:glottalized	◌ŋ ◌’
ŋʼ	N’	ŋʼ	conso:nasal:velar:voiced:glottalized	◌ŋ ◌’
ŋː	N:	ŋː	conso:nasal:velar:voiced_long:plain	◌ŋ ◌ː
ŋː	NN	ŋː	conso:nasal:velar:voiced_long:plain	◌ŋ ◌ː
ŋ̊	N8	ŋ̥	conso:nasal:velar:voiceless:plain	◌ŋ ◌̊
ŋ̥ʰ	N8H	ŋ̥ʰ	conso:nasal:velar:voiceless:aspirated	◌ŋ ◌̥ ◌ʰ
ŋm	Nƒm	ŋ͡m	conso:nasal:labiovelar:voiced:plain	◌ŋ ◌m
ŋm	Nm	ŋ͡m	conso:nasal:labiovelar:voiced:plain	◌ŋ ◌m
ŋmʲ	Nƒmj	ŋ͡mʲ	conso:nasal:labiovelar:voiced:palatalized	◌ŋ ◌m ◌ʲ
ŋmʲ	Nmj	ŋ͡mʲ	conso:nasal:labiovelar:voiced:palatalized	◌ŋ ◌m ◌ʲ
ŏ	o(	ŏ	vowel:higher_mid:back_rounded:plain:extra_short	◌o ◌̆
œ	¿	œ	vowel:lower_mid:front_rounded:plain:plain	◌œ
œi	¿i	œi	vowel:lower_mid_to_high:front_rounded_to_unrounded:plain:plain	◌œ ◌i
œu	¿u	œu	vowel:lower_mid_to_high:front_rounded_to_back:plain:plain	◌œ ◌u
œː	¿:	œː	vowel:lower_mid:front_rounded:plain:long	◌œ ◌ː
œ̃	¿)	œ̃	vowel:lower_mid:front_rounded:nasalized:plain	◌œ ◌̃
ũ	u)	ũ	vowel:high:back_rounded:nasalized:plain	◌u ◌̃
ũˀ	u)/	ũʔ	vowel:high:back_rounded:glottalized_nasalized:plain	◌u ◌̃ ◌ˀ
ũː	u):	ũː	vowel:high:back_rounded:nasalized:long	◌u ◌̃ ◌ː
ũˤ	u)³	ũˤ	vowel:high:back_rounded:pharyngealized_nasalized:plain	◌u ◌̃ ◌ˤ
ǀ	–	ǀ	conso:click:dental:voiceless:plain	◌ǀ
ǀ	Ž	ǀ	conso:click:dental:voiceless:plain	◌ǀ
ǀ̃	–n	ǀn	conso:click:dental:voiceless:nasalized	◌ǀ ◌̃
ǀ̃	–n8	ǀn̥	conso:click:dental:voiceless:voiceless_nasalized	◌ǀ ◌̃
ǀˀ	–/	ǀʔ	conso:click:dental:voiceless:glottalized	◌ǀ ◌ˀ
ǀʰ	–h	ǀʰ	conso:click:dental:voiceless:aspirated	◌ǀ ◌ʰ
ǁ	’	ǁ	conso:click:lateral:voiceless:plain	◌ǁ
ǁ	„	ǁ	conso:click:lateral:voiceless:plain	◌ǁ
ǁ̃	„n	ǁn	conso:click:lateral:voiced:nasalized	◌ǁ ◌̃
ǁ̃	„n8	ǁn̥	conso:click:lateral:voiced:voiceless_nasalized	◌ǁ ◌̃
ǁˀ	„/	ǁʔ	conso:click:lateral:voiceless:glottalized	◌ǁ ◌ˀ
ǁʰ	„h	ǁʰ	conso:click:lateral:voiceless:aspirated	◌ǁ ◌ʰ
ǂ	œ	ǂ	conso:click:palatoalveolar:voiceless:plain	◌ǂ
ǂ̃	œn	ǂn	conso:click:palatoalveolar:voiceless:nasalized	◌ǂ ◌̃
ǂ̃	œn8	ǂn̥	conso:click:palatoalveolar:voiceless:voiceless_nasalized	◌ǂ ◌̃
ǂˀ	œ/	ǂʔ	conso:click:palatoalveolar:voiceless:glottalized	◌ǂ ◌ˀ
ǂʰ	œh	ǂʰ	conso:click:palatoalveolar:voiceless:aspirated	◌ǂ ◌ʰ
ǃ	—	ǃ	conso:click:alveolar:voiceless:plain	◌ǃ
ǃ̃	!n	ǃn	conso:click:alveolar:voiceless:nasalized	◌ǃ ◌̃
ǃ̃	—n	ǃn	conso:click:alveolar:voiceless:nasalized	◌ǃ ◌̃
ǃˀ	—/	ǃʔ	conso:click:alveolar:voiceless:glottalized	◌ǃ ◌ˀ
ǃʰ	—h	ǃʰ	conso:click:alveolar:voiceless:aspirated	◌ǃ ◌ʰ
ɐ	Œ	ɐ	vowel:higher_low:central_unrounded:plain:plain	◌ɐ
ɐː	Œ:	ɐː	vowel:higher_low:central_unrounded:plain:long	◌ɐ ◌ː
ɑ	A	ɑ	vowel:low:back_unrounded:plain:plain	◌ɑ
ɑː	A:	ɑː	vowel:low:back_unrounded:plain:long	◌ɑ ◌ː
ɑː	AA	ɑː	vowel:low:back_unrounded:plain:long	◌ɑ ◌ː
ɑ̃	A)	ɑ̃	vowel:low:back_unrounded:nasalized:plain	◌ɑ ◌̃
ɒ		ɒ	vowel:low:back_rounded:plain:plain	◌ɒ
ɒː		ɒː	vowel:low:back_rounded:plain:long	◌ɒ ◌ː
ɓ	º	ɓ	conso:implosive:bilabial:voiced:plain	◌ɓ
ɓʷ	ºW	ɓʷ	conso:implosive:bilabial:voiced:labialized	◌ɓ ◌ʷ
ɓ̥	¹	ɓ̥	conso:implosive:bilabial:voiceless:plain	◌ɓ ◌̥
