BIPA	NON_IPA	GRAPHEME	FEATURES	SYMBOLS
<NA>	xƒ¸	x͡ɸ	conso:fricative:labiovelar:voiceless:plain	
<NA>	zƒwÄw	zʷ͡ɣw	conso:fricative:alveolar_to_velar:voiced:labialized_labialized	
<NA>	z5v	z̪v	conso:fricative:dental_to_labiodental:voiced:plain	
<NA>	z6	z̻	conso:fricative:laminal_alveolar:voiced:plain	
<NA>	zƒÄw	z͡ɣw	conso:fricative:alveolar_to_velar:voiced:labialized	
<NA>	a)/a)	ãʔã	vowel:low:central_unrounded:interrupted_nasalized:plain	
<NA>	a)Ð/	ã̤ʔ	vowel:low:central_unrounded:glottalized_nasalized:breathy	
<NA>	a)N	ãⁿ	vowel:low:central_unrounded:postnasalized:plain	
<NA>	Dn	ðn	conso:nasal_spirant:interdental:voiceless:plain	
<NA>	o)N	õⁿ	vowel:higher_mid:back_rounded:postnasalized:plain	
<NA>	i)/i)	ĩʔĩ	vowel:high:front_unrounded:interrupted_nasalized:plain	
<NA>	jæ	ĵ	conso:approximant:palatal:voiced:lenis	
<NA>	Nkx'	ŋkxʼ	conso:affricate:velar:voiceless:glottalized_prenasalized	
<NA>	Nkx’	ŋkxʼ	conso:affricate:velar:voiceless:glottalized_prenasalized	
<NA>	N&	ŋtw	conso:stop:alveolar:voiceless:labialized_velar_prenasalized	
<NA>	Ng*	ŋɡ̥	conso:stop:velar:devoiced:prenasalized	
<NA>	r&	ř	conso:trill:alveolar:voiced:strident	
<NA>	s&	š	conso:fricative:alveolar:voiceless:trilled	
<NA>	u)/u)	ũʔũ	vowel:high:back_rounded:interrupted_nasalized:plain	
<NA>	–kx/	ǀkxʔ	conso:click:dental:voiceless:glottalized_kx_accompaniment	
<NA>	–q	ǀq	conso:click:dental:voiceless:q_accompaniment	
<NA>	–q/	ǀqʔ	conso:click:dental:voiceless:glottalized_q_accompaniment	
<NA>	–qh	ǀqʰ	conso:click:dental:voiceless:aspirated_q_accompaniment	
<NA>	–s	ǀs	conso:click:dental:voiceless:affricative	
<NA>	–x	ǀx	conso:click:dental:voiceless:x_accompaniment	
<NA>	„kx/	ǁkxʔ	conso:click:lateral:voiceless:glottalized_kx_accompaniment	
<NA>	„q	ǁq	conso:click:lateral:voiceless:q_accompaniment	
<NA>	„q/	ǁqʔ	conso:click:lateral:voiceless:glottalized_q_accompaniment	
<NA>	„qh	ǁqʰ	conso:click:lateral:voiceless:aspirated_q_accompaniment	
<NA>	„x	ǁx	conso:click:lateral:voiceless:x_accompaniment	
<NA>	œkx/	ǂkxʔ	conso:click:palatoalveolar:voiceless:glottalized_kx_accompaniment	
<NA>	œq	ǂq	conso:click:palatoalveolar:voiceless:q_accompaniment	
<NA>	œq/	ǂqʔ	conso:click:palatoalveolar:voiceless:glottalized_q_accompaniment	
<NA>	œqh	ǂqʰ	conso:click:palatoalveolar:voiceless:aspirated_q_accompaniment	
<NA>	œx	ǂx	conso:click:palatoalveolar:voiceless:x_accompaniment	
<NA>	!d	ǃd	conso:click:alveolar:voiceless:d_accompaniment	
<NA>	—kx/	ǃkxʔ	conso:click:alveolar:voiceless:glottalized_kx_accompaniment	
<NA>	—n8	ǃn̥	conso:click:alveolar:voiceless:voiceless_nasalized	
<NA>	—q	ǃq	conso:click:alveolar:voiceless:q_accompaniment	
<NA>	—q/	ǃqʔ	conso:click:alveolar:voiceless:glottalized_q_accompaniment	
<NA>	—qh	ǃqʰ	conso:click:alveolar:voiceless:aspirated_q_accompaniment	
<NA>	!r	ǃr	conso:click:alveolar:voiceless:r_accompaniment	
<NA>	!s	ǃs	conso:click:alveolar:voiceless:s_accompaniment	
<NA>	!t	ǃt	conso:click:alveolar:voiceless:t_accompaniment	
<NA>	—x	ǃx	conso:click:alveolar:voiceless:x_accompaniment	
<NA>	!z	ǃz	conso:click:alveolar:voiceless:z_accompaniment	
<NA>	!S	ǃʃ	conso:click:alveolar:voiceless:S_accompaniment	
<NA>	!Z	ǃʒ	conso:click:alveolar:voiceless:Z_accompaniment	
<NA>	þç	ɕɥ	conso:fricative:alveolopalatal:voiceless:labiopalatalized	
<NA>	ê}	ɖɽ	conso:stop:retroflex:voiced:rhotic	
<NA>	ÿej	ɖ˞	conso:implosive:retroflex:voiceless:plain	
<NA>	ëZ	ɗʒ	conso:implosive_affricate:postalveolar:voiced:plain	
<NA>	ë5	ɗ̪	conso:implosive:dental:voiced:plain	
<NA>	ïü	ɟʑ	conso:affricate:palatal_to_alveolopalatal:voiced:plain	
<NA>	©ƒº	ɠ͡ɓ	conso:implosive:labiovelar:voiced:plain	
<NA>	gkx’	ɡkx’	conso:affricate:velar:voiced_to_voiceless:glottalized	
<NA>	gkx'	ɡkx’	conso:affricate_to_fricative:velar:voiced_to_voiceless:glottalized	
<NA>	g–kx/	ɡǀkx	conso:click:dental:voiced:kx_accompaniment	
<NA>	g–x	ɡǀx	conso:click:dental:voiced:x_accompaniment	
<NA>	g„kx/	ɡǁkx	conso:click:lateral:voiced:kx_accompaniment	
<NA>	g„x	ɡǁx	conso:click:lateral:voiced:x_accompaniment	
<NA>	gœkx/	ɡǂkx	conso:click:palatoalveolar:voiced:kx_accompaniment	
<NA>	gœx	ɡǂx	conso:click:palatoalveolar:voiced:x_accompaniment	
<NA>	g—kx/	ɡǃkx	conso:click:alveolar:voiced:kx_accompaniment	
<NA>	g—x	ɡǃx	conso:click:alveolar:voiced:x_accompaniment	
<NA>	g‡kx/	ɡʘkx	conso:click:bilabial:voiced:kx_accompaniment	
<NA>	g‡x	ɡʘx	conso:click:bilabial:voiced:x_accompaniment	
<NA>	gæ	ɡ̂	conso:stop:velar:voiced:lenis	
<NA>	gæƒbæ	ɡ̂͡b̂	conso:stop:labiovelar:voiced:lenis	
<NA>	gƒp	ɡ͡p	conso:stop:labiovelar:voiced_to_voiceless:plain	
<NA>	gƒº	ɡ͡ɓ	conso:stop_to_implosive:labiovelar:voiced:plain	
<NA>	Ä$	ɣ̀	conso:fricative:velar:voiced:tense	
<NA>	ÄƒB	ɣ͡β	conso:fricative:labiovelar:voiced:plain	
<NA>	ö/ö	ɨʔɨ	vowel:high:central_unrounded:interrupted:plain	
<NA>	®)/®)	ɨ̃ʔɨ̃	vowel:high:central_unrounded:interrupted_nasalized:plain	
<NA>	ö)/ö)	ɨ̃ʔɨ̃	vowel:high:central_unrounded:interrupted_nasalized:plain	
<NA>	Â$	ɬ̀	conso:fricative:lateral:voiceless:tense	
<NA>	M8f	ɱ̥f	conso:fricative:labiodental:voiceless:voiceless_prenasalized	
<NA>	øç	ɲɥ	conso:nasal:palatal:voiced:labiopalatalized	
<NA>	ø8cS	ɲ̥cʃ	conso:affricate:palatal_to_postalveolar:voiceless:voiceless_prenasalized	
<NA>	ø8S	ɲ̥ʃ	conso:fricative:postalveolar:voiceless:voiceless_prenasalized	
<NA>	øƒn5	ɲ͡n̪	conso:nasal:palatal_to_dental:voiced:plain	
<NA>	øƒN	ɲ͡ŋ	conso:nasal:palatal_to_velar:voiced:plain	
